Rank,Player,POS,AVG,Player_fixed,player_clean,POS_group,year,adp_rank,adp_percentile
276,Travis Benjamin,WR91,264.7,Travis Benjamin,travis benjamin,WR,2017,268,0.2457627118644068
277,Tim Hightower,RB85,245.0,Tim Hightower,tim hightower,RB,2017,243,0.3163841807909604
278,Jerick McKinnon,RB86,245.5,Jerick McKinnon,jerick mckinnon,RB,2017,245,0.3107344632768362
279,Las Vegas Raiders,DST19,245.5,Las Vegas Raiders,las vegas raiders,DST,2017,245,0.3107344632768362
280,Jared Goff,QB32,256.0,Jared Goff,jared goff,QB,2017,254,0.2853107344632768
281,Brandon Coleman,WR92,212.0,Brandon Coleman,brandon coleman,WR,2017,201,0.4350282485875706
282,George Kittle,TE34,248.0,George Kittle,george kittle,TE,2017,247,0.30508474576271183
283,Kasen Williams,WR93,213.0,Kasen Williams,kasen williams,WR,2017,202,0.43220338983050843
284,Aaron Jones Sr.,RB87,248.5,Aaron Jones Sr.,aaron jones sr,RB,2017,248,0.30225988700564976
285,Chandler Catanzaro,K20,265.5,Chandler Catanzaro,chandler catanzaro,K,2017,270,0.24011299435028244
286,Tyler Boyd,WR94,250.0,Tyler Boyd,tyler boyd,WR,2017,249,0.2994350282485876
287,Donnel Pumphrey,RB88,218.0,Donnel Pumphrey,donnel pumphrey,RB,2017,209,0.4124293785310734
288,Marquise Goodwin,WR95,251.5,Marquise Goodwin,marquise goodwin,WR,2017,250,0.2966101694915254
289,Tennessee Titans,DST20,251.5,Tennessee Titans,tennessee titans,DST,2017,250,0.2966101694915254
290,Josh Gordon,WR96,251.5,Josh Gordon,josh gordon,WR,2017,250,0.2966101694915254
291,Bruce Ellington,WR97,220.0,Bruce Ellington,bruce ellington,WR,2017,215,0.3954802259887006
292,Chester Rogers,WR98,221.0,Chester Rogers,chester rogers,WR,2017,216,0.3926553672316384
293,Ryan Switzer,WR99,223.0,Ryan Switzer,ryan switzer,WR,2017,218,0.38700564971751417
294,Orleans Darkwa,RB89,263.7,Orleans Darkwa,orleans darkwa,RB,2017,266,0.25141242937853103
295,Geronimo Allison,WR100,230.0,Geronimo Allison,geronimo allison,WR,2017,227,0.3615819209039548
296,Jermaine Kearse,WR101,257.5,Jermaine Kearse,jermaine kearse,WR,2017,255,0.28248587570621464
297,Gerald Everett,TE35,258.5,Gerald Everett,gerald everett,TE,2017,259,0.27118644067796616
298,Matt Jones,RB90,262.0,Matt Jones,matt jones,RB,2017,264,0.2570621468926554
299,Alex Erickson,WR102,237.0,Alex Erickson,alex erickson,WR,2017,236,0.33615819209039544
300,Matt Asiata,RB91,238.0,Matt Asiata,matt asiata,RB,2017,237,0.33333333333333337
301,Chris Johnson,RB92,242.0,Chris Johnson,chris johnson,RB,2017,240,0.32485875706214684
302,Josh McCown,QB33,243.0,Josh McCown,josh mccown,QB,2017,241,0.3220338983050848
303,Phillip Dorsett II,WR103,268.5,Phillip Dorsett II,phillip dorsett ii,WR,2017,272,0.2344632768361582
304,Nick Folk,K21,246.0,Nick Folk,nick folk,K,2017,246,0.307909604519774
305,Jermaine Gresham,TE36,246.0,Jermaine Gresham,jermaine gresham,TE,2017,246,0.307909604519774
306,Wayne Gallman Jr.,RB93,248.0,Wayne Gallman Jr.,wayne gallman jr,RB,2017,247,0.30508474576271183
307,Andre Roberts,WR104,250.0,Andre Roberts,andre roberts,WR,2017,249,0.2994350282485876
308,Green Bay Packers,DST21,252.0,Green Bay Packers,green bay packers,DST,2017,252,0.29096045197740117
309,Ryan Mathews,RB94,252.0,Ryan Mathews,ryan mathews,RB,2017,252,0.29096045197740117
310,Jeremy Kerley,WR105,278.0,Jeremy Kerley,jeremy kerley,WR,2017,281,0.20903954802259883
311,Cordarrelle Patterson,RB95,256.0,Cordarrelle Patterson,cordarrelle patterson,RB,2017,254,0.2853107344632768
312,Patrick Mahomes II,QB34,270.0,Patrick Mahomes II,patrick mahomes ii,QB,2017,274,0.22881355932203384
313,Tajae Sharpe,WR106,258.0,Tajae Sharpe,tajae sharpe,WR,2017,257,0.2768361581920904
314,Jeremy McNichols,RB96,258.0,Jeremy McNichols,jeremy mcnichols,RB,2017,257,0.2768361581920904
315,Deonte Thompson,WR107,260.0,Deonte Thompson,deonte thompson,WR,2017,262,0.2627118644067796
316,Brandon Tate,WR108,261.0,Brandon Tate,brandon tate,WR,2017,263,0.25988700564971756
317,Braxton Miller,WR109,263.0,Braxton Miller,braxton miller,WR,2017,265,0.2542372881355932
318,New York Jets,DST22,265.0,New York Jets,new york jets,DST,2017,269,0.24293785310734461
319,Eli Rogers,WR110,292.0,Eli Rogers,eli rogers,WR,2017,292,0.17796610169491522
320,Taywan Taylor,WR111,310.5,Taywan Taylor,taywan taylor,WR,2017,304,0.14406779661016944
321,Erik Swoope,TE37,268.0,Erik Swoope,erik swoope,TE,2017,271,0.23728813559322037
322,Dwayne Washington,RB97,299.5,Dwayne Washington,dwayne washington,RB,2017,297,0.16384180790960456
323,Markus Wheaton,WR112,269.0,Markus Wheaton,markus wheaton,WR,2017,273,0.23163841807909602
324,Vernon Davis,TE38,292.0,Vernon Davis,vernon davis,TE,2017,292,0.17796610169491522
325,Buffalo Bills,DST23,270.0,Buffalo Bills,buffalo bills,DST,2017,274,0.22881355932203384
326,Kamar Aiken,WR113,271.0,Kamar Aiken,kamar aiken,WR,2017,275,0.22598870056497178
327,Terrance Williams,WR114,281.5,Terrance Williams,terrance williams,WR,2017,285,0.19774011299435024
328,Daniel Lasco,RB98,272.0,Daniel Lasco,daniel lasco,RB,2017,276,0.2231638418079096
329,Miami Dolphins,DST24,273.0,Miami Dolphins,miami dolphins,DST,2017,277,0.22033898305084743
330,Ladarius Green,TE39,273.0,Ladarius Green,ladarius green,TE,2017,277,0.22033898305084743
331,Aldrick Rosas,K22,275.0,Aldrick Rosas,aldrick rosas,K,2017,278,0.21751412429378536
332,Dallas Cowboys,DST25,276.0,Dallas Cowboys,dallas cowboys,DST,2017,279,0.21468926553672318
333,Dennis Pitta,TE40,276.0,Dennis Pitta,dennis pitta,TE,2017,279,0.21468926553672318
334,Cleveland Browns,DST26,277.0,Cleveland Browns,cleveland browns,DST,2017,280,0.211864406779661
335,Chicago Bears,DST27,278.0,Chicago Bears,chicago bears,DST,2017,281,0.20903954802259883
336,Zane Gonzalez,K23,278.0,Zane Gonzalez,zane gonzalez,K,2017,281,0.20903954802259883
337,San Francisco 49ers,DST28,279.0,San Francisco 49ers,san francisco 49ers,DST,2017,282,0.20621468926553677
338,Phil Dawson,K24,279.0,Phil Dawson,phil dawson,K,2017,282,0.20621468926553677
339,Washington Commanders,DST29,280.0,Washington Commanders,washington commanders,DST,2017,283,0.2033898305084746
340,Indianapolis Colts,DST30,281.0,Indianapolis Colts,indianapolis colts,DST,2017,284,0.2005649717514124
341,Detroit Lions,DST31,282.0,Detroit Lions,detroit lions,DST,2017,286,0.19491525423728817
342,Josh Lambo,K25,282.0,Josh Lambo,josh lambo,K,2017,286,0.19491525423728817
343,New Orleans Saints,DST32,283.0,New Orleans Saints,new orleans saints,DST,2017,287,0.192090395480226
344,Tom Savage,QB35,285.0,Tom Savage,tom savage,QB,2017,288,0.18926553672316382
345,Nick Novak,K26,286.0,Nick Novak,nick novak,K,2017,289,0.18644067796610164
346,Mike Glennon,QB36,287.0,Mike Glennon,mike glennon,QB,2017,290,0.18361581920903958
347,DeAngelo Williams,RB99,289.0,DeAngelo Williams,deangelo williams,RB,2017,291,0.1807909604519774
348,Kenjon Barner,RB100,293.0,Kenjon Barner,kenjon barner,RB,2017,293,0.17514124293785316
349,Dontrelle Inman,WR115,296.0,Dontrelle Inman,dontrelle inman,WR,2017,294,0.17231638418079098
350,Matt Barkley,QB37,298.0,Matt Barkley,matt barkley,QB,2017,295,0.1694915254237288
351,Victor Cruz,WR116,299.0,Victor Cruz,victor cruz,WR,2017,296,0.16666666666666663
352,James Starks,RB101,301.0,James Starks,james starks,RB,2017,298,0.1610169491525424
353,Roberto Aguayo,K27,304.0,Roberto Aguayo,roberto aguayo,K,2017,299,0.1581920903954802
354,Michael Floyd,WR117,306.0,Michael Floyd,michael floyd,WR,2017,300,0.15536723163841804
355,Damien Williams,RB102,307.0,Damien Williams,damien williams,RB,2017,301,0.15254237288135597
356,Seth Roberts,WR118,308.0,Seth Roberts,seth roberts,WR,2017,302,0.1497175141242938
357,Brock Osweiler,QB38,309.0,Brock Osweiler,brock osweiler,QB,2017,303,0.14689265536723162
358,Adam Humphries,WR119,311.0,Adam Humphries,adam humphries,WR,2017,305,0.14124293785310738
359,Cody Kessler,QB39,312.0,Cody Kessler,cody kessler,QB,2017,306,0.1384180790960452
360,Paxton Lynch,QB40,313.0,Paxton Lynch,paxton lynch,QB,2017,307,0.13559322033898302
361,Christine Michael,RB103,314.0,Christine Michael,christine michael,RB,2017,308,0.13276836158192096
362,Sammie Coates,WR120,316.0,Sammie Coates,sammie coates,WR,2017,309,0.12994350282485878
363,Ryan Succop,K28,317.0,Ryan Succop,ryan succop,K,2017,310,0.1271186440677966
364,Cameron Artis-Payne,RB104,320.0,Cameron Artis-Payne,cameron artis-payne,RB,2017,311,0.12429378531073443
365,Kai Forbath,K29,321.0,Kai Forbath,kai forbath,K,2017,312,0.12146892655367236
366,Shaun Draughn,RB105,322.0,Shaun Draughn,shaun draughn,RB,2017,313,0.11864406779661019
367,Colin Kaepernick,QB41,323.0,Colin Kaepernick,colin kaepernick,QB,2017,314,0.11581920903954801
369,Robbie Gould,K30,326.0,Robbie Gould,robbie gould,K,2017,315,0.11299435028248583
370,Kenneth Dixon,RB106,327.0,Kenneth Dixon,kenneth dixon,RB,2017,316,0.11016949152542377
371,Dorial Green-Beckham,WR122,329.0,Dorial Green-Beckham,dorial green-beckham,WR,2017,317,0.10734463276836159
372,Ryan Tannehill,QB42,330.0,Ryan Tannehill,ryan tannehill,QB,2017,318,0.10451977401129942
373,Rico Gathers,TE41,332.0,Rico Gathers,rico gathers,TE,2017,319,0.10169491525423724
374,Derrick Coleman,RB107,333.0,Derrick Coleman,derrick coleman,RB,2017,320,0.09887005649717517
375,Kyle Brindza,K31,334.0,Kyle Brindza,kyle brindza,K,2017,321,0.096045197740113
376,Quincy Enunwa,WR123,335.0,Quincy Enunwa,quincy enunwa,WR,2017,322,0.09322033898305082
377,Greg Zuerlein,K32,336.0,Greg Zuerlein,greg zuerlein,K,2017,323,0.09039548022598876
378,Mack Hollins,WR124,337.0,Mack Hollins,mack hollins,WR,2017,324,0.08757062146892658
379,Seth DeValve,TE42,338.0,Seth DeValve,seth devalve,TE,2017,325,0.0847457627118644
380,Dion Sims,TE43,339.0,Dion Sims,dion sims,TE,2017,326,0.08192090395480223
381,Adam Shaheen,TE44,340.0,Adam Shaheen,adam shaheen,TE,2017,327,0.07909604519774016
382,Andrew Franks,K33,341.0,Andrew Franks,andrew franks,K,2017,328,0.07627118644067798
383,Mike Tolbert,RB108,342.0,Mike Tolbert,mike tolbert,RB,2017,329,0.07344632768361581
384,Elijah McGuire,RB109,343.0,Elijah McGuire,elijah mcguire,RB,2017,330,0.07062146892655363
385,Aaron Hernandez,TE45,344.0,Aaron Hernandez,aaron hernandez,TE,2017,331,0.06779661016949157
386,Nick Boyle,TE46,345.0,Nick Boyle,nick boyle,TE,2017,332,0.06497175141242939
387,Corey Clement,RB110,346.0,Corey Clement,corey clement,RB,2017,333,0.062146892655367214
388,Rod Smith,RB111,347.0,Rod Smith,rod smith,RB,2017,334,0.05932203389830504
389,Alfred Blue,RB112,348.0,Alfred Blue,alfred blue,RB,2017,335,0.05649717514124297
390,Benny Cunningham Jr.,RB113,349.0,Benny Cunningham Jr.,benny cunningham jr,RB,2017,336,0.053672316384180796
391,Andre Holmes,WR125,350.0,Andre Holmes,andre holmes,WR,2017,337,0.05084745762711862
392,Jakeem Grant Sr.,WR126,351.0,Jakeem Grant Sr.,jakeem grant sr,WR,2017,338,0.04802259887005644
393,Jake Butt,TE47,352.0,Jake Butt,jake butt,TE,2017,339,0.04519774011299438
394,Dwayne Harris,WR127,353.0,Dwayne Harris,dwayne harris,WR,2017,340,0.0423728813559322
395,Malcolm Brown,RB114,354.0,Malcolm Brown,malcolm brown,RB,2017,341,0.039548022598870025
396,Matt Moore,QB43,356.0,Matt Moore,matt moore,QB,2017,342,0.03672316384180796
397,Charone Peake,WR128,357.0,Charone Peake,charone peake,WR,2017,343,0.03389830508474578
398,Jaelen Strong,WR129,358.0,Jaelen Strong,jaelen strong,WR,2017,344,0.031073446327683607
399,David Fluellen,RB115,359.0,David Fluellen,david fluellen,RB,2017,345,0.02824858757062143
400,Maxx Williams,TE48,360.0,Maxx Williams,maxx williams,TE,2017,346,0.025423728813559365
401,J.D. McKissic,RB116,361.0,J.D. McKissic,jd mckissic,RB,2017,347,0.02259887005649719
402,Jordan Leggett,TE49,362.0,Jordan Leggett,jordan leggett,TE,2017,348,0.019774011299435013
403,Tyler Ervin,RB117,363.0,Tyler Ervin,tyler ervin,RB,2017,349,0.016949152542372836
404,Trent Taylor,WR130,364.0,Trent Taylor,trent taylor,WR,2017,350,0.01412429378531077
405,Jonnu Smith,TE50,365.0,Jonnu Smith,jonnu smith,TE,2017,351,0.011299435028248594
406,Ryan Griffin,TE51,366.0,Ryan Griffin,ryan griffin,TE,2017,352,0.008474576271186418
407,Ka'imi Fairbairn,K34,367.0,Ka'imi Fairbairn,kaimi fairbairn,K,2017,353,0.005649717514124242
408,Michael Campanaro,WR131,368.0,Michael Campanaro,michael campanaro,WR,2017,354,0.0028248587570621764
409,Albert Wilson,WR132,369.0,Albert Wilson,albert wilson,WR,2017,355,0.0
