Rank,Player,POS,AVG,Player_fixed,player_clean,POS_group,year,adp_rank,adp_percentile
73,Mike Gillislee,RB29,77.8,Mike Gillislee,mike gillislee,RB,2017,67,0.8135593220338984
74,Delanie Walker,TE7,78.4,Delanie Walker,delanie walker,TE,2017,68,0.8107344632768362
75,Zach Ertz,TE8,78.4,Zach Ertz,zach ertz,TE,2017,68,0.8107344632768362
76,Tyler Eifert,TE9,78.8,Tyler Eifert,tyler eifert,TE,2017,69,0.807909604519774
77,Frank Gore,RB30,80.8,Frank Gore,frank gore,RB,2017,70,0.8050847457627118
78,Jameis Winston,QB6,81.4,Jameis Winston,jameis winston,QB,2017,71,0.8022598870056497
79,Theo Riddick,RB31,82.8,Theo Riddick,theo riddick,RB,2017,72,0.7994350282485876
80,Robert Kelley,RB32,83.6,Robert Kelley,robert kelley,RB,2017,73,0.7966101694915254
81,Kirk Cousins,QB7,84.4,Kirk Cousins,kirk cousins,QB,2017,75,0.7909604519774012
82,Paul Perkins,RB33,84.6,Paul Perkins,paul perkins,RB,2017,76,0.788135593220339
83,Jeremy Maclin,WR34,84.6,Jeremy Maclin,jeremy maclin,WR,2017,76,0.788135593220339
84,Willie Snead,WR35,84.8,Willie Snead,willie snead,WR,2017,77,0.7853107344632768
85,Marcus Mariota,QB8,84.8,Marcus Mariota,marcus mariota,QB,2017,77,0.7853107344632768
86,Derek Carr,QB9,85.2,Derek Carr,derek carr,QB,2017,78,0.7824858757062148
87,Cam Newton,QB10,86.8,Cam Newton,cam newton,QB,2017,79,0.7796610169491526
88,DeSean Jackson,WR36,87.2,DeSean Jackson,desean jackson,WR,2017,80,0.7768361581920904
89,Martellus Bennett,TE10,89.8,Martellus Bennett,martellus bennett,TE,2017,81,0.7740112994350282
90,Derrick Henry,RB34,90.0,Derrick Henry,derrick henry,RB,2017,82,0.771186440677966
91,Eric Decker,WR37,90.4,Eric Decker,eric decker,WR,2017,83,0.768361581920904
92,Randall Cobb,WR38,90.6,Randall Cobb,randall cobb,WR,2017,84,0.7655367231638418
93,Duke Johnson Jr.,RB35,92.8,Duke Johnson Jr.,duke johnson jr,RB,2017,85,0.7627118644067796
94,Tyrell Williams,WR39,93.0,Tyrell Williams,tyrell williams,WR,2017,86,0.7598870056497176
95,Terrance West,RB36,95.4,Terrance West,terrance west,RB,2017,87,0.7570621468926554
96,Andrew Luck,QB11,99.6,Andrew Luck,andrew luck,QB,2017,88,0.7542372881355932
97,Adam Thielen,WR40,100.8,Adam Thielen,adam thielen,WR,2017,89,0.751412429378531
98,Eddie Lacy,RB37,101.6,Eddie Lacy,eddie lacy,RB,2017,90,0.7485875706214689
99,LeGarrette Blount,RB38,102.6,LeGarrette Blount,legarrette blount,RB,2017,91,0.7457627118644068
100,Darren McFadden,RB39,103.0,Darren McFadden,darren mcfadden,RB,2017,92,0.7429378531073446
101,Chris Hogan,WR41,103.6,Chris Hogan,chris hogan,WR,2017,93,0.7401129943502824
102,Ben Roethlisberger,QB12,104.0,Ben Roethlisberger,ben roethlisberger,QB,2017,94,0.7372881355932204
103,Hunter Henry,TE11,106.2,Hunter Henry,hunter henry,TE,2017,95,0.7344632768361582
104,James White,RB40,107.8,James White,james white,RB,2017,97,0.728813559322034
105,Corey Coleman,WR42,109.0,Corey Coleman,corey coleman,WR,2017,99,0.7231638418079096
106,Dak Prescott,QB13,109.8,Dak Prescott,dak prescott,QB,2017,101,0.7175141242937852
107,Matthew Stafford,QB14,113.6,Matthew Stafford,matthew stafford,QB,2017,103,0.711864406779661
108,Thomas Rawls,RB41,114.2,Thomas Rawls,thomas rawls,RB,2017,104,0.7090395480225988
109,Marvin Jones Jr.,WR43,117.2,Marvin Jones Jr.,marvin jones jr,WR,2017,105,0.7062146892655368
110,Jonathan Stewart,RB42,117.6,Jonathan Stewart,jonathan stewart,RB,2017,107,0.7005649717514124
111,Rishard Matthews,WR44,119.6,Rishard Matthews,rishard matthews,WR,2017,108,0.6977401129943503
112,Philip Rivers,QB15,120.4,Philip Rivers,philip rivers,QB,2017,109,0.6949152542372881
113,Jordan Matthews,TE12,120.6,Jordan Matthews,jordan matthews,TE,2017,110,0.692090395480226
114,Matt Forte,RB43,121.4,Matt Forte,matt forte,RB,2017,111,0.6892655367231638
115,Eric Ebron,TE13,121.6,Eric Ebron,eric ebron,TE,2017,112,0.6864406779661016
