Rank,Player,POS,CBS,AVG,Player_fixed,player_clean,POS_group,year
1,Todd Gurley,RB1,1.0,1.0,Todd Gurley,todd gurley,RB,2018
3,David Johnson,RB3,3.0,3.2,David Johnson,david johnson,RB,2018
4,Ezekiel Elliott,RB4,4.0,3.6,Ezekiel Elliott,ezekiel elliott,RB,2018
5,Antonio Brown,WR1,5.0,5.4,Antonio Brown,antonio brown,WR,2018
6,Saquon Barkley,RB5,6.0,6.2,Saquon Barkley,saquon barkley,RB,2018
7,Alvin Kamara,RB6,7.0,6.4,Alvin Kamara,alvin kamara,RB,2018
8,Leonard Fournette,RB7,9.0,8.4,Leonard Fournette,leonard fournette,RB,2018
9,Kareem Hunt,RB8,8.0,9.0,Kareem Hunt,kareem hunt,RB,2018
10,DeAndre Hopkins,WR2,11.0,10.2,DeAndre Hopkins,deandre hopkins,WR,2018
11,Melvin Gordon,RB9,10.0,10.4,Melvin Gordon,melvin gordon,RB,2018
12,dell Beckham Jr.,WR3,12.0,12.0,dell Beckham Jr.,dell beckham jr,WR,2018
13,Dalvin Cook,RB10,14.0,13.6,Dalvin Cook,dalvin cook,RB,2018
14,Julio Jones,WR4,15.0,14.4,Julio Jones,julio jones,WR,2018
15,Christian McCaffrey,RB11,13.0,15.0,Christian McCaffrey,christian mccaffrey,RB,2018
16,Michael Thomas,WR5,18.0,17.4,Michael Thomas,michael thomas,WR,2018
17,Devonta Freeman,RB12,16.0,17.6,Devonta Freeman,devonta freeman,RB,2018
18,Davante Adams,WR6,19.0,17.8,Davante Adams,davante adams,WR,2018
19,Keenan Allen,WR7,21.0,19.0,Keenan Allen,keenan allen,WR,2018
20,Jordan Howard,RB13,24.0,21.0,Jordan Howard,jordan howard,RB,2018
21,Rob Gronkowski,TE1,20.0,21.6,Rob Gronkowski,rob gronkowski,TE,2018
22,A.J. Green ,WR8,22.0,21.6,A.J. Green ,aj green,WR,2018
23,Joe Mixon,RB14,27.0,23.8,Joe Mixon,joe mixon,RB,2018
24,Aaron Rodgers,QB1,17.0,24.0,Aaron Rodgers,aaron rodgers,QB,2018
25,Mike Evans,WR9,30.0,25.6,Mike Evans,mike evans,WR,2018
26,LeSean McCoy,RB15,23.0,26.0,LeSean McCoy,lesean mccoy,RB,2018
27,Tyreek Hill,WR10,32.0,27.0,Tyreek Hill,tyreek hill,WR,2018
28,Travis Kelce,TE2,25.0,28.2,Travis Kelce,travis kelce,TE,2018
29,Stefon Diggs,WR11,31.0,30.2,Stefon Diggs,stefon diggs,WR,2018
30,T.Y. Hilton,WR12,34.0,31.0,T.Y. Hilton,ty hilton,WR,2018
31,Alex Collins ,RB16,35.0,33.2,Alex Collins ,alex collins,RB,2018
32,Adam Thielen,WR13,39.0,34.4,Adam Thielen,adam thielen,WR,2018
33,Kenyan Drake,RB17,37.0,35.2,Kenyan Drake,kenyan drake,RB,2018
34,Amari Cooper,WR14,36.0,35.4,Amari Cooper,amari cooper,WR,2018
35,Derrick Henry,RB18,41.0,35.8,Derrick Henry,derrick henry,RB,2018
36,Deshaun Watson,QB2,29.0,37.4,Deshaun Watson,deshaun watson,QB,2018
37,Jay Ajayi ,RB19,46.0,39.4,Jay Ajayi ,jay ajayi,RB,2018
38,Doug Baldwin,WR15,44.0,39.6,Doug Baldwin,doug baldwin,WR,2018
39,Zach Ertz,TE3,38.0,39.8,Zach Ertz,zach ertz,TE,2018
40,Royce Freeman,RB20,33.0,41.0,Royce Freeman,royce freeman,RB,2018
41,JuJu Smith-Schuster,WR16,47.0,42.0,JuJu Smith-Schuster,juju smith-schuster,WR,2018
42,Larry Fitzgerald,WR17,49.0,43.2,Larry Fitzgerald,larry fitzgerald,WR,2018
43,Jarvis Landry,WR18,42.0,43.6,Jarvis Landry,jarvis landry,WR,2018
44,Tom Brady,QB3,26.0,43.8,Tom Brady,tom brady,QB,2018
45,Lamar Miller,RB21,40.0,44.6,Lamar Miller,lamar miller,RB,2018
46,Brandin Cooks,WR19,56.0,46.0,Brandin Cooks,brandin cooks,WR,2018
47,Demaryius Thomas ,WR20,48.0,48.6,Demaryius Thomas ,demaryius thomas,WR,2018
48,Russell Wilson,QB4,43.0,49.4,Russell Wilson,russell wilson,QB,2018
49,Jimmy Graham,TE4,51.0,50.2,Jimmy Graham,jimmy graham,TE,2018
50,Josh Gordon ,WR21,53.0,50.8,Josh Gordon ,josh gordon,WR,2018
51,Mark Ingram II ,RB22,55.0,52.0,Mark Ingram II ,mark ingram ii,RB,2018
52,Allen Robinson,WR22,64.0,54.2,Allen Robinson,allen robinson,WR,2018
53,Marvin Jones Jr. ,WR23,57.0,54.6,Marvin Jones Jr. ,marvin jones jr,WR,2018
54,Golden Tate,WR24,50.0,54.8,Golden Tate,golden tate,WR,2018
55,Chris Hogan,WR25,58.0,57.4,Chris Hogan,chris hogan,WR,2018
56,Cam Newton ,QB5,54.0,58.8,Cam Newton ,cam newton,QB,2018
57,Marshawn Lynch ,RB23,65.0,59.2,Marshawn Lynch ,marshawn lynch,RB,2018
58,Carlos Hyde,RB24,70.0,60.6,Carlos Hyde,carlos hyde,RB,2018
59,Greg lsen,TE5,61.0,60.6,Greg lsen,greg lsen,TE,2018
60,Drew Brees,QB6,45.0,60.8,Drew Brees,drew brees,QB,2018
61,Dion Lewis,RB25,72.0,63.4,Dion Lewis,dion lewis,RB,2018
62,Kerryon Johnson ,RB26,60.0,66.2,Kerryon Johnson ,kerryon johnson,RB,2018
63,Tevin Coleman,RB27,52.0,67.0,Tevin Coleman,tevin coleman,RB,2018
64,Marquise Goodwin,WR26,68.0,67.0,Marquise Goodwin,marquise goodwin,WR,2018
65,Corey Davis,WR27,77.0,67.6,Corey Davis,corey davis,WR,2018
66,Evan Engram,TE6,62.0,68.0,Evan Engram,evan engram,TE,2018
67,Jamaal Williams,RB28,69.0,69.8,Jamaal Williams,jamaal williams,RB,2018
68,Michael Crabtree,WR28,59.0,69.8,Michael Crabtree,michael crabtree,WR,2018
69,Rex Burkhead,RB29,78.0,73.2,Rex Burkhead,rex burkhead,RB,2018
70,Carson Wentz ,QB7,73.0,75.2,Carson Wentz ,carson wentz,QB,2018
71,Julian Edelman ,WR29,81.0,75.6,Julian Edelman ,julian edelman,WR,2018
72,Sony Michel,RB30,96.0,76.0,Sony Michel,sony michel,RB,2018
73,Alshon Jeffery,WR30,104.0,76.8,Alshon Jeffery,alshon jeffery,WR,2018
74,Kyle Rudolph,TE7,71.0,77.4,Kyle Rudolph,kyle rudolph,TE,2018
75,Emmanuel Sanders ,WR31,82.0,78.6,Emmanuel Sanders ,emmanuel sanders,WR,2018
76,Delanie Walker ,TE8,76.0,79.0,Delanie Walker ,delanie walker,TE,2018
77,William Fuller V ,WR32,94.0,79.4,William Fuller V ,william fuller v,WR,2018
78,Kirk Cousins,QB8,74.0,81.0,Kirk Cousins,kirk cousins,QB,2018
79,Rashaad Penny,RB31,113.0,82.0,Rashaad Penny,rashaad penny,RB,2018
80,Sammy Watkins,WR33,93.0,82.8,Sammy Watkins,sammy watkins,WR,2018
81,Trey Burton ,TE9,75.0,83.0,Trey Burton ,trey burton,TE,2018
82,Chris Carson,RB32,89.0,83.8,Chris Carson,chris carson,RB,2018
83,Andrew Luck,QB9,66.0,85.6,Andrew Luck,andrew luck,QB,2018
84,Jordy Nelson,WR34,90.0,86.8,Jordy Nelson,jordy nelson,WR,2018
85,Devin Funchess,WR35,105.0,87.2,Devin Funchess,devin funchess,WR,2018
86,Robert Woods,WR36,80.0,89.4,Robert Woods,robert woods,WR,2018
87,Cooper Kupp,WR37,83.0,89.4,Cooper Kupp,cooper kupp,WR,2018
88,Jordan Reed ,TE10,88.0,89.8,Jordan Reed ,jordan reed,TE,2018
89,Isaiah Crowell ,RB33,102.0,90.0,Isaiah Crowell ,isaiah crowell,RB,2018
90,Tarik Cohen,RB34,95.0,91.4,Tarik Cohen,tarik cohen,RB,2018
91,Matthew Stafford,QB10,92.0,91.4,Matthew Stafford,matthew stafford,QB,2018
92,Chris Thompson,RB35,87.0,93.2,Chris Thompson,chris thompson,RB,2018
93,Ben Roethlisberger,QB11,63.0,93.4,Ben Roethlisberger,ben roethlisberger,QB,2018
94,Jimmy Garoppolo,QB12,79.0,93.6,Jimmy Garoppolo,jimmy garoppolo,QB,2018
95,Robbie Chosen,WR38,97.0,94.2,Robbie Chosen,robbie chosen,WR,2018
96,Marlon Mack,RB36,112.0,95.2,Marlon Mack,marlon mack,RB,2018
