Rank,Player,POS,CBS,AVG,Player_fixed,player_clean,POS_group,year
170,Baltimore Ravens,DST6,125.0,132.8,Baltimore Ravens,baltimore ravens,DST,2018
171,Chris Boswell,K8,162.0,180.2,Chris Boswell,chris boswell,K,2018
172,Robbie Gould,K9,153.0,181.2,Robbie Gould,robbie gould,K,2018
173,Houston Texans,DST7,143.0,138.0,Houston Texans,houston texans,DST,2018
174,Geronimo Allison ,WR62,183.0,184.4,Geronimo Allison ,geronimo allison,WR,2018
175,Tyrell Williams,WR63,170.0,185.6,Tyrell Williams,tyrell williams,WR,2018
176,Mitchell Trubisky,QB23,187.0,186.6,Mitchell Trubisky,mitchell trubisky,QB,2018
177,Denver Broncos,DST8,146.0,145.3,Denver Broncos,denver broncos,DST,2018
178,Cameron Meredith ,WR64,,147.5,Cameron Meredith ,cameron meredith,WR,2018
179,Andy Dalton,QB24,181.0,192.0,Andy Dalton,andy dalton,QB,2018
180,Case Keenum,QB25,169.0,192.4,Case Keenum,case keenum,QB,2018
181,Spencer Ware,RB59,194.0,199.2,Spencer Ware,spencer ware,RB,2018
182,Courtland Sutton,WR65,195.0,201.6,Courtland Sutton,courtland sutton,WR,2018
183,Frank Gore ,RB60,213.0,202.0,Frank Gore ,frank gore,RB,2018
184,Benjamin Watson,TE17,188.0,203.8,Benjamin Watson,benjamin watson,TE,2018
185,Matt Prater,K10,206.0,204.0,Matt Prater,matt prater,K,2018
186,New Orleans Saints,DST9,192.0,166.0,New Orleans Saints,new orleans saints,DST,2018
187,Theo Riddick,RB61,176.0,167.8,Theo Riddick,theo riddick,RB,2018
188,Pittsburgh Steelers,DST10,131.0,169.5,Pittsburgh Steelers,pittsburgh steelers,DST,2018
189,DeSean Jackson,WR66,196.0,171.0,DeSean Jackson,desean jackson,WR,2018
190,Austin Seferian-Jenkins,TE18,173.0,171.0,Austin Seferian-Jenkins,austin seferian-jenkins,TE,2018
191,Mason Crosby,K11,210.0,211.0,Mason Crosby,mason crosby,K,2018
192,Ricky Seals-Jones,TE19,185.0,211.6,Ricky Seals-Jones,ricky seals-jones,TE,2018
193,Jared Cook,TE20,148.0,173.8,Jared Cook,jared cook,TE,2018
194,Chicago Bears,DST11,158.0,175.0,Chicago Bears,chicago bears,DST,2018
195,Carolina Panthers,DST12,186.0,176.0,Carolina Panthers,carolina panthers,DST,2018
196,New England Patriots,DST13,184.0,181.8,New England Patriots,new england patriots,DST,2018
197,Martavis Bryant ,WR67,,182.5,Martavis Bryant ,martavis bryant,WR,2018
198,Cameron Brate,TE21,191.0,184.5,Cameron Brate,cameron brate,TE,2018
199,Ted Ginn Jr.,WR68,179.0,186.0,Ted Ginn Jr.,ted ginn jr,WR,2018
200,T.J. Yeldon,RB62,,186.3,T.J. Yeldon,tj yeldon,RB,2018
201,Blake Bortles,QB26,172.0,187.0,Blake Bortles,blake bortles,QB,2018
202,Paul Richardson Jr. ,WR69,208.0,188.8,Paul Richardson Jr. ,paul richardson jr,WR,2018
203,Robert Kelley,RB63,,189.3,Robert Kelley,robert kelley,RB,2018
204,John Ross,WR70,,189.5,John Ross,john ross,WR,2018
205,Mike Gesicki,TE22,198.0,189.5,Mike Gesicki,mike gesicki,TE,2018
206,Nyheim Miller-Hines,RB64,197.0,192.5,Nyheim Miller-Hines,nyheim miller-hines,RB,2018
207,Daniel Carlson,K12,212.0,228.4,Daniel Carlson,daniel carlson,K,2018
208,Adam Vinatieri,K13,204.0,229.2,Adam Vinatieri,adam vinatieri,K,2018
209,Christian Kirk,WR71,,195.8,Christian Kirk,christian kirk,WR,2018
210,Austin Hooper,TE23,,195.8,Austin Hooper,austin hooper,TE,2018
211,Dan Bailey,K14,211.0,230.8,Dan Bailey,dan bailey,K,2018
212,Graham Gano,K15,214.0,233.2,Graham Gano,graham gano,K,2018
213,Tyrod Taylor,QB27,,206.0,Tyrod Taylor,tyrod taylor,QB,2018
214,Dez Bryant ,WR72,,157.0,Dez Bryant ,dez bryant,WR,2018
215,Charles Clay,TE24,177.0,210.5,Charles Clay,charles clay,TE,2018
216,Donte Moncrief,WR73,,213.3,Donte Moncrief,donte moncrief,WR,2018
217,Danny Amendola,WR74,,213.3,Danny Amendola,danny amendola,WR,2018
218,Arizona Cardinals,DST14,199.0,215.0,Arizona Cardinals,arizona cardinals,DST,2018
219,Marqise Lee ,WR75,,164.7,Marqise Lee ,marqise lee,WR,2018
220,Atlanta Falcons,DST15,207.0,220.5,Atlanta Falcons,atlanta falcons,DST,2018
221,Ryan Succop,K16,216.0,233.8,Ryan Succop,ryan succop,K,2018
222,Brandon McManus,K17,,235.0,Brandon McManus,brandon mcmanus,K,2018
223,Josh Lambo,K18,215.0,236.0,Josh Lambo,josh lambo,K,2018
224,Kansas City Chiefs,DST16,203.0,196.7,Kansas City Chiefs,kansas city chiefs,DST,2018
225,John Kelly Jr.,RB65,,241.3,John Kelly Jr.,john kelly jr,RB,2018
226,Samaje Perine,RB66,,199.7,Samaje Perine,samaje perine,RB,2018
227,Javorius Allen,RB67,,200.3,Javorius Allen,javorius allen,RB,2018
228,Tennessee Titans,DST17,126.0,205.7,Tennessee Titans,tennessee titans,DST,2018
229,Seattle Seahawks,DST18,209.0,205.7,Seattle Seahawks,seattle seahawks,DST,2018
