Rank,Player,POS,AVG,Player_fixed,player_clean,POS_group,year
48,Melvin Gordon,RB24,47.5,Melvin Gordon,melvin gordon,RB,2019
49,Kenny Golladay,WR19,48.5,Kenny Golladay,kenny golladay,WR,2019
50,Chris Godwin,WR20,49.0,Chris Godwin,chris godwin,WR,2019
51,Cooper Kupp,WR21,50.5,Cooper Kupp,cooper kupp,WR,2019
52,Phillip Lindsay,RB25,51.5,Phillip Lindsay,phillip lindsay,RB,2019
53,Calvin Ridley,WR22,54.8,Calvin Ridley,calvin ridley,WR,2019
54,Baker Mayfield,QB4,56.0,Baker Mayfield,baker mayfield,QB,2019
55,O.J. Howard,TE4,56.5,O.J. Howard,oj howard,TE,2019
56,Tevin Coleman,RB26,57.0,Tevin Coleman,tevin coleman,RB,2019
57,Tyler Boyd,WR23,58.0,Tyler Boyd,tyler boyd,WR,2019
58,Austin Ekeler,RB27,60.3,Austin Ekeler,austin ekeler,RB,2019
59,Mike Williams,WR24,60.8,Mike Williams,mike williams,WR,2019
60,A.J. Green ,WR25,62.5,A.J. Green ,aj green,WR,2019
61,Evan Engram,TE5,63.8,Evan Engram,evan engram,TE,2019
62,Matt Ryan,QB5,64.3,Matt Ryan,matt ryan,QB,2019
63,Alshon Jeffery ,WR26,64.5,Alshon Jeffery ,alshon jeffery,WR,2019
64,James White,RB28,64.8,James White,james white,RB,2019
65,Josh Gordon,WR27,67.3,Josh Gordon,josh gordon,WR,2019
66,Hunter Henry,TE6,68.3,Hunter Henry,hunter henry,TE,2019
67,DJ Moore,WR28,68.8,DJ Moore,dj moore,WR,2019
68,Miles Sanders,RB29,69.0,Miles Sanders,miles sanders,RB,2019
69,Jarvis Landry,WR29,71.0,Jarvis Landry,jarvis landry,WR,2019
70,Duke Johnson Jr.,RB30,71.3,Duke Johnson Jr.,duke johnson jr,RB,2019
71,Drew Brees,QB6,72.3,Drew Brees,drew brees,QB,2019
72,Carson Wentz,QB7,72.5,Carson Wentz,carson wentz,QB,2019
73,Derrius Guice ,RB31,73.8,Derrius Guice ,derrius guice,RB,2019
74,Kenyan Drake,RB32,74.0,Kenyan Drake,kenyan drake,RB,2019
75,Jared Cook,TE7,74.3,Jared Cook,jared cook,TE,2019
76,Tarik Cohen,RB33,74.5,Tarik Cohen,tarik cohen,RB,2019
77,Allen Robinson,WR30,75.3,Allen Robinson,allen robinson,WR,2019
78,Robbie Chosen,WR31,77.3,Robbie Chosen,robbie chosen,WR,2019
79,Jared Goff,QB8,79.0,Jared Goff,jared goff,QB,2019
80,Dede Westbrook,WR32,80.0,Dede Westbrook,dede westbrook,WR,2019
81,William Fuller,WR33,81.3,William Fuller,william fuller,WR,2019
82,Russell Wilson,QB9,83.0,Russell Wilson,russell wilson,QB,2019
83,Latavius Murray,RB34,85.3,Latavius Murray,latavius murray,RB,2019
84,Chicago Bears,DST1,89.0,Chicago Bears,chicago bears,DST,2019
85,Vance McDonald,TE8,89.3,Vance McDonald,vance mcdonald,TE,2019
86,Sammy Watkins,WR34,89.5,Sammy Watkins,sammy watkins,WR,2019
87,Jordan Howard,RB35,89.8,Jordan Howard,jordan howard,RB,2019
88,Emmanuel Sanders,WR35,91.0,Emmanuel Sanders,emmanuel sanders,WR,2019
89,Cam Newton ,QB10,91.0,Cam Newton ,cam newton,QB,2019
90,Christian Kirk,WR36,91.3,Christian Kirk,christian kirk,WR,2019
91,Sterling Shepard,WR37,93.5,Sterling Shepard,sterling shepard,WR,2019
92,Corey Davis,WR38,95.5,Corey Davis,corey davis,WR,2019
93,Marvin Jones Jr. ,WR39,97.0,Marvin Jones Jr. ,marvin jones jr,WR,2019
94,LeSean McCoy,RB36,98.3,LeSean McCoy,lesean mccoy,RB,2019
95,Eric Ebron ,TE9,99.0,Eric Ebron ,eric ebron,TE,2019
96,Ben Roethlisberger ,QB11,99.5,Ben Roethlisberger ,ben roethlisberger,QB,2019
97,Matt Breida,RB37,99.8,Matt Breida,matt breida,RB,2019
98,Curtis Samuel,WR40,100.0,Curtis Samuel,curtis samuel,WR,2019
99,Devin Singletary,RB38,100.8,Devin Singletary,devin singletary,RB,2019
100,Rashaad Penny ,RB39,101.3,Rashaad Penny ,rashaad penny,RB,2019
101,David Njoku,TE10,102.0,David Njoku,david njoku,TE,2019
102,Darrell Henderson Jr.,RB40,102.3,Darrell Henderson Jr.,darrell henderson jr,RB,2019
103,Jameis Winston,QB12,103.5,Jameis Winston,jameis winston,QB,2019
104,Larry Fitzgerald,WR41,103.8,Larry Fitzgerald,larry fitzgerald,WR,2019
105,Tom Brady,QB13,104.0,Tom Brady,tom brady,QB,2019
106,Lamar Jackson,QB14,104.3,Lamar Jackson,lamar jackson,QB,2019
107,Peyton Barber,RB41,111.3,Peyton Barber,peyton barber,RB,2019
108,Kyler Murray,QB15,111.8,Kyler Murray,kyler murray,QB,2019
109,Dante Pettis,WR42,112.0,Dante Pettis,dante pettis,WR,2019
110,Kareem Hunt,RB42,113.0,Kareem Hunt,kareem hunt,RB,2019
111,Los Angeles Rams,DST2,113.0,Los Angeles Rams,los angeles rams,DST,2019
112,Royce Freeman,RB43,113.3,Royce Freeman,royce freeman,RB,2019
113,Marquez Valdes-Scantling,WR43,113.5,Marquez Valdes-Scantling,marquez valdes-scantling,WR,2019
114,Tony Pollard,RB44,114.3,Tony Pollard,tony pollard,RB,2019
115,Courtland Sutton,WR44,114.8,Courtland Sutton,courtland sutton,WR,2019
116,Philip Rivers,QB16,115.0,Philip Rivers,philip rivers,QB,2019
117,Delanie Walker ,TE11,116.3,Delanie Walker ,delanie walker,TE,2019
118,Greg Zuerlein,K1,117.5,Greg Zuerlein,greg zuerlein,K,2019
119,James Washington,WR45,119.3,James Washington,james washington,WR,2019
120,Geronimo Allison,WR46,123.3,Geronimo Allison,geronimo allison,WR,2019
121,Darwin Thompson,RB45,123.8,Darwin Thompson,darwin thompson,RB,2019
122,Dak Prescott,QB17,123.8,Dak Prescott,dak prescott,QB,2019
123,Adrian Peterson,RB46,124.8,Adrian Peterson,adrian peterson,RB,2019
124,Justin Tucker,K2,125.5,Justin Tucker,justin tucker,K,2019
125,Jacksonville Jaguars,DST3,125.5,Jacksonville Jaguars,jacksonville jaguars,DST,2019
126,Minnesota Vikings,DST4,125.8,Minnesota Vikings,minnesota vikings,DST,2019
127,DeSean Jackson ,WR47,130.5,DeSean Jackson ,desean jackson,WR,2019
128,Justin Jackson,RB47,131.3,Justin Jackson,justin jackson,RB,2019
129,Austin Hooper,TE12,132.3,Austin Hooper,austin hooper,TE,2019
130,Kalen Ballage ,RB48,132.8,Kalen Ballage ,kalen ballage,RB,2019
131,Dion Lewis,RB49,133.8,Dion Lewis,dion lewis,RB,2019
132,Michael Gallup,WR48,135.3,Michael Gallup,michael gallup,WR,2019
133,Baltimore Ravens,DST5,135.3,Baltimore Ravens,baltimore ravens,DST,2019
134,Kirk Cousins,QB18,137.0,Kirk Cousins,kirk cousins,QB,2019
135,Donte Moncrief,WR49,139.0,Donte Moncrief,donte moncrief,WR,2019
136,T.J. Hockenson,TE13,139.3,T.J. Hockenson,tj hockenson,TE,2019
137,Jaylen Samuels,RB50,139.3,Jaylen Samuels,jaylen samuels,RB,2019
138,Harrison Butker,K3,139.5,Harrison Butker,harrison butker,K,2019
139,Tyrell Williams,WR50,140.5,Tyrell Williams,tyrell williams,WR,2019
140,Mark Andrews,TE14,144.8,Mark Andrews,mark andrews,TE,2019
141,Mitchell Trubisky,QB19,146.5,Mitchell Trubisky,mitchell trubisky,QB,2019
142,John Brown,WR51,147.0,John Brown,john brown,WR,2019
143,Stephen Gostkowski ,K4,147.3,Stephen Gostkowski ,stephen gostkowski,K,2019
144,Anthony Miller,WR52,147.8,Anthony Miller,anthony miller,WR,2019
145,DK Metcalf,WR53,148.3,DK Metcalf,dk metcalf,WR,2019
146,Golden Tate,WR54,148.5,Golden Tate,golden tate,WR,2019
147,Greg Olsen,TE15,151.3,Greg Olsen,greg olsen,TE,2019
148,Justice Hill,RB51,151.5,Justice Hill,justice hill,RB,2019
149,Ronald Jones,RB52,152.5,Ronald Jones,ronald jones,RB,2019
150,Jimmy Garoppolo,QB20,154.3,Jimmy Garoppolo,jimmy garoppolo,QB,2019
151,Carlos Hyde,RB53,155.5,Carlos Hyde,carlos hyde,RB,2019
152,Trey Burton ,TE16,156.3,Trey Burton ,trey burton,TE,2019
153,Alexander Mattison,RB54,159.3,Alexander Mattison,alexander mattison,RB,2019
154,Josh Allen,QB21,159.3,Josh Allen,josh allen,QB,2019
155,Denver Broncos,DST6,161.5,Denver Broncos,denver broncos,DST,2019
156,New England Patriots,DST7,161.8,New England Patriots,new england patriots,DST,2019
157,Houston Texans,DST8,161.8,Houston Texans,houston texans,DST,2019
158,Keke Coutee,WR55,162.0,Keke Coutee,keke coutee,WR,2019
159,Damien Harris,RB55,163.5,Damien Harris,damien harris,RB,2019
160,Ka'imi Fairbairn,K5,164.3,Ka'imi Fairbairn,kaimi fairbairn,K,2019
161,Buffalo Bills,DST9,166.8,Buffalo Bills,buffalo bills,DST,2019
162,Cleveland Browns,DST10,168.8,Cleveland Browns,cleveland browns,DST,2019
163,Dallas Cowboys,DST11,170.5,Dallas Cowboys,dallas cowboys,DST,2019
164,Ito Smith ,RB56,171.5,Ito Smith ,ito smith,RB,2019
165,Jamison Crowder,WR56,172.5,Jamison Crowder,jamison crowder,WR,2019
166,Matthew Stafford,QB22,176.5,Matthew Stafford,matthew stafford,QB,2019
167,Robbie Gould,K6,179.3,Robbie Gould,robbie gould,K,2019
168,Los Angeles Chargers,DST12,143.3,Los Angeles Chargers,los angeles chargers,DST,2019
169,Kyle Rudolph,TE17,146.3,Kyle Rudolph,kyle rudolph,TE,2019
170,Deebo Samuel Sr.,WR57,185.3,Deebo Samuel Sr.,deebo samuel sr,WR,2019
171,Wil Lutz,K7,149.7,Wil Lutz,wil lutz,K,2019
172,Seattle Seahawks,DST13,187.0,Seattle Seahawks,seattle seahawks,DST,2019
174,Jordan Reed,TE18,156.7,Jordan Reed,jordan reed,TE,2019
175,Marquise Goodwin,WR59,193.0,Marquise Goodwin,marquise goodwin,WR,2019
176,New Orleans Saints,DST14,158.7,New Orleans Saints,new orleans saints,DST,2019
177,Jimmy Graham,TE19,158.7,Jimmy Graham,jimmy graham,TE,2019
178,Jake Elliott,K8,196.0,Jake Elliott,jake elliott,K,2019
179,Philadelphia Eagles,DST15,199.8,Philadelphia Eagles,philadelphia eagles,DST,2019
180,Mohamed Sanu Sr.,WR60,168.0,Mohamed Sanu Sr.,mohamed sanu sr,WR,2019
181,Michael Badgley,K9,202.8,Michael Badgley,michael badgley,K,2019
182,Derek Carr,QB23,172.0,Derek Carr,derek carr,QB,2019
183,Nyheim Miller-Hines,RB57,175.7,Nyheim Miller-Hines,nyheim miller-hines,RB,2019
184,Marquise Brown,WR61,178.0,Marquise Brown,marquise brown,WR,2019
185,Mecole Hardman Jr.,WR62,179.0,Mecole Hardman Jr.,mecole hardman jr,WR,2019
186,Sam Darnold,QB24,185.7,Sam Darnold,sam darnold,QB,2019
187,Kenny Stills,WR63,186.7,Kenny Stills,kenny stills,WR,2019
188,Kansas City Chiefs,DST16,188.3,Kansas City Chiefs,kansas city chiefs,DST,2019
189,C.J. Anderson,RB58,188.7,C.J. Anderson,cj anderson,RB,2019
190,Chris Thompson,RB59,189.0,Chris Thompson,chris thompson,RB,2019
191,Noah Fant,TE20,190.3,Noah Fant,noah fant,TE,2019
192,Pittsburgh Steelers,DST17,192.3,Pittsburgh Steelers,pittsburgh steelers,DST,2019
193,Jamaal Williams,RB60,200.3,Jamaal Williams,jamaal williams,RB,2019
194,Darren Waller,TE21,202.7,Darren Waller,darren waller,TE,2019
195,Nick Foles,QB25,205.3,Nick Foles,nick foles,QB,2019
196,Jalen Richard,RB61,206.0,Jalen Richard,jalen richard,RB,2019
197,Zay Jones,WR64,206.3,Zay Jones,zay jones,WR,2019
198,Malcolm Brown,RB62,207.7,Malcolm Brown,malcolm brown,RB,2019
199,Dare Ogunbowale,RB63,208.3,Dare Ogunbowale,dare ogunbowale,RB,2019
200,Devin Funchess ,WR65,163.5,Devin Funchess ,devin funchess,WR,2019
202,Nelson Agholor,WR67,210.0,Nelson Agholor,nelson agholor,WR,2019
203,Mason Crosby,K10,210.3,Mason Crosby,mason crosby,K,2019
204,DaeSean Hamilton,WR68,210.7,DaeSean Hamilton,daesean hamilton,WR,2019
205,Albert Wilson,WR69,212.7,Albert Wilson,albert wilson,WR,2019
206,Matt Prater,K11,213.3,Matt Prater,matt prater,K,2019
207,DeVante Parker,WR70,172.5,DeVante Parker,devante parker,WR,2019
209,Ty Montgomery,RB64,217.3,Ty Montgomery,ty montgomery,RB,2019
210,Jack Doyle,TE22,217.7,Jack Doyle,jack doyle,TE,2019
211,Jason Witten,TE23,218.7,Jason Witten,jason witten,TE,2019
212,Frank Gore,RB65,219.7,Frank Gore,frank gore,RB,2019
213,Miles Boykin,WR72,225.3,Miles Boykin,miles boykin,WR,2019
214,Adam Vinatieri ,K12,226.3,Adam Vinatieri ,adam vinatieri,K,2019
215,Indianapolis Colts,DST18,226.7,Indianapolis Colts,indianapolis colts,DST,2019
216,Matt Bryant,K13,250.3,Matt Bryant,matt bryant,K,2019
217,Jason Myers,K14,228.0,Jason Myers,jason myers,K,2019
218,Brett Maher,K15,228.3,Brett Maher,brett maher,K,2019
219,Chris Herndon IV ,TE24,196.0,Chris Herndon IV ,chris herndon iv,TE,2019
220,Green Bay Packers,DST19,231.0,Green Bay Packers,green bay packers,DST,2019
221,Adam Humphries,WR73,200.5,Adam Humphries,adam humphries,WR,2019
222,J.J. Arcega-Whiteside,WR74,201.0,J.J. Arcega-Whiteside,jj arcega-whiteside,WR,2019
223,Tennessee Titans,DST20,233.7,Tennessee Titans,tennessee titans,DST,2019
224,Dallas Goedert,TE25,207.0,Dallas Goedert,dallas goedert,TE,2019
225,Giovani Bernard,RB66,207.5,Giovani Bernard,giovani bernard,RB,2019
226,Austin Seibert,K16,240.3,Austin Seibert,austin seibert,K,2019
227,Parris Campbell ,WR75,211.5,Parris Campbell ,parris campbell,WR,2019
228,Chris Boswell,K17,242.3,Chris Boswell,chris boswell,K,2019
229,Marcus Mariota,QB26,215.0,Marcus Mariota,marcus mariota,QB,2019
230,A.J. Brown,WR76,218.5,A.J. Brown,aj brown,WR,2019
231,Gus Edwards,RB67,218.5,Gus Edwards,gus edwards,RB,2019
232,Randall Cobb,WR77,219.0,Randall Cobb,randall cobb,WR,2019
233,Cameron Brate,TE26,259.3,Cameron Brate,cameron brate,TE,2019
234,Giorgio Tavecchio,K18,229.5,Giorgio Tavecchio,giorgio tavecchio,K,2019
235,Mike Davis,RB68,231.0,Mike Davis,mike davis,RB,2019
236,Demaryius Thomas,WR78,232.0,Demaryius Thomas,demaryius thomas,WR,2019
237,Washington Commanders,DST21,256.0,Washington Commanders,washington commanders,DST,2019
238,Andy Isabella,WR79,234.0,Andy Isabella,andy isabella,WR,2019
239,Chase Edmonds,RB69,234.5,Chase Edmonds,chase edmonds,RB,2019
240,Chris Moore,WR80,288.5,Chris Moore,chris moore,WR,2019
241,Tyler Eifert,TE27,241.5,Tyler Eifert,tyler eifert,TE,2019
242,Antonio Callaway ,WR81,187.0,Antonio Callaway ,antonio callaway,WR,2019
243,Jacoby Brissett,QB27,243.0,Jacoby Brissett,jacoby brissett,QB,2019
244,Darrel Williams ,RB70,189.0,Darrel Williams ,darrel williams,RB,2019
245,T.J. Yeldon,RB71,244.0,T.J. Yeldon,tj yeldon,RB,2019
246,Ted Ginn Jr.,WR82,248.5,Ted Ginn Jr.,ted ginn jr,WR,2019
247,Quincy Enunwa ,WR83,246.5,Quincy Enunwa ,quincy enunwa,WR,2019
248,Kelvin Harmon,WR84,196.0,Kelvin Harmon,kelvin harmon,WR,2019
249,Willie Snead,WR85,249.0,Willie Snead,willie snead,WR,2019
250,Trayveon Williams,RB72,200.0,Trayveon Williams,trayveon williams,RB,2019
251,Andy Dalton,QB28,250.0,Andy Dalton,andy dalton,QB,2019
252,Mike Gesicki,TE28,250.5,Mike Gesicki,mike gesicki,TE,2019
253,Diontae Johnson,WR86,203.0,Diontae Johnson,diontae johnson,WR,2019
254,San Francisco 49ers,DST22,251.0,San Francisco 49ers,san francisco 49ers,DST,2019
255,Ryquell Armstead,RB73,251.5,Ryquell Armstead,ryquell armstead,RB,2019
256,Rashard Higgins,WR87,254.5,Rashard Higgins,rashard higgins,WR,2019
257,Aldrick Rosas,K19,254.5,Aldrick Rosas,aldrick rosas,K,2019
258,Robert Foster,WR88,211.0,Robert Foster,robert foster,WR,2019
259,Jakobi Meyers,WR89,212.0,Jakobi Meyers,jakobi meyers,WR,2019
260,Preston Williams ,WR90,213.0,Preston Williams ,preston williams,WR,2019
261,Cole Beasley,WR91,256.0,Cole Beasley,cole beasley,WR,2019
262,Matt LaCosse,TE29,222.0,Matt LaCosse,matt lacosse,TE,2019
263,Dontrell Hilliard,RB74,260.5,Dontrell Hilliard,dontrell hilliard,RB,2019
264,Trey Quinn ,WR92,262.0,Trey Quinn ,trey quinn,WR,2019
265,Paul Richardson Jr. ,WR93,262.0,Paul Richardson Jr. ,paul richardson jr,WR,2019
266,Atlanta Falcons,DST23,269.0,Atlanta Falcons,atlanta falcons,DST,2019
267,Irv Smith Jr.,TE30,229.0,Irv Smith Jr.,irv smith jr,TE,2019
268,Dan Bailey,K20,264.0,Dan Bailey,dan bailey,K,2019
269,Jalen Hurd,WR94,230.0,Jalen Hurd,jalen hurd,WR,2019
270,Matt Gay,K21,265.0,Matt Gay,matt gay,K,2019
271,Danny Amendola,WR95,265.0,Danny Amendola,danny amendola,WR,2019
272,Benjamin Watson,TE31,289.0,Benjamin Watson,benjamin watson,TE,2019
273,Joe Flacco,QB29,270.5,Joe Flacco,joe flacco,QB,2019
274,Riley Ridley,WR96,241.0,Riley Ridley,riley ridley,WR,2019
275,Ryan Succop ,K22,281.5,Ryan Succop ,ryan succop,K,2019
276,Arizona Cardinals,DST24,242.0,Arizona Cardinals,arizona cardinals,DST,2019
277,Las Vegas Raiders,DST25,312.0,Las Vegas Raiders,las vegas raiders,DST,2019
278,Carolina Panthers,DST26,271.5,Carolina Panthers,carolina panthers,DST,2019
279,Jake Kumerow,WR97,307.5,Jake Kumerow,jake kumerow,WR,2019
280,Alfred Morris,RB75,246.0,Alfred Morris,alfred morris,RB,2019
281,Brian Hill,RB76,247.0,Brian Hill,brian hill,RB,2019
282,Dwayne Haskins,QB30,273.0,Dwayne Haskins,dwayne haskins,QB,2019
283,Qadree Ollison,RB77,251.0,Qadree Ollison,qadree ollison,RB,2019
284,Hunter Renfrow,WR98,275.0,Hunter Renfrow,hunter renfrow,WR,2019
285,New York Jets,DST27,281.0,New York Jets,new york jets,DST,2019
286,Demarcus Robinson,WR99,257.0,Demarcus Robinson,demarcus robinson,WR,2019
287,Josh Doctson,WR100,279.0,Josh Doctson,josh doctson,WR,2019
288,Dexter Williams,RB78,260.0,Dexter Williams,dexter williams,RB,2019
289,Damarea Crockett,RB79,260.0,Damarea Crockett,damarea crockett,RB,2019
290,Will Dissly,TE32,312.5,Will Dissly,will dissly,TE,2019
291,DJ Chark Jr.,WR101,262.0,DJ Chark Jr.,dj chark jr,WR,2019
292,Josh Reynolds,WR102,263.0,Josh Reynolds,josh reynolds,WR,2019
293,John Ross,WR103,282.0,John Ross,john ross,WR,2019
294,Gerald Everett,TE33,266.0,Gerald Everett,gerald everett,TE,2019
295,Eddy Pineiro,K23,282.5,Eddy Pineiro,eddy pineiro,K,2019
296,Brandon McManus,K24,296.0,Brandon McManus,brandon mcmanus,K,2019
297,Myles Gaskin,RB80,267.0,Myles Gaskin,myles gaskin,RB,2019
298,Detroit Lions,DST28,289.0,Detroit Lions,detroit lions,DST,2019
299,Cincinnati Bengals,DST29,271.0,Cincinnati Bengals,cincinnati bengals,DST,2019
300,David Moore,WR104,272.0,David Moore,david moore,WR,2019
301,Wayne Gallman Jr.,RB81,301.5,Wayne Gallman Jr.,wayne gallman jr,RB,2019
302,KeeSean Johnson,WR105,273.0,KeeSean Johnson,keesean johnson,WR,2019
303,Jay Ajayi,RB82,274.0,Jay Ajayi,jay ajayi,RB,2019
304,Stephen Hauschka,K25,322.5,Stephen Hauschka,stephen hauschka,K,2019
305,Daniel Carlson,K26,324.0,Daniel Carlson,daniel carlson,K,2019
306,Bruce Anderson,RB83,276.0,Bruce Anderson,bruce anderson,RB,2019
307,Miami Dolphins,DST30,317.0,Miami Dolphins,miami dolphins,DST,2019
308,Phillip Dorsett II,WR106,308.5,Phillip Dorsett II,phillip dorsett ii,WR,2019
309,Theo Riddick,RB84,279.0,Theo Riddick,theo riddick,RB,2019
310,Ian Thomas,TE34,280.0,Ian Thomas,ian thomas,TE,2019
311,Travis Benjamin,WR107,281.0,Travis Benjamin,travis benjamin,WR,2019
312,Rex Burkhead,RB85,290.0,Rex Burkhead,rex burkhead,RB,2019
313,Taylor Gabriel,WR108,282.0,Taylor Gabriel,taylor gabriel,WR,2019
314,Vernon Davis,TE35,338.0,Vernon Davis,vernon davis,TE,2019
315,Josh Lambo,K27,327.5,Josh Lambo,josh lambo,K,2019
316,Benny Snell Jr.,RB86,284.0,Benny Snell Jr.,benny snell jr,RB,2019
317,Eli Manning,QB31,295.0,Eli Manning,eli manning,QB,2019
318,Alfred Blue,RB87,292.0,Alfred Blue,alfred blue,RB,2019
319,Joey Slye,K28,332.0,Joey Slye,joey slye,K,2019
320,Daniel Jones,QB32,324.0,Daniel Jones,daniel jones,QB,2019
321,Doug Martin,RB88,289.0,Doug Martin,doug martin,RB,2019
322,Taywan Taylor,WR109,291.0,Taywan Taylor,taywan taylor,WR,2019
323,Ryan Fitzpatrick,QB33,307.5,Ryan Fitzpatrick,ryan fitzpatrick,QB,2019
324,Josh Rosen,QB34,292.0,Josh Rosen,josh rosen,QB,2019
325,New York Giants,DST31,339.0,New York Giants,new york giants,DST,2019
326,Dustin Hopkins,K29,332.0,Dustin Hopkins,dustin hopkins,K,2019
327,Randy Bullock,K30,322.5,Randy Bullock,randy bullock,K,2019
328,Corey Clement,RB89,298.0,Corey Clement,corey clement,RB,2019
329,Alex Collins,RB90,300.0,Alex Collins,alex collins,RB,2019
330,Chris Conley,WR110,301.0,Chris Conley,chris conley,WR,2019
331,Hayden Hurst,TE36,303.0,Hayden Hurst,hayden hurst,TE,2019
332,Devontae Booker,RB91,308.0,Devontae Booker,devontae booker,RB,2019
333,Chris Hogan,WR111,310.0,Chris Hogan,chris hogan,WR,2019
334,Laquon Treadwell,WR112,313.0,Laquon Treadwell,laquon treadwell,WR,2019
336,Kendrick Bourne,WR113,315.0,Kendrick Bourne,kendrick bourne,WR,2019
337,Ricky Seals-Jones,TE37,316.0,Ricky Seals-Jones,ricky seals-jones,TE,2019
338,Case Keenum,QB35,317.0,Case Keenum,case keenum,QB,2019
339,Deon Cain,WR114,318.0,Deon Cain,deon cain,WR,2019
340,Zach Zenner,RB92,319.0,Zach Zenner,zach zenner,RB,2019
341,Blake Jarwin,TE38,320.0,Blake Jarwin,blake jarwin,TE,2019
342,Spencer Ware,RB93,321.0,Spencer Ware,spencer ware,RB,2019
343,Breshad Perriman,WR115,323.0,Breshad Perriman,breshad perriman,WR,2019
344,Cordarrelle Patterson,RB94,325.0,Cordarrelle Patterson,cordarrelle patterson,RB,2019
345,Bilal Powell,RB95,327.0,Bilal Powell,bilal powell,RB,2019
346,Michael Crabtree,WR116,329.0,Michael Crabtree,michael crabtree,WR,2019
347,Cameron Artis-Payne,RB96,330.0,Cameron Artis-Payne,cameron artis-payne,RB,2019
348,C.J. Uzomah,TE39,332.0,C.J. Uzomah,cj uzomah,TE,2019
349,Chester Rogers ,WR117,333.0,Chester Rogers ,chester rogers,WR,2019
350,Jesse James,TE40,334.0,Jesse James,jesse james,TE,2019
351,Jaron Brown,WR118,335.0,Jaron Brown,jaron brown,WR,2019
352,Wendell Smallwood,RB97,336.0,Wendell Smallwood,wendell smallwood,RB,2019
