Rank,Player,POS,AVG,Player_fixed,player_clean,POS_group,year
1,Saquon Barkley,RB1,1.0,Saquon Barkley,saquon barkley,RB,2019
2,Christian McCaffrey,RB2,2.5,Christian McCaffrey,christian mccaffrey,RB,2019
3,Alvin Kamara,RB3,2.5,Alvin Kamara,alvin kamara,RB,2019
4,Ezekiel Elliott,RB4,4.0,Ezekiel Elliott,ezekiel elliott,RB,2019
5,DeAndre Hopkins,WR1,5.3,DeAndre Hopkins,deandre hopkins,WR,2019
6,James Conner,RB5,6.5,James Conner,james conner,RB,2019
8,Davante Adams,WR2,9.0,Davante Adams,davante adams,WR,2019
9,David Johnson,RB7,9.3,David Johnson,david johnson,RB,2019
10,Nick Chubb,RB8,10.5,Nick Chubb,nick chubb,RB,2019
11,Todd Gurley,RB9,11.8,Todd Gurley,todd gurley,RB,2019
12,Patrick Mahomes II,QB1,12.0,Patrick Mahomes II,patrick mahomes ii,QB,2019
13,Michael Thomas,WR3,12.8,Michael Thomas,michael thomas,WR,2019
14,Julio Jones,WR4,13.0,Julio Jones,julio jones,WR,2019
15,Dalvin Cook,RB10,16.3,Dalvin Cook,dalvin cook,RB,2019
16,Tyreek Hill,WR5,16.3,Tyreek Hill,tyreek hill,WR,2019
17,JuJu Smith-Schuster,WR6,17.0,JuJu Smith-Schuster,juju smith-schuster,WR,2019
18,Odell Beckham Jr.,WR7,17.0,Odell Beckham Jr.,odell beckham jr,WR,2019
19,Joe Mixon,RB11,17.3,Joe Mixon,joe mixon,RB,2019
20,Travis Kelce,TE1,18.8,Travis Kelce,travis kelce,TE,2019
21,Leonard Fournette,RB12,21.5,Leonard Fournette,leonard fournette,RB,2019
22,Mike Evans,WR8,22.3,Mike Evans,mike evans,WR,2019
23,Antonio Brown,WR9,22.8,Antonio Brown,antonio brown,WR,2019
24,Adam Thielen,WR10,25.5,Adam Thielen,adam thielen,WR,2019
25,Damien Williams,RB13,26.0,Damien Williams,damien williams,RB,2019
26,Keenan Allen,WR11,26.8,Keenan Allen,keenan allen,WR,2019
27,Kerryon Johnson,RB14,27.0,Kerryon Johnson,kerryon johnson,RB,2019
28,Aaron Jones Sr.,RB15,28.0,Aaron Jones Sr.,aaron jones sr,RB,2019
29,Zach Ertz,TE2,31.3,Zach Ertz,zach ertz,TE,2019
30,Chris Carson ,RB16,31.8,Chris Carson ,chris carson,RB,2019
31,George Kittle,TE3,32.8,George Kittle,george kittle,TE,2019
32,Josh Jacobs,RB17,33.0,Josh Jacobs,josh jacobs,RB,2019
33,Devonta Freeman,RB18,33.3,Devonta Freeman,devonta freeman,RB,2019
34,Amari Cooper,WR12,33.3,Amari Cooper,amari cooper,WR,2019
35,Stefon Diggs,WR13,34.8,Stefon Diggs,stefon diggs,WR,2019
36,Derrick Henry,RB19,36.5,Derrick Henry,derrick henry,RB,2019
37,Deshaun Watson,QB2,38.0,Deshaun Watson,deshaun watson,QB,2019
38,David Montgomery,RB20,39.0,David Montgomery,david montgomery,RB,2019
39,Marlon Mack,RB21,39.0,Marlon Mack,marlon mack,RB,2019
40,Brandin Cooks,WR14,39.3,Brandin Cooks,brandin cooks,WR,2019
41,Mark Ingram,RB22,42.5,Mark Ingram,mark ingram,RB,2019
42,Robert Woods,WR15,43.3,Robert Woods,robert woods,WR,2019
43,Julian Edelman,WR16,44.0,Julian Edelman,julian edelman,WR,2019
44,Sony Michel,RB23,44.8,Sony Michel,sony michel,RB,2019
45,T.Y. Hilton,WR17,45.3,T.Y. Hilton,ty hilton,WR,2019
46,Tyler Lockett,WR18,45.5,Tyler Lockett,tyler lockett,WR,2019
47,Aaron Rodgers,QB3,46.5,Aaron Rodgers,aaron rodgers,QB,2019
