Rank,Player,POS,AVG,Player_fixed,player_clean,POS_group,year
1,Christian McCaffrey,RB1,1.0,Christian McCaffrey,christian mccaffrey,RB,2021
2,Dalvin Cook,RB2,2.0,Dalvin Cook,dalvin cook,RB,2021
3,Alvin Kamara,RB3,3.0,Alvin Kamara,alvin kamara,RB,2021
4,Derrick Henry,RB4,4.0,Derrick Henry,derrick henry,RB,2021
5,Ezekiel Elliott,RB5,5.8,Ezekiel Elliott,ezekiel elliott,RB,2021
6,Davante Adams,WR1,6.6,Davante Adams,davante adams,WR,2021
7,Travis Kelce,TE1,8.4,Travis Kelce,travis kelce,TE,2021
8,Aaron Jones Sr.,RB6,9.4,Aaron Jones Sr.,aaron jones sr,RB,2021
9,Saquon Barkley,RB7,9.6,Saquon Barkley,saquon barkley,RB,2021
10,Austin Ekeler,RB8,10.4,Austin Ekeler,austin ekeler,RB,2021
11,Jonathan Taylor,RB9,10.4,Jonathan Taylor,jonathan taylor,RB,2021
12,Nick Chubb,RB10,10.4,Nick Chubb,nick chubb,RB,2021
13,Tyreek Hill,WR2,10.6,Tyreek Hill,tyreek hill,WR,2021
14,Stefon Diggs,WR3,14.0,Stefon Diggs,stefon diggs,WR,2021
15,Najee Harris,RB11,15.6,Najee Harris,najee harris,RB,2021
16,DeAndre Hopkins,WR4,17.2,DeAndre Hopkins,deandre hopkins,WR,2021
17,Antonio Gibson,RB12,17.6,Antonio Gibson,antonio gibson,RB,2021
18,Patrick Mahomes II,QB1,18.2,Patrick Mahomes II,patrick mahomes ii,QB,2021
19,Calvin Ridley,WR5,18.4,Calvin Ridley,calvin ridley,WR,2021
20,DK Metcalf,WR6,18.8,DK Metcalf,dk metcalf,WR,2021
21,Joe Mixon,RB13,20.8,Joe Mixon,joe mixon,RB,2021
22,Darren Waller,TE2,22.4,Darren Waller,darren waller,TE,2021
23,Justin Jefferson,WR7,23.4,Justin Jefferson,justin jefferson,WR,2021
24,A.J. Brown,WR8,23.8,A.J. Brown,aj brown,WR,2021
25,Clyde Edwards-Helaire,RB14,24.2,Clyde Edwards-Helaire,clyde edwards-helaire,RB,2021
26,George Kittle,TE3,26.8,George Kittle,george kittle,TE,2021
27,Keenan Allen,WR9,27.4,Keenan Allen,keenan allen,WR,2021
28,Terry McLaurin,WR10,29.6,Terry McLaurin,terry mclaurin,WR,2021
29,Josh Allen,QB2,30.0,Josh Allen,josh allen,QB,2021
30,David Montgomery,RB15,30.2,David Montgomery,david montgomery,RB,2021
31,Allen Robinson,WR11,32.0,Allen Robinson,allen robinson,WR,2021
32,Chris Carson ,RB16,32.4,Chris Carson ,chris carson,RB,2021
33,CeeDee Lamb,WR12,32.8,CeeDee Lamb,ceedee lamb,WR,2021
34,James Robinson ,RB17,33.4,James Robinson ,james robinson,RB,2021
35,Mike Evans,WR13,35.4,Mike Evans,mike evans,WR,2021
36,Josh Jacobs,RB18,36.4,Josh Jacobs,josh jacobs,RB,2021
37,D'Andre Swift,RB19,36.8,D'Andre Swift,dandre swift,RB,2021
38,Miles Sanders,RB20,38.2,Miles Sanders,miles sanders,RB,2021
39,Robert Woods,WR14,38.4,Robert Woods,robert woods,WR,2021
40,Kyler Murray,QB3,40.2,Kyler Murray,kyler murray,QB,2021
41,Amari Cooper,WR15,41.2,Amari Cooper,amari cooper,WR,2021
42,Chris Godwin,WR16,42.4,Chris Godwin,chris godwin,WR,2021
43,Lamar Jackson,QB4,44.8,Lamar Jackson,lamar jackson,QB,2021
44,Cooper Kupp,WR17,46.0,Cooper Kupp,cooper kupp,WR,2021
45,Julio Jones,WR18,46.2,Julio Jones,julio jones,WR,2021
46,Kyle Pitts Sr.,TE4,47.0,Kyle Pitts Sr.,kyle pitts sr,TE,2021
47,Tyler Lockett,WR19,49.2,Tyler Lockett,tyler lockett,WR,2021
48,Myles Gaskin,RB21,49.8,Myles Gaskin,myles gaskin,RB,2021
49,Mark Andrews,TE5,50.6,Mark Andrews,mark andrews,TE,2021
50,Adam Thielen,WR20,50.6,Adam Thielen,adam thielen,WR,2021
51,Diontae Johnson,WR21,51.8,Diontae Johnson,diontae johnson,WR,2021
52,DJ Moore,WR22,53.4,DJ Moore,dj moore,WR,2021
53,Aaron Rodgers,QB5,54.4,Aaron Rodgers,aaron rodgers,QB,2021
54,Russell Wilson,QB6,55.6,Russell Wilson,russell wilson,QB,2021
