Rank,Player,POS,AVG,Player_fixed,player_clean,POS_group,year
120,Dalton Schultz,TE13,125.6,Dalton Schultz,dalton schultz,TE,2024
121,T.J. Hockenson,TE14,126.4,T.J. Hockenson,tj hockenson,TE,2024
122,Dallas Cowboys,DST2,128.0,Dallas Cowboys,dallas cowboys,DST,2024
123,Blake Corum,RB40,128.0,Blake Corum,blake corum,RB,2024
124,Baltimore Ravens,DST3,128.2,Baltimore Ravens,baltimore ravens,DST,2024
125,New York Jets,DST4,128.4,New York Jets,new york jets,DST,2024
126,Trevor Lawrence,QB16,129.4,Trevor Lawrence,trevor lawrence,QB,2024
127,Justin Herbert,QB17,130.8,Justin Herbert,justin herbert,QB,2024
128,Khalil Shakir,WR50,132.0,Khalil Shakir,khalil shakir,WR,2024
129,Chuba Hubbard,RB41,132.4,Chuba Hubbard,chuba hubbard,RB,2024
130,J.K. Dobbins,RB42,132.4,J.K. Dobbins,jk dobbins,RB,2024
131,Trey Benson,RB43,133.6,Trey Benson,trey benson,RB,2024
132,Cleveland Browns,DST5,134.6,Cleveland Browns,cleveland browns,DST,2024
133,Pat Freiermuth,TE15,135.4,Pat Freiermuth,pat freiermuth,TE,2024
134,Aaron Rodgers,QB18,136.2,Aaron Rodgers,aaron rodgers,QB,2024
135,Tyler Lockett,WR51,139.4,Tyler Lockett,tyler lockett,WR,2024
136,Younghoe Koo,K4,140.0,Younghoe Koo,younghoe koo,K,2024
137,Cole Kmet,TE16,141.0,Cole Kmet,cole kmet,TE,2024
138,Romeo Doubs,WR52,142.0,Romeo Doubs,romeo doubs,WR,2024
139,Kirk Cousins,QB19,142.6,Kirk Cousins,kirk cousins,QB,2024
140,Curtis Samuel,WR53,143.6,Curtis Samuel,curtis samuel,WR,2024
141,Jakobi Meyers,WR54,143.6,Jakobi Meyers,jakobi meyers,WR,2024
142,Jerry Jeudy,WR55,143.8,Jerry Jeudy,jerry jeudy,WR,2024
143,Jake Elliott,K5,145.4,Jake Elliott,jake elliott,K,2024
144,Zach Charbonnet,RB44,147.4,Zach Charbonnet,zach charbonnet,RB,2024
145,Ka'imi Fairbairn,K6,149.0,Ka'imi Fairbairn,kaimi fairbairn,K,2024
146,Evan McPherson,K7,149.2,Evan McPherson,evan mcpherson,K,2024
147,Mike Williams,WR56,149.8,Mike Williams,mike williams,WR,2024
148,Matthew Stafford,QB20,150.6,Matthew Stafford,matthew stafford,QB,2024
149,Rico Dowdle,RB45,150.8,Rico Dowdle,rico dowdle,RB,2024
150,Joshua Palmer,WR57,151.4,Joshua Palmer,joshua palmer,WR,2024
151,Jake Moody,K8,156.6,Jake Moody,jake moody,K,2024
152,Tyler Allgeier,RB46,156.8,Tyler Allgeier,tyler allgeier,RB,2024
153,Pittsburgh Steelers,DST6,158.6,Pittsburgh Steelers,pittsburgh steelers,DST,2024
154,Kansas City Chiefs,DST7,160.0,Kansas City Chiefs,kansas city chiefs,DST,2024
155,Ty Chandler,RB47,160.8,Ty Chandler,ty chandler,RB,2024
156,Adam Thielen,WR58,161.0,Adam Thielen,adam thielen,WR,2024
157,Jaleel McLaughlin,RB48,162.0,Jaleel McLaughlin,jaleel mclaughlin,RB,2024
158,Deshaun Watson,QB21,163.8,Deshaun Watson,deshaun watson,QB,2024
159,Buffalo Bills,DST8,164.8,Buffalo Bills,buffalo bills,DST,2024
160,Baker Mayfield,QB22,166.6,Baker Mayfield,baker mayfield,QB,2024
161,Cameron Dicker,K9,166.8,Cameron Dicker,cameron dicker,K,2024
162,Gabe Davis ,WR59,168.8,Gabe Davis ,gabe davis,WR,2024
163,Brandin Cooks,WR60,169.2,Brandin Cooks,brandin cooks,WR,2024
164,Jaylen Wright,RB49,169.8,Jaylen Wright,jaylen wright,RB,2024
165,Luke Musgrave,TE17,169.8,Luke Musgrave,luke musgrave,TE,2024
166,Adonai Mitchell,WR61,170.6,Adonai Mitchell,adonai mitchell,WR,2024
167,Miami Dolphins,DST9,171.6,Miami Dolphins,miami dolphins,DST,2024
168,Antonio Gibson,RB50,173.8,Antonio Gibson,antonio gibson,RB,2024
169,Xavier Legette,WR62,178.6,Xavier Legette,xavier legette,WR,2024
170,Philadelphia Eagles,DST10,178.6,Philadelphia Eagles,philadelphia eagles,DST,2024
171,Isaiah Likely,TE18,180.2,Isaiah Likely,isaiah likely,TE,2024
172,Tyler Conklin,TE19,182.0,Tyler Conklin,tyler conklin,TE,2024
173,Dontayvion Wicks,WR63,182.2,Dontayvion Wicks,dontayvion wicks,WR,2024
174,Darnell Mooney,WR64,183.2,Darnell Mooney,darnell mooney,WR,2024
175,Tyler Bass,K10,183.4,Tyler Bass,tyler bass,K,2024
176,Houston Texans,DST11,184.0,Houston Texans,houston texans,DST,2024
177,Ja'Lynn Polk,WR65,184.2,Ja'Lynn Polk,jalynn polk,WR,2024
178,Bo Nix,QB23,184.6,Bo Nix,bo nix,QB,2024
179,Chicago Bears,DST12,187.4,Chicago Bears,chicago bears,DST,2024
180,Rashid Shaheed,WR66,187.6,Rashid Shaheed,rashid shaheed,WR,2024
181,Bucky Irving,RB51,191.0,Bucky Irving,bucky irving,RB,2024
182,Khalil Herbert,RB52,192.2,Khalil Herbert,khalil herbert,RB,2024
183,Geno Smith,QB24,192.4,Geno Smith,geno smith,QB,2024
184,New Orleans Saints,DST13,193.8,New Orleans Saints,new orleans saints,DST,2024
185,Will Levis,QB25,195.4,Will Levis,will levis,QB,2024
186,Jason Myers,K11,196.4,Jason Myers,jason myers,K,2024
187,Tampa Bay Buccaneers,DST14,197.6,Tampa Bay Buccaneers,tampa bay buccaneers,DST,2024
188,Jason Sanders,K12,199.4,Jason Sanders,jason sanders,K,2024
189,DeMario Douglas,WR67,203.0,DeMario Douglas,demario douglas,WR,2024
190,Seattle Seahawks,DST15,205.6,Seattle Seahawks,seattle seahawks,DST,2024
191,Detroit Lions,DST16,206.0,Detroit Lions,detroit lions,DST,2024
192,Derek Carr,QB26,218.0,Derek Carr,derek carr,QB,2024
193,Zach Ertz,TE20,224.6,Zach Ertz,zach ertz,TE,2024
194,Cincinnati Bengals,DST17,159.8,Cincinnati Bengals,cincinnati bengals,DST,2024
195,Los Angeles Chargers,DST18,230.0,Los Angeles Chargers,los angeles chargers,DST,2024
196,Taysom Hill,TE21,164.5,Taysom Hill,taysom hill,TE,2024
197,Greg Zuerlein,K13,181.8,Greg Zuerlein,greg zuerlein,K,2024
198,MarShawn Lloyd,RB53,182.0,MarShawn Lloyd,marshawn lloyd,RB,2024
199,Jordan Mason,RB54,187.5,Jordan Mason,jordan mason,RB,2024
200,Hunter Henry,TE22,193.0,Hunter Henry,hunter henry,TE,2024
201,Braelon Allen,RB55,198.5,Braelon Allen,braelon allen,RB,2024
202,Josh Downs,WR68,200.5,Josh Downs,josh downs,WR,2024
203,Daniel Carlson,K14,200.8,Daniel Carlson,daniel carlson,K,2024
204,Matt Gay,K15,201.0,Matt Gay,matt gay,K,2024
205,Cairo Santos,K16,202.0,Cairo Santos,cairo santos,K,2024
206,Chig Okonkwo,TE23,202.5,Chig Okonkwo,chig okonkwo,TE,2024
207,Ray Davis,RB56,205.5,Ray Davis,ray davis,RB,2024
208,Atlanta Falcons,DST19,208.3,Atlanta Falcons,atlanta falcons,DST,2024
209,Las Vegas Raiders,DST20,211.8,Las Vegas Raiders,las vegas raiders,DST,2024
210,Bryce Young,QB27,216.5,Bryce Young,bryce young,QB,2024
211,Tyrone Tracy Jr.,RB57,217.0,Tyrone Tracy Jr.,tyrone tracy jr,RB,2024
212,Indianapolis Colts,DST21,218.8,Indianapolis Colts,indianapolis colts,DST,2024
213,Justin Fields,QB28,221.0,Justin Fields,justin fields,QB,2024
214,Green Bay Packers,DST22,222.3,Green Bay Packers,green bay packers,DST,2024
215,Michael Wilson,WR69,226.3,Michael Wilson,michael wilson,WR,2024
216,Russell Wilson,QB29,226.3,Russell Wilson,russell wilson,QB,2024
217,Jonnu Smith,TE24,227.3,Jonnu Smith,jonnu smith,TE,2024
218,Kenneth Gainwell,RB58,229.3,Kenneth Gainwell,kenneth gainwell,RB,2024
219,New York Giants,DST23,230.8,New York Giants,new york giants,DST,2024
220,Clyde Edwards-Helaire,RB59,231.5,Clyde Edwards-Helaire,clyde edwards-helaire,RB,2024
221,Minnesota Vikings,DST24,233.5,Minnesota Vikings,minnesota vikings,DST,2024
222,Mike Gesicki,TE25,236.5,Mike Gesicki,mike gesicki,TE,2024
223,Sam Darnold,QB30,249.0,Sam Darnold,sam darnold,QB,2024
224,Denver Broncos,DST25,191.3,Denver Broncos,denver broncos,DST,2024
225,Cade Otton,TE26,196.0,Cade Otton,cade otton,TE,2024
226,Jahan Dotson,WR70,201.0,Jahan Dotson,jahan dotson,WR,2024
227,Kimani Vidal,RB60,207.3,Kimani Vidal,kimani vidal,RB,2024
228,Dalvin Cook,RB61,208.0,Dalvin Cook,dalvin cook,RB,2024
229,Dawson Knox,TE27,212.3,Dawson Knox,dawson knox,TE,2024
230,Quentin Johnston,WR71,212.7,Quentin Johnston,quentin johnston,WR,2024
231,Jake Bates,K17,214.0,Jake Bates,jake bates,K,2024
232,Dameon Pierce,RB62,215.0,Dameon Pierce,dameon pierce,RB,2024
233,Jermaine Burton,WR72,215.3,Jermaine Burton,jermaine burton,WR,2024
234,Ben Sinnott,TE28,215.7,Ben Sinnott,ben sinnott,TE,2024
235,Roman Wilson,WR73,215.7,Roman Wilson,roman wilson,WR,2024
236,Washington Commanders,DST26,217.3,Washington Commanders,washington commanders,DST,2024
237,Will Reichard,K18,220.3,Will Reichard,will reichard,K,2024
238,New England Patriots,DST27,222.7,New England Patriots,new england patriots,DST,2024
239,Carson Steele,RB63,225.7,Carson Steele,carson steele,RB,2024
240,Drake Maye,QB31,226.7,Drake Maye,drake maye,QB,2024
241,Alexander Mattison,RB64,228.7,Alexander Mattison,alexander mattison,RB,2024
242,Blake Grupe,K19,231.0,Blake Grupe,blake grupe,K,2024
243,Rashod Bateman,WR74,232.0,Rashod Bateman,rashod bateman,WR,2024
244,Luke McCaffrey,WR75,233.7,Luke McCaffrey,luke mccaffrey,WR,2024
245,Marvin Mims Jr.,WR76,233.7,Marvin Mims Jr.,marvin mims jr,WR,2024
246,Jacksonville Jaguars,DST28,234.0,Jacksonville Jaguars,jacksonville jaguars,DST,2024
247,Tank Bigsby,RB65,235.0,Tank Bigsby,tank bigsby,RB,2024
248,Justice Hill,RB66,236.7,Justice Hill,justice hill,RB,2024
249,Cam Little,K20,236.7,Cam Little,cam little,K,2024
250,Wan'Dale Robinson,WR77,237.3,Wan'Dale Robinson,wandale robinson,WR,2024
251,Troy Franklin,WR78,239.0,Troy Franklin,troy franklin,WR,2024
252,Tennessee Titans,DST29,241.0,Tennessee Titans,tennessee titans,DST,2024
253,Roschon Johnson,RB67,244.3,Roschon Johnson,roschon johnson,RB,2024
254,Daniel Jones,QB32,246.7,Daniel Jones,daniel jones,QB,2024
255,Noah Fant,TE29,248.0,Noah Fant,noah fant,TE,2024
256,Ja'Tavion Sanders,TE30,249.0,Ja'Tavion Sanders,jatavion sanders,TE,2024
257,Los Angeles Rams,DST30,250.3,Los Angeles Rams,los angeles rams,DST,2024
258,Tyler Boyd,WR79,250.7,Tyler Boyd,tyler boyd,WR,2024
259,Jamaal Williams,RB68,253.7,Jamaal Williams,jamaal williams,RB,2024
260,Keaton Mitchell,RB69,254.3,Keaton Mitchell,keaton mitchell,RB,2024
261,Audric Estime,RB70,257.0,Audric Estime,audric estime,RB,2024
262,Colby Parkinson,TE31,257.7,Colby Parkinson,colby parkinson,TE,2024
263,Will Shipley,RB71,258.7,Will Shipley,will shipley,RB,2024
264,Greg Dulcich,TE32,259.0,Greg Dulcich,greg dulcich,TE,2024
265,Juwan Johnson,TE33,262.3,Juwan Johnson,juwan johnson,TE,2024
266,Jalen Tolbert,WR80,263.7,Jalen Tolbert,jalen tolbert,WR,2024
267,Greg Dortch,WR81,265.3,Greg Dortch,greg dortch,WR,2024
268,Demarcus Robinson,WR82,266.7,Demarcus Robinson,demarcus robinson,WR,2024
269,Darius Slayton,WR83,270.0,Darius Slayton,darius slayton,WR,2024
270,Samaje Perine,RB72,271.3,Samaje Perine,samaje perine,RB,2024
271,Michael Mayer,TE34,271.7,Michael Mayer,michael mayer,TE,2024
272,Dustin Hopkins,K21,159.5,Dustin Hopkins,dustin hopkins,K,2024
273,Kadarius Toney,WR84,282.7,Kadarius Toney,kadarius toney,WR,2024
274,Arizona Cardinals,DST31,186.5,Arizona Cardinals,arizona cardinals,DST,2024
275,Chris Boswell,K22,186.5,Chris Boswell,chris boswell,K,2024
276,Ricky Pearsall,WR85,187.5,Ricky Pearsall,ricky pearsall,WR,2024
277,Brenden Rice,WR86,293.3,Brenden Rice,brenden rice,WR,2024
278,Devontez Walker,WR87,294.3,Devontez Walker,devontez walker,WR,2024
279,Malachi Corley,WR88,199.5,Malachi Corley,malachi corley,WR,2024
280,Michael Penix Jr.,QB33,302.3,Michael Penix Jr.,michael penix jr,QB,2024
281,Eric Gray,RB73,306.0,Eric Gray,eric gray,RB,2024
282,Jordan Whittington,WR89,307.7,Jordan Whittington,jordan whittington,WR,2024
283,Darren Waller,TE35,213.5,Darren Waller,darren waller,TE,2024
284,Dylan Laube,RB74,310.0,Dylan Laube,dylan laube,RB,2024
285,Brandon McManus,K23,311.3,Brandon McManus,brandon mcmanus,K,2024
286,Trey Sermon,RB75,316.0,Trey Sermon,trey sermon,RB,2024
287,Odell Beckham Jr.,WR90,225.0,Odell Beckham Jr.,odell beckham jr,WR,2024
288,Graham Gano,K24,227.0,Graham Gano,graham gano,K,2024
289,Wil Lutz,K25,230.0,Wil Lutz,wil lutz,K,2024
290,Javon Baker,WR91,323.7,Javon Baker,javon baker,WR,2024
291,Noah Gray,TE36,239.5,Noah Gray,noah gray,TE,2024
292,Kendre Miller,RB76,243.5,Kendre Miller,kendre miller,RB,2024
293,Kyle Juszczyk,RB77,243.5,Kyle Juszczyk,kyle juszczyk,RB,2024
294,JuJu Smith-Schuster,WR92,245.5,JuJu Smith-Schuster,juju smith-schuster,WR,2024
295,Malik Washington,WR93,331.0,Malik Washington,malik washington,WR,2024
296,Daniel Bellinger,TE37,331.7,Daniel Bellinger,daniel bellinger,TE,2024
297,Cam Akers,RB78,334.7,Cam Akers,cam akers,RB,2024
298,Gardner Minshew II,QB34,253.0,Gardner Minshew II,gardner minshew ii,QB,2024
299,Jonathan Mingo,WR94,340.3,Jonathan Mingo,jonathan mingo,WR,2024
300,Justin Watson,WR95,264.0,Justin Watson,justin watson,WR,2024
301,Tucker Kraft,TE38,264.0,Tucker Kraft,tucker kraft,TE,2024
302,Braxton Berrios,WR96,267.0,Braxton Berrios,braxton berrios,WR,2024
303,Joshua Karty,K26,269.5,Joshua Karty,joshua karty,K,2024
304,Miles Sanders,RB79,270.5,Miles Sanders,miles sanders,RB,2024
305,Louis Rees-Zammit,RB80,270.5,Louis Rees-Zammit,louis rees-zammit,RB,2024
306,Jalen McMillan,WR97,275.5,Jalen McMillan,jalen mcmillan,WR,2024
307,KaVontae Turpin,WR98,279.0,KaVontae Turpin,kavontae turpin,WR,2024
308,Jauan Jennings,WR99,280.0,Jauan Jennings,jauan jennings,WR,2024
309,Skyy Moore,WR100,280.5,Skyy Moore,skyy moore,WR,2024
310,Jake Bobo,WR101,281.0,Jake Bobo,jake bobo,WR,2024
311,Jalin Hyatt,WR102,282.5,Jalin Hyatt,jalin hyatt,WR,2024
312,Hayden Hurst,TE39,287.0,Hayden Hurst,hayden hurst,TE,2024
313,Anders Carlson,K27,287.5,Anders Carlson,anders carlson,K,2024
314,Joey Slye,K28,288.0,Joey Slye,joey slye,K,2024
315,Dyami Brown,WR103,290.5,Dyami Brown,dyami brown,WR,2024
316,Jermar Jefferson,RB81,290.5,Jermar Jefferson,jermar jefferson,RB,2024
317,Kenny Pickett,QB35,290.5,Kenny Pickett,kenny pickett,QB,2024
318,Durham Smythe,TE40,292.0,Durham Smythe,durham smythe,TE,2024
319,J.J. Taylor,RB82,293.0,J.J. Taylor,jj taylor,RB,2024
320,Tre Tucker,WR104,293.5,Tre Tucker,tre tucker,WR,2024
321,Aidan O'Connell,QB36,295.0,Aidan O'Connell,aidan oconnell,QB,2024
322,Deuce Vaughn,RB83,295.5,Deuce Vaughn,deuce vaughn,RB,2024
323,Andrei Iosivas,WR105,298.5,Andrei Iosivas,andrei iosivas,WR,2024
324,Elijah Moore,WR106,301.0,Elijah Moore,elijah moore,WR,2024
326,Allen Lazard,WR107,303.0,Allen Lazard,allen lazard,WR,2024
327,Darnell Washington,TE41,305.0,Darnell Washington,darnell washington,TE,2024
328,Joshua Dobbs,QB37,307.0,Joshua Dobbs,joshua dobbs,QB,2024
329,Tyler Higbee,TE42,371.7,Tyler Higbee,tyler higbee,TE,2024
330,Luke Schoonmaker,TE43,308.5,Luke Schoonmaker,luke schoonmaker,TE,2024
331,Mecole Hardman Jr.,WR108,308.5,Mecole Hardman Jr.,mecole hardman jr,WR,2024
332,Cade York,K29,309.5,Cade York,cade york,K,2024
333,Isaac Guerendo,RB85,310.0,Isaac Guerendo,isaac guerendo,RB,2024
334,Cade Stover,TE44,313.5,Cade Stover,cade stover,TE,2024
335,A.T. Perry,WR109,314.0,A.T. Perry,at perry,WR,2024
336,Zay Jones,WR110,314.5,Zay Jones,zay jones,WR,2024
337,Carson Wentz,QB38,315.5,Carson Wentz,carson wentz,QB,2024
338,K.J. Osborn,WR111,315.5,K.J. Osborn,kj osborn,WR,2024
339,Joe Flacco,QB39,317.5,Joe Flacco,joe flacco,QB,2024
340,Connor Heyward,TE45,320.0,Connor Heyward,connor heyward,TE,2024
341,Jared Wiley,TE46,320.5,Jared Wiley,jared wiley,TE,2024
342,Brevin Jordan,TE47,326.0,Brevin Jordan,brevin jordan,TE,2024
343,Jimmy Garoppolo,QB40,328.5,Jimmy Garoppolo,jimmy garoppolo,QB,2024
344,Hendon Hooker,QB41,329.5,Hendon Hooker,hendon hooker,QB,2024
345,Brock Wright,TE48,331.5,Brock Wright,brock wright,TE,2024
346,Chad Ryland,K30,332.0,Chad Ryland,chad ryland,K,2024
347,Zach Wilson,QB42,332.5,Zach Wilson,zach wilson,QB,2024
