Rank,Player,POS,AVG,Player_fixed,player_clean,POS_group,year
1,Christian McCaffrey,RB1,1.0,Christian McCaffrey,christian mccaffrey,RB,2024
2,CeeDee Lamb,WR1,2.6,CeeDee Lamb,ceedee lamb,WR,2024
3,Tyreek Hill,WR2,3.2,Tyreek Hill,tyreek hill,WR,2024
4,Bijan Robinson,RB2,5.0,Bijan Robinson,bijan robinson,RB,2024
5,Breece Hall,RB3,5.4,Breece Hall,breece hall,RB,2024
6,Amon-Ra St. Brown,WR3,6.2,Amon-Ra St. Brown,amon-ra st brown,WR,2024
7,Ja'Marr Chase,WR4,6.6,Ja'Marr Chase,jamarr chase,WR,2024
8,Justin Jefferson,WR5,7.0,Justin Jefferson,justin jefferson,WR,2024
9,Saquon Barkley,RB4,9.2,Saquon Barkley,saquon barkley,RB,2024
10,A.J. Brown,WR6,10.2,A.J. Brown,aj brown,WR,2024
11,Jonathan Taylor,RB5,10.4,Jonathan Taylor,jonathan taylor,RB,2024
12,Garrett Wilson,WR7,12.4,Garrett Wilson,garrett wilson,WR,2024
13,Jahmyr Gibbs,RB6,12.8,Jahmyr Gibbs,jahmyr gibbs,RB,2024
14,Puka Nacua,WR8,14.2,Puka Nacua,puka nacua,WR,2024
15,Kyren Williams,RB7,16.0,Kyren Williams,kyren williams,RB,2024
16,Marvin Harrison Jr.,WR9,16.8,Marvin Harrison Jr.,marvin harrison jr,WR,2024
17,Travis Etienne Jr.,RB8,17.4,Travis Etienne Jr.,travis etienne jr,RB,2024
18,Derrick Henry,RB9,18.0,Derrick Henry,derrick henry,RB,2024
19,Isiah Pacheco,RB10,20.2,Isiah Pacheco,isiah pacheco,RB,2024
20,Davante Adams,WR10,22.0,Davante Adams,davante adams,WR,2024
21,Josh Allen,QB1,24.2,Josh Allen,josh allen,QB,2024
22,Travis Kelce,TE1,25.2,Travis Kelce,travis kelce,TE,2024
23,Drake London,WR11,25.6,Drake London,drake london,WR,2024
24,Chris Olave,WR12,26.2,Chris Olave,chris olave,WR,2024
25,De'Von Achane,RB11,27.4,De'Von Achane,devon achane,RB,2024
26,Josh Jacobs,RB12,28.2,Josh Jacobs,josh jacobs,RB,2024
27,Nico Collins,WR13,28.2,Nico Collins,nico collins,WR,2024
28,Patrick Mahomes II,QB2,29.0,Patrick Mahomes II,patrick mahomes ii,QB,2024
29,James Cook,RB13,31.0,James Cook,james cook,RB,2024
30,Mike Evans,WR14,31.2,Mike Evans,mike evans,WR,2024
31,Jalen Hurts,QB3,31.2,Jalen Hurts,jalen hurts,QB,2024
32,Rachaad White,RB14,31.6,Rachaad White,rachaad white,RB,2024
33,Sam LaPorta,TE2,31.8,Sam LaPorta,sam laporta,TE,2024
34,Deebo Samuel Sr.,WR15,32.0,Deebo Samuel Sr.,deebo samuel sr,WR,2024
35,Brandon Aiyuk,WR16,34.0,Brandon Aiyuk,brandon aiyuk,WR,2024
36,Michael Pittman Jr.,WR17,34.6,Michael Pittman Jr.,michael pittman jr,WR,2024
37,Cooper Kupp,WR18,34.8,Cooper Kupp,cooper kupp,WR,2024
38,Lamar Jackson,QB4,37.2,Lamar Jackson,lamar jackson,QB,2024
39,Joe Mixon,RB15,38.6,Joe Mixon,joe mixon,RB,2024
40,Alvin Kamara,RB16,39.6,Alvin Kamara,alvin kamara,RB,2024
41,DK Metcalf,WR19,41.2,DK Metcalf,dk metcalf,WR,2024
42,Kenneth Walker III,RB17,41.4,Kenneth Walker III,kenneth walker iii,RB,2024
43,Jaylen Waddle,WR20,42.6,Jaylen Waddle,jaylen waddle,WR,2024
44,Stefon Diggs,WR21,43.0,Stefon Diggs,stefon diggs,WR,2024
45,DJ Moore,WR22,43.6,DJ Moore,dj moore,WR,2024
46,DeVonta Smith,WR23,44.0,DeVonta Smith,devonta smith,WR,2024
47,Mark Andrews,TE3,45.8,Mark Andrews,mark andrews,TE,2024
48,Trey McBride,TE4,46.4,Trey McBride,trey mcbride,TE,2024
49,Malik Nabers,WR24,48.6,Malik Nabers,malik nabers,WR,2024
50,C.J. Stroud,QB5,48.6,C.J. Stroud,cj stroud,QB,2024
51,Dalton Kincaid,TE5,53.6,Dalton Kincaid,dalton kincaid,TE,2024
52,James Conner,RB18,56.0,James Conner,james conner,RB,2024
53,George Kittle,TE6,56.6,George Kittle,george kittle,TE,2024
54,Amari Cooper,WR25,56.8,Amari Cooper,amari cooper,WR,2024
55,Anthony Richardson Sr.,QB6,57.6,Anthony Richardson Sr.,anthony richardson sr,QB,2024
56,Aaron Jones Sr.,RB19,59.2,Aaron Jones Sr.,aaron jones sr,RB,2024
57,George Pickens,WR26,59.6,George Pickens,george pickens,WR,2024
58,D'Andre Swift,RB20,60.6,D'Andre Swift,dandre swift,RB,2024
59,Joe Burrow,QB7,61.8,Joe Burrow,joe burrow,QB,2024
60,David Montgomery,RB21,61.8,David Montgomery,david montgomery,RB,2024
61,Tee Higgins,WR27,62.2,Tee Higgins,tee higgins,WR,2024
62,Zay Flowers,WR28,63.2,Zay Flowers,zay flowers,WR,2024
63,Kyle Pitts Sr.,TE7,64.2,Kyle Pitts Sr.,kyle pitts sr,TE,2024
64,Tank Dell,WR29,65.0,Tank Dell,tank dell,WR,2024
65,Evan Engram,TE8,65.0,Evan Engram,evan engram,TE,2024
66,Zamir White,RB22,66.6,Zamir White,zamir white,RB,2024
67,Rhamondre Stevenson,RB23,66.6,Rhamondre Stevenson,rhamondre stevenson,RB,2024
68,Rashee Rice,WR30,67.6,Rashee Rice,rashee rice,WR,2024
69,Dak Prescott,QB8,68.4,Dak Prescott,dak prescott,QB,2024
70,Kyler Murray,QB9,70.2,Kyler Murray,kyler murray,QB,2024
71,Najee Harris,RB24,70.8,Najee Harris,najee harris,RB,2024
72,Jordan Love,QB10,71.4,Jordan Love,jordan love,QB,2024
73,Terry McLaurin,WR31,71.6,Terry McLaurin,terry mclaurin,WR,2024
74,Calvin Ridley,WR32,74.4,Calvin Ridley,calvin ridley,WR,2024
75,Raheem Mostert,RB25,74.6,Raheem Mostert,raheem mostert,RB,2024
76,Christian Kirk,WR33,74.6,Christian Kirk,christian kirk,WR,2024
77,Chris Godwin,WR34,76.2,Chris Godwin,chris godwin,WR,2024
78,Keenan Allen,WR35,79.4,Keenan Allen,keenan allen,WR,2024
79,Javonte Williams,RB26,81.2,Javonte Williams,javonte williams,RB,2024
80,Jake Ferguson,TE9,81.6,Jake Ferguson,jake ferguson,TE,2024
81,Tony Pollard,RB27,81.8,Tony Pollard,tony pollard,RB,2024
82,David Njoku,TE10,84.2,David Njoku,david njoku,TE,2024
83,Jayden Reed,WR36,87.2,Jayden Reed,jayden reed,WR,2024
84,Diontae Johnson,WR37,88.2,Diontae Johnson,diontae johnson,WR,2024
85,Xavier Worthy,WR38,90.0,Xavier Worthy,xavier worthy,WR,2024
86,Austin Ekeler,RB28,91.0,Austin Ekeler,austin ekeler,RB,2024
87,Brock Purdy,QB11,91.8,Brock Purdy,brock purdy,QB,2024
88,Brian Robinson Jr.,RB29,92.6,Brian Robinson Jr.,brian robinson jr,RB,2024
89,Jaylen Warren,RB30,92.6,Jaylen Warren,jaylen warren,RB,2024
90,Devin Singletary,RB31,94.4,Devin Singletary,devin singletary,RB,2024
91,Zack Moss ,RB32,98.0,Zack Moss ,zack moss,RB,2024
92,Rome Odunze,WR39,98.4,Rome Odunze,rome odunze,WR,2024
93,Jaxon Smith-Njigba,WR40,99.8,Jaxon Smith-Njigba,jaxon smith-njigba,WR,2024
94,Tyjae Spears,RB33,100.2,Tyjae Spears,tyjae spears,RB,2024
95,Brock Bowers,TE11,100.6,Brock Bowers,brock bowers,TE,2024
96,Nick Chubb,RB34,100.8,Nick Chubb,nick chubb,RB,2024
97,Jonathon Brooks,RB35,101.4,Jonathon Brooks,jonathon brooks,RB,2024
98,Christian Watson,WR41,102.2,Christian Watson,christian watson,WR,2024
99,Jayden Daniels,QB12,102.6,Jayden Daniels,jayden daniels,QB,2024
100,Keon Coleman,WR42,104.6,Keon Coleman,keon coleman,WR,2024
101,Ladd McConkey,WR43,105.4,Ladd McConkey,ladd mcconkey,WR,2024
102,DeAndre Hopkins,WR44,107.6,DeAndre Hopkins,deandre hopkins,WR,2024
103,Justin Tucker,K1,108.4,Justin Tucker,justin tucker,K,2024
104,Caleb Williams,QB13,109.0,Caleb Williams,caleb williams,QB,2024
105,Dallas Goedert,TE12,109.6,Dallas Goedert,dallas goedert,TE,2024
106,Marquise Brown,WR45,110.2,Marquise Brown,marquise brown,WR,2024
107,Jordan Addison,WR46,110.4,Jordan Addison,jordan addison,WR,2024
108,Chase Brown,RB36,111.2,Chase Brown,chase brown,RB,2024
109,Harrison Butker,K2,112.2,Harrison Butker,harrison butker,K,2024
110,Courtland Sutton,WR47,112.4,Courtland Sutton,courtland sutton,WR,2024
111,Jerome Ford,RB37,113.0,Jerome Ford,jerome ford,RB,2024
112,Ezekiel Elliott,RB38,113.2,Ezekiel Elliott,ezekiel elliott,RB,2024
113,Brandon Aubrey,K3,113.4,Brandon Aubrey,brandon aubrey,K,2024
114,Gus Edwards,RB39,113.6,Gus Edwards,gus edwards,RB,2024
115,Tua Tagovailoa,QB14,115.8,Tua Tagovailoa,tua tagovailoa,QB,2024
116,San Francisco 49ers,DST1,116.0,San Francisco 49ers,san francisco 49ers,DST,2024
117,Jared Goff,QB15,116.0,Jared Goff,jared goff,QB,2024
118,Brian Thomas Jr.,WR48,116.2,Brian Thomas Jr.,brian thomas jr,WR,2024
119,Jameson Williams,WR49,120.2,Jameson Williams,jameson williams,WR,2024
