Rank,Player,POS,AVG,Player_fixed,player_clean,POS_group,year,adp_rank,adp_percentile,adp_rank_pos,adp_percentile_pos
222,Logan Thomas,TE26,208.3,Logan Thomas,logan thomas,TE,2022,191,0.3581081081081081,24,0.45238095238095233
223,Alec Pierce,WR75,211.3,Alec Pierce,alec pierce,WR,2022,196,0.34121621621621623,69,0.33333333333333337
224,Jerick McKinnon,RB60,216.3,Jerick McKinnon,jerick mckinnon,RB,2022,204,0.31418918918918914,63,0.3033707865168539
225,Van Jefferson,WR76,217.3,Van Jefferson,van jefferson,WR,2022,207,0.30405405405405406,75,0.27450980392156865
226,Jake Elliott,K18,218.0,Jake Elliott,jake elliott,K,2022,208,0.30067567567567566,20,0.24
227,Marlon Mack,RB61,187.5,Marlon Mack,marlon mack,RB,2022,168,0.43581081081081086,54,0.4044943820224719
229,Marcus Mariota,QB29,235.5,Marcus Mariota,marcus mariota,QB,2022,231,0.22297297297297303,30,0.21621621621621623
230,Isaiah Likely,TE27,221.0,Isaiah Likely,isaiah likely,TE,2022,211,0.29054054054054057,28,0.3571428571428571
231,Darrel Williams,RB63,191.5,Darrel Williams,darrel williams,RB,2022,173,0.41891891891891897,56,0.3820224719101124
232,Tennessee Titans,DST19,222.0,Tennessee Titans,tennessee titans,DST,2022,213,0.28378378378378377,20,0.3666666666666667
233,Minnesota Vikings,DST20,224.0,Minnesota Vikings,minnesota vikings,DST,2022,215,0.277027027027027,21,0.33333333333333337
234,Wan'Dale Robinson,WR77,224.7,Wan'Dale Robinson,wandale robinson,WR,2022,217,0.2702702702702703,77,0.2549019607843137
235,Zach Wilson,QB30,239.0,Zach Wilson,zach wilson,QB,2022,234,0.21283783783783783,31,0.18918918918918914
236,K.J. Osborn,WR78,226.7,K.J. Osborn,kj osborn,WR,2022,221,0.2567567567567568,78,0.2450980392156863
237,Myles Gaskin,RB64,200.0,Myles Gaskin,myles gaskin,RB,2022,182,0.3885135135135135,59,0.348314606741573
238,Washington Commanders,DST21,231.7,Washington Commanders,washington commanders,DST,2022,225,0.2432432432432432,22,0.30000000000000004
239,Cade York,K19,234.0,Cade York,cade york,K,2022,228,0.23310810810810811,22,0.16000000000000003
240,Rex Burkhead,RB65,234.3,Rex Burkhead,rex burkhead,RB,2022,229,0.22972972972972971,70,0.2247191011235955
241,Corey Davis,WR79,211.5,Corey Davis,corey davis,WR,2022,197,0.33783783783783783,70,0.32352941176470584
242,Tyrion Davis-Price,RB66,211.5,Tyrion Davis-Price,tyrion davis-price,RB,2022,197,0.33783783783783783,62,0.3146067415730337
243,Parris Campbell,WR80,212.0,Parris Campbell,parris campbell,WR,2022,198,0.33445945945945943,71,0.3137254901960784
244,A.J. Green,WR81,212.0,A.J. Green,aj green,WR,2022,198,0.33445945945945943,71,0.3137254901960784
245,Graham Gano,K20,214.5,Graham Gano,graham gano,K,2022,201,0.32432432432432434,18,0.31999999999999995
246,Kyle Rudolph,TE28,237.7,Kyle Rudolph,kyle rudolph,TE,2022,232,0.21959459459459463,30,0.30952380952380953
247,Dustin Hopkins,K21,217.0,Dustin Hopkins,dustin hopkins,K,2022,206,0.30743243243243246,19,0.28
248,Cameron Brate,TE29,240.0,Cameron Brate,cameron brate,TE,2022,235,0.20945945945945943,31,0.2857142857142857
249,Jeff Wilson Jr.,RB67,167.0,Jeff Wilson Jr.,jeff wilson jr,RB,2022,148,0.5033783783783784,47,0.4831460674157303
250,Randall Cobb,WR82,224.5,Randall Cobb,randall cobb,WR,2022,216,0.2736486486486487,76,0.2647058823529411
251,Eno Benjamin,RB68,225.0,Eno Benjamin,eno benjamin,RB,2022,218,0.2668918918918919,66,0.2696629213483146
252,Dontrell Hilliard ,RB69,226.0,Dontrell Hilliard ,dontrell hilliard,RB,2022,220,0.2601351351351351,67,0.2584269662921348
253,Mitchell Trubisky,QB31,244.3,Mitchell Trubisky,mitchell trubisky,QB,2022,239,0.19594594594594594,32,0.16216216216216217
254,Mike Davis,RB70,177.0,Mike Davis,mike davis,RB,2022,160,0.46283783783783783,49,0.4606741573033708
255,KJ Hamler,WR83,229.0,KJ Hamler,kj hamler,WR,2022,222,0.2533783783783784,79,0.23529411764705888
256,Arizona Cardinals,DST22,233.5,Arizona Cardinals,arizona cardinals,DST,2022,227,0.2364864864864865,23,0.2666666666666667
257,Kendrick Bourne,WR84,235.0,Kendrick Bourne,kendrick bourne,WR,2022,230,0.22635135135135132,80,0.22549019607843135
258,Randy Bullock,K22,197.0,Randy Bullock,randy bullock,K,2022,178,0.402027027027027,13,0.52
259,Sony Michel,RB71,240.0,Sony Michel,sony michel,RB,2022,235,0.20945945945945943,71,0.2134831460674157
260,Donovan Peoples-Jones,WR85,253.7,Donovan Peoples-Jones,donovan peoples-jones,WR,2022,251,0.15540540540540537,84,0.18627450980392157
261,Ameer Abdullah,RB72,242.5,Ameer Abdullah,ameer abdullah,RB,2022,236,0.20608108108108103,72,0.202247191011236
262,Matt Breida,RB73,205.0,Matt Breida,matt breida,RB,2022,187,0.3716216216216216,61,0.3258426966292135
263,David Bell,WR86,243.0,David Bell,david bell,WR,2022,237,0.20270270270270274,81,0.21568627450980393
264,Las Vegas Raiders,DST23,207.0,Las Vegas Raiders,las vegas raiders,DST,2022,189,0.3648648648648649,18,0.43333333333333335
265,Jason Sanders,K23,244.0,Jason Sanders,jason sanders,K,2022,238,0.19932432432432434,24,0.07999999999999996
266,Austin Seibert,K24,208.0,Austin Seibert,austin seibert,K,2022,190,0.3614864864864865,16,0.4
267,Gus Edwards,RB74,247.0,Gus Edwards,gus edwards,RB,2022,240,0.19256756756756754,74,0.1797752808988764
268,Chicago Bears,DST24,247.5,Chicago Bears,chicago bears,DST,2022,241,0.18918918918918914,24,0.23333333333333328
269,C.J. Uzomah,TE30,215.0,C.J. Uzomah,cj uzomah,TE,2022,203,0.31756756756756754,26,0.40476190476190477
270,Samaje Perine,RB75,249.5,Samaje Perine,samaje perine,RB,2022,244,0.17905405405405406,75,0.1685393258426966
271,Davis Mills,QB32,250.0,Davis Mills,davis mills,QB,2022,245,0.17567567567567566,33,0.1351351351351351
272,Jordan Mason,RB76,220.0,Jordan Mason,jordan mason,RB,2022,209,0.29729729729729726,64,0.2921348314606742
273,Hassan Haskins,RB77,250.5,Hassan Haskins,hassan haskins,RB,2022,246,0.17229729729729726,76,0.1573033707865169
274,Carolina Panthers,DST25,251.0,Carolina Panthers,carolina panthers,DST,2022,247,0.16891891891891897,25,0.19999999999999996
275,Brevin Jordan,TE31,223.0,Brevin Jordan,brevin jordan,TE,2022,214,0.2804054054054054,29,0.33333333333333337
276,Jamison Crowder,WR87,253.5,Jamison Crowder,jamison crowder,WR,2022,250,0.15878378378378377,83,0.196078431372549
277,Curtis Samuel,WR88,263.3,Curtis Samuel,curtis samuel,WR,2022,263,0.11486486486486491,87,0.1568627450980392
278,Cairo Santos,K25,230.0,Cairo Santos,cairo santos,K,2022,223,0.25,21,0.19999999999999996
279,Ke'Shawn Vaughn,RB78,230.0,Ke'Shawn Vaughn,keshawn vaughn,RB,2022,223,0.25,68,0.2471910112359551
280,Damien Williams,RB79,231.0,Damien Williams,damien williams,RB,2022,224,0.2466216216216216,69,0.2359550561797753
281,Zack Moss,RB80,256.5,Zack Moss,zack moss,RB,2022,255,0.14189189189189189,80,0.1123595505617978
282,Jimmy Garoppolo,QB33,233.0,Jimmy Garoppolo,jimmy garoppolo,QB,2022,226,0.2398648648648649,29,0.2432432432432432
283,Brett Maher,K26,238.0,Brett Maher,brett maher,K,2022,233,0.21621621621621623,23,0.12
284,Boston Scott,RB81,262.0,Boston Scott,boston scott,RB,2022,261,0.1216216216216216,83,0.0786516853932584
285,D'Ernest Johnson,RB82,266.5,D'Ernest Johnson,dernest johnson,RB,2022,267,0.10135135135135132,85,0.0561797752808989
286,Jason Myers,K27,244.0,Jason Myers,jason myers,K,2022,238,0.19932432432432434,24,0.07999999999999996
287,Joshua Kelley,RB83,244.0,Joshua Kelley,joshua kelley,RB,2022,238,0.19932432432432434,73,0.1910112359550562
288,DeAndre Torrey,RB84,247.0,DeAndre Torrey,deandre torrey,RB,2022,240,0.19256756756756754,74,0.1797752808988764
289,Mo Alie-Cox,TE32,248.0,Mo Alie-Cox,mo alie-cox,TE,2022,242,0.18581081081081086,32,0.26190476190476186
290,Jake Powell,TE33,248.0,Jake Powell,jake powell,TE,2022,242,0.18581081081081086,32,0.26190476190476186
291,Anthony Johnson,DT1,249.0,Anthony Johnson,anthony johnson,DT,2022,243,0.18243243243243246,1,0.0
292,Tyler Conklin,TE34,250.0,Tyler Conklin,tyler conklin,TE,2022,245,0.17567567567567566,33,0.23809523809523814
293,Collin Hill,QB34,250.0,Collin Hill,collin hill,QB,2022,245,0.17567567567567566,33,0.1351351351351351
294,Chad Muma,LB1,251.0,Chad Muma,chad muma,LB,2022,247,0.16891891891891897,1,1.0
295,Ben Johnson,OT1,252.0,Ben Johnson,ben johnson,OT,2022,248,0.16554054054054057,1,0.0
296,Braxton Berrios,WR89,252.0,Braxton Berrios,braxton berrios,WR,2022,248,0.16554054054054057,82,0.20588235294117652
297,Kyle Juszczyk,RB85,253.0,Kyle Juszczyk,kyle juszczyk,RB,2022,249,0.16216216216216217,77,0.1460674157303371
298,Austin Walter,RB86,253.0,Austin Walter,austin walter,RB,2022,249,0.16216216216216217,77,0.1460674157303371
299,Zay Jones,WR90,254.0,Zay Jones,zay jones,WR,2022,252,0.15202702702702697,85,0.17647058823529416
300,Kayvon Thibodeaux,DE1,254.0,Kayvon Thibodeaux,kayvon thibodeaux,DE,2022,252,0.15202702702702697,1,1.0
301,Karan Higdon,RB87,255.0,Karan Higdon,karan higdon,RB,2022,253,0.14864864864864868,78,0.1348314606741573
302,Marquez Callaway,WR91,268.0,Marquez Callaway,marquez callaway,WR,2022,269,0.09459459459459463,89,0.13725490196078427
303,Seattle Seahawks,DST26,256.0,Seattle Seahawks,seattle seahawks,DST,2022,254,0.14527027027027029,26,0.16666666666666663
304,Jordan Johnson,RB88,256.0,Jordan Johnson,jordan johnson,RB,2022,254,0.14527027027027029,79,0.1235955056179775
305,Stephen Baggett,TE35,257.0,Stephen Baggett,stephen baggett,TE,2022,256,0.1385135135135135,34,0.2142857142857143
306,Alex Barnes,RB89,258.0,Alex Barnes,alex barnes,RB,2022,257,0.1351351351351351,81,0.101123595505618
307,Jaylen Warren,RB90,258.0,Jaylen Warren,jaylen warren,RB,2022,257,0.1351351351351351,81,0.101123595505618
308,Detroit Lions,DST27,259.0,Detroit Lions,detroit lions,DST,2022,258,0.1317567567567568,27,0.1333333333333333
309,Zach Olstad,RB91,259.0,Zach Olstad,zach olstad,RB,2022,258,0.1317567567567568,82,0.0898876404494382
310,Temarrick Hemingway,TE36,260.0,Temarrick Hemingway,temarrick hemingway,TE,2022,259,0.1283783783783784,35,0.19047619047619047
311,Jerome Washington,TE37,261.0,Jerome Washington,jerome washington,TE,2022,260,0.125,36,0.16666666666666663
312,New York Giants,DST28,262.0,New York Giants,new york giants,DST,2022,261,0.1216216216216216,28,0.09999999999999998
313,Stephon Robinson Jr.,WR92,262.0,Stephon Robinson Jr.,stephon robinson jr,WR,2022,261,0.1216216216216216,86,0.16666666666666663
314,Nick Bawden,RB92,263.0,Nick Bawden,nick bawden,RB,2022,262,0.1182432432432432,84,0.0674157303370787
315,Michael Jacobson,TE38,264.0,Michael Jacobson,michael jacobson,TE,2022,264,0.11148648648648651,37,0.1428571428571429
316,Jamel Johnson,WR93,265.0,Jamel Johnson,jamel johnson,WR,2022,265,0.10810810810810811,88,0.1470588235294118
317,Sterling Shepard,WR94,281.5,Sterling Shepard,sterling shepard,WR,2022,283,0.04729729729729726,99,0.039215686274509776
318,Brandon Barnes,TE39,266.0,Brandon Barnes,brandon barnes,TE,2022,266,0.10472972972972971,38,0.11904761904761907
319,Drew Anderson,QB35,267.0,Drew Anderson,drew anderson,QB,2022,268,0.09797297297297303,34,0.10810810810810811
320,Zach Conque,QB36,268.0,Zach Conque,zach conque,QB,2022,269,0.09459459459459463,35,0.08108108108108103
321,Bobby Wagner,LB2,269.0,Bobby Wagner,bobby wagner,LB,2022,270,0.09121621621621623,2,0.0
322,Kendrick Rogers,WR95,270.0,Kendrick Rogers,kendrick rogers,WR,2022,271,0.08783783783783783,90,0.12745098039215685
323,Taywan Taylor,WR96,271.0,Taywan Taylor,taywan taylor,WR,2022,272,0.08445945945945943,91,0.11764705882352944
324,New York Jets,DST29,272.0,New York Jets,new york jets,DST,2022,273,0.08108108108108103,29,0.06666666666666665
325,Kyle Lewis,WR97,272.0,Kyle Lewis,kyle lewis,WR,2022,273,0.08108108108108103,92,0.10784313725490191
326,Ryan Davis,DE2,273.0,Ryan Davis,ryan davis,DE,2022,274,0.07770270270270274,2,0.0
327,Jonnu Smith,TE40,273.0,Jonnu Smith,jonnu smith,TE,2022,274,0.07770270270270274,39,0.09523809523809523
328,Papi White,WR98,274.0,Papi White,papi white,WR,2022,275,0.07432432432432434,93,0.0980392156862745
329,Laviska Shenault Jr.,WR99,275.0,Laviska Shenault Jr.,laviska shenault jr,WR,2022,276,0.07094594594594594,94,0.08823529411764708
330,Houston Texans,DST30,276.0,Houston Texans,houston texans,DST,2022,277,0.06756756756756754,30,0.033333333333333326
331,Krishawn Hogan,WR100,276.0,Krishawn Hogan,krishawn hogan,WR,2022,277,0.06756756756756754,95,0.07843137254901966
332,Brogan Roback,QB37,277.0,Brogan Roback,brogan roback,QB,2022,278,0.06418918918918914,36,0.05405405405405406
333,Cedrick Wilson Jr.,WR101,278.0,Cedrick Wilson Jr.,cedrick wilson jr,WR,2022,279,0.060810810810810856,96,0.06862745098039214
334,Cole Hunt,TE41,278.0,Cole Hunt,cole hunt,TE,2022,279,0.060810810810810856,40,0.0714285714285714
335,David Watford,WR102,279.0,David Watford,david watford,WR,2022,280,0.057432432432432456,97,0.05882352941176472
336,Chris Evans,RB93,280.0,Chris Evans,chris evans,RB,2022,281,0.05405405405405406,86,0.0449438202247191
337,Zaire Mitchell-Paden,TE42,280.0,Zaire Mitchell-Paden,zaire mitchell-paden,TE,2022,281,0.05405405405405406,41,0.04761904761904767
338,Brandon Bolden,RB94,281.0,Brandon Bolden,brandon bolden,RB,2022,282,0.05067567567567566,87,0.0337078651685393
339,Josh Smith,WR103,281.0,Josh Smith,josh smith,WR,2022,282,0.05067567567567566,98,0.0490196078431373
340,Nelson Agholor,WR104,283.0,Nelson Agholor,nelson agholor,WR,2022,284,0.04391891891891897,100,0.02941176470588236
341,Foster Moreau,TE43,284.0,Foster Moreau,foster moreau,TE,2022,285,0.04054054054054057,42,0.023809523809523836
342,Quez Watkins,WR105,287.0,Quez Watkins,quez watkins,WR,2022,286,0.03716216216216217,101,0.019607843137254943
343,J.J. Taylor,RB95,288.0,J.J. Taylor,jj taylor,RB,2022,287,0.03378378378378377,88,0.022471910112359605
344,Byron Pringle,WR106,289.0,Byron Pringle,byron pringle,WR,2022,288,0.030405405405405372,102,0.009803921568627416
345,Jacksonville Jaguars,DST31,290.0,Jacksonville Jaguars,jacksonville jaguars,DST,2022,289,0.027027027027026973,31,0.0
346,Drew Lock,QB38,291.0,Drew Lock,drew lock,QB,2022,290,0.023648648648648685,37,0.027027027027026973
347,Jauan Jennings,WR107,293.0,Jauan Jennings,jauan jennings,WR,2022,291,0.020270270270270285,103,0.0
348,DeeJay Dallas,RB96,294.0,DeeJay Dallas,deejay dallas,RB,2022,292,0.016891891891891886,89,0.011235955056179803
349,Ka'imi Fairbairn,K28,295.0,Ka'imi Fairbairn,kaimi fairbairn,K,2022,293,0.013513513513513487,25,0.040000000000000036
350,Trey Sermon,RB97,296.0,Trey Sermon,trey sermon,RB,2022,294,0.010135135135135087,90,0.0
351,Malik Willis,QB39,297.0,Malik Willis,malik willis,QB,2022,295,0.006756756756756799,38,0.0
352,Joey Slye,K29,299.0,Joey Slye,joey slye,K,2022,296,0.0033783783783783994,26,0.0
353,O.J. Howard,TE44,300.0,O.J. Howard,oj howard,TE,2022,297,0.0,43,0.0
