,Unnamed: 0_x,season,player_x,pfr_id_x,tm,age,pos,g,gs,tgt,rec,yds,td,x1d,ybc,ybc_r,yac,yac_r,adot,brk_tkl,rec_br,drop,drop_percent,int,rat,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions_x,targets_x,catch_percentage,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_short_name,player_id,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,fantasy_points,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,dom,w8dom,yptmpa,ppr_sh,display_name,common_first_name,short_name,football_name,suffix,esb_id,nfl_id,pfr_id_y,pff_id,otc_id,espn_id,smart_id,birth_date,position_group,ngs_position_group,ngs_position,height,weight,headshot,college_name,college_conference,rookie_season,last_season,latest_team,status,ngs_status,ngs_status_short_description,years_of_experience,pff_position,pff_status,draft_round,draft_pick,draft_team,rookie,Unnamed: 0_y,team,player_y,position_y,offense_snaps,team_snaps,merge_year,AVG,adp_percentile,POS_group,FantPos,Player_fixed,expected_ppr_pg_prev,expected_ppr_pg_curr_hist,Games_G,Fantasy_PPR,ppg_actual,per_game_perf_rel_expectations,label
135,53.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0022084,1.0,1.0,894.0,1.181703342115501,0.0,16.281700471383427,3.432485413455093,3.818859917511298,7.821930062440549,100.9,14.0,0.2418300653594771,0.2655182655182655,0.163288940359004,0.5751597104538281,0.2391633828432858,0.2857142857142857,0.2536231884057971,0.2624388342787858,0.2484735634174858,1.7189542483660132,0.1624034564502561,Anquan Boldin,Anquan,,Anquan,,BOL283010,28091.0,BoldAn00,1369.0,1360.0,4512.0,3200424f-4c28-3010-ceb9-7a5e123e35c7,1980-10-03,WR,WR,SLOT_WR,73.0,220.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ajabgwxbliupgkwjbnut",Florida State,,2003.0,2016.0,DET,ACT,CUT,,14.0,WR,,2.0,54.0,ARI,0.0,6020.0,SF,Anquan Boldin,WR,757.0,1009.0,2016.0,208.3,0.610062893081761,WR,WR,Anquan Boldin,10.214720077502127,6.612481484556946,16.0,173.4,10.8375,4.225018515443054,over
137,1920.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0030670,0.0,0.0,203.0,-0.0965057143192618,0.0,13.662140556705774,0.6853149859394326,0.5874884252519945,1.4392143765855452,20.3,13.0,0.0506072874493927,0.0440251572327044,0.0618228170809432,0.1111310569602525,0.0574257425742574,0.0,0.0683229813664596,0.0287128712871287,0.0459405940594059,0.4109311740890688,0.0329191983313684,Bennie Fowler,Bennie,B.Fowler,Bennie,,FOW140514,41507.0,FowlBe00,8914.0,3346.0,16995.0,3200464f-5714-0514-6a90-c8915b13da09,1991-06-10,WR,,,73.0,218.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/d3jxciybumul74f3kdnb",Michigan State,Big Ten Conference,2014.0,2020.0,NO,RES,CUT,Active,6.0,WR,,,,,0.0,1942.0,DEN,Bennie Fowler,WR,264.0,1080.0,2016.0,395.0,0.2578616352201258,WR,WR,Bennie Fowler,,4.24615848125794,13.0,37.5,2.8846153846153846,-1.361543096642555,neutral
138,2150.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0031236,1.0,0.0,1597.0,25.67644192783081,0.0,12.124039945025528,3.1304829526783733,4.893554142405664,8.121212328701525,169.6,16.0,0.1934032983508246,0.3066436251920122,0.1514792899408284,0.5354198476798467,0.2186359269932757,0.28125,0.1821862348178137,0.2499429634966378,0.2311587415946205,1.7061469265367315,0.1466065441091455,Brandin Cooks,Brandin,B.Cooks,Brandin,,COO299382,41246.0,CookBr00,8655.0,2959.0,16731.0,3200434f-4f29-9382-29e1-70020b0a09be,1993-09-25,WR,WR,WR,70.0,190.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/krz3gv9jjs92arlctvqf",Oregon State,Pacific Twelve Conference,2014.0,2025.0,NO,ACT,ACT,Active,12.0,WR,A,1.0,20.0,NO,0.0,4537.0,NO,Brandin Cooks,WR,958.0,1158.0,2016.0,23.8,0.960167714884696,WR,WR,Brandin Cooks,16.584414750768254,16.831200361090698,16.0,246.3,15.39375,-1.437450361090697,neutral
139,1962.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0030801,0.0,0.0,680.0,17.376414767670212,0.0,11.681106415269683,1.1980484055803489,2.1140541476570496,3.276910511730458,57.400000000000006,16.0,0.0734632683658171,0.130568356374808,0.0473372781065088,0.214649587648572,0.087223823246878,0.0625,0.0890688259109311,0.074861911623439,0.0822790585975024,0.6806596701649176,0.0505260723783096,Brandon Coleman,Brandon,B.Coleman,Brandon,,COL222062,41639.0,ColeBr00,9086.0,3473.0,17127.0,3200434f-4c22-2062-6e9b-1b84ac3daffd,1992-06-22,WR,,,78.0,225.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mudu6l15nmg2cfvljd0d",Rutgers,,2014.0,2017.0,NO,ACT,CUT,,3.0,WR,,,,,0.0,4538.0,NO,Brandon Coleman,WR,430.0,1158.0,2016.0,259.0,0.5178197064989518,WR,WR,Brandon Coleman,7.19072784669791,6.717970245818311,16.0,72.1,4.50625,-2.211720245818311,under
140,649.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0027681,0.0,0.0,1006.0,-1.9704607857805063,0.0,8.800027295552155,1.900979239149484,2.9541043200219765,4.919341882739609,52.400000000000006,11.0,0.1712962962962963,0.2774407060121346,0.1436818473380372,0.4788970092541522,0.1654352714423385,0.0,0.1517241379310344,0.0827176357211692,0.1323482171538708,1.1921296296296295,0.0860757543663707,Brandon LaFell,Brandon,B.LaFell,Brandon,,LAF184731,35517.0,LaFeBr00,5602.0,1144.0,12576.0,32004c41-4618-4731-176f-c7442d9b308e,1986-11-04,WR,WR,WR,75.0,210.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/x4wifb5arw0neuwg1cch",LSU,,2010.0,2018.0,LV,RES,RES,,9.0,WR,,3.0,78.0,CAR,0.0,4322.0,NE,Brandon LaFell,WR,660.0,1105.0,2016.0,254.7,0.5283018867924528,WR,WR,Brandon LaFell,8.769083285960457,6.697401486996153,16.0,186.0,11.625,4.927598513003847,over
141,240.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0024334,3.0,2.0,2102.0,56.88848361650938,0.0,12.26234993002909,4.693255771399356,6.175473553243782,11.36271514436968,230.2,16.0,0.2864238410596026,0.3790802524797114,0.231868713605082,0.7328999635731732,0.3601918465227818,0.4242424242424242,0.3619047619047619,0.392217135382603,0.3730019620667102,2.486754966887417,0.228787265614461,Brandon Marshall,Brandon,B.Marshall,Brandon,,MAR370922,30933.0,MarsBr00,3064.0,106.0,9705.0,32004d41-5237-0922-7f60-5556d0dc6ec1,1984-03-23,WR,WR,WR,77.0,232.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jhziqh0scfksvxen6f3s",UCF,,2006.0,2018.0,NO,CUT,CUT,,13.0,WR,,4.0,119.0,DEN,0.0,4998.0,NYJ,Brandon Marshall,WR,1058.0,1103.0,2016.0,15.8,0.9748427672955976,WR,WR,Brandon Marshall,14.02646651844906,17.475019349742844,15.0,155.8,10.386666666666667,-7.088352683076177,under
145,1377.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0029640,0.0,0.0,512.0,-11.033990398471438,0.0,3.192403592097808,0.9222355994535656,1.8042515998059667,2.646329519044525,10.2,9.0,0.1081081081081081,0.2133333333333333,0.0418454935622317,0.3328288288288288,0.06288532675709,0.0,0.0735294117647058,0.031442663378545,0.050308261405672,0.3445945945945945,0.0352174064646605,Brian Quick,Brian,B.Quick,Brian,,QUI043372,38563.0,QuicBr00,7037.0,1311.0,14914.0,32005155-4904-3372-c81b-5dab4da43909,1989-06-05,WR,,,75.0,215.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tayczwuhluj2hyrva3cp",Appalachian State,,2012.0,2018.0,WAS,CUT,CUT,,7.0,WR,,2.0,33.0,LA,0.0,6249.0,STL,Brian Quick,WR,352.0,947.0,2016.0,291.0,0.4549266247379455,WR,WR,Brian Quick,7.804722411689923,6.908250185790308,16.0,115.4,7.2125,0.3042498142096921,neutral
146,1791.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0030516,0.0,0.0,307.0,1.971783605388564,0.0,5.678777987225168,0.764238121496186,1.048310493375238,1.8801745276069457,25.8,5.0,0.1575757575757575,0.2112869924294563,0.1638225255972696,0.4053932303072014,0.2001551590380139,0.0,0.1612903225806451,0.1000775795190069,0.1601241272304111,1.5636363636363635,0.0950560780566313,Brice Butler,Brice,B.Butler,Brice,,BUT116760,40157.0,ButlBr00,7991.0,2356.0,15896.0,32004255-5411-6760-c62b-d041b540d5f9,1990-01-29,WR,,,75.0,220.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xnr2lcdlhui4vyu6z4ir",San Diego State; USC,,2013.0,2018.0,MIA,ACT,CUT,,6.0,WR,,7.0,209.0,LV,0.0,1741.0,DAL,Brice Butler,WR,261.0,1026.0,2016.0,385.0,0.2830188679245283,WR,WR,Brice Butler,,4.346883355891006,16.0,55.9,3.49375,-0.8531333558910057,neutral
148,920.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0028052,1.0,1.0,648.0,-5.725492215563753,0.0,9.270867060235668,1.8592372135655528,1.6157942216208994,3.919911775482959,67.94,11.0,0.1756440281030445,0.1498265895953757,0.234375,0.3833273138308674,0.1758082092262985,0.1052631578947368,0.1956521739130435,0.1405356835605177,0.1616991989599862,1.1334894613583135,0.1171044502673568,Cecil Shorts,Cecil,,Cecil,,SHO727038,37189.0,ShorCe00,6266.0,919.0,14184.0,32005348-4f72-7038-d0b9-c5091b04397f,1987-12-22,WR,,,72.0,202.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zdsyqinswn0k8664k9qs",Mount Union College,Ohio Athletic Conference,2011.0,2016.0,TB,RES,ACT,Active,6.0,WR,,4.0,114.0,JAX,0.0,2587.0,HOU,Cecil Shorts,WR,565.0,1165.0,2016.0,330.0,0.3836477987421384,WR,WR,Cecil Shorts,6.679883135524092,5.878826871775903,9.0,26.2,2.911111111111111,-2.967715760664792,under
154,1026.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0028237,0.0,0.0,783.0,4.4573950079857045,0.0,7.92627666685682,1.8921290294702275,2.450590263014963,4.553606728315815,57.56,13.0,0.1449631449631449,0.1862068965517241,0.100563909774436,0.3664102346860968,0.146771037181996,0.1,0.1333333333333333,0.123385518590998,0.1374168297455968,1.1056511056511056,0.0831393178950361,Chris Hogan,Chris,C.Hogan,Chris,,HOG008552,37737.0,HogaCh00,6468.0,216.0,14402.0,3200484f-4700-8552-d771-1e9cfd53695f,1987-10-24,WR,WR,WR,73.0,210.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fmpqnciwjqicsjzy63mc",Monmouth; Penn State,Northeast Conference,2011.0,2021.0,NO,CUT,RET,R/Retired,9.0,WR,,,,,0.0,664.0,BUF,Chris Hogan,WR,612.0,1071.0,2016.0,159.5,0.7127882599580713,WR,WR,Chris Hogan,5.007187015185615,7.544763387432471,15.0,128.9,8.593333333333334,1.048569945900863,neutral
