,team,season,player,offense_snaps,team_snaps,offense_snap_percentage
78,ARI,2018,Chad Williams,430.0,936.0,0.4594017094017094
79,ARI,2018,Chase Edmonds,198.0,936.0,0.21153846153846154
80,ARI,2018,Christian Kirk,542.0,936.0,0.5790598290598291
81,ARI,2018,Darrell Daniels,18.0,936.0,0.019230769230769232
82,ARI,2018,David Johnson,749.0,936.0,0.8002136752136753
83,ARI,2018,Gabe Holmes,81.0,936.0,0.08653846153846154
84,ARI,2018,JJ Nelson,213.0,936.0,0.22756410256410256
85,ARI,2018,Jalen Tolliver,77.0,936.0,0.08226495726495726
86,ARI,2018,Jermaine Gresham,417.0,936.0,0.44551282051282054
87,ARI,2018,John Phillips,130.0,936.0,0.1388888888888889
88,ARI,2018,Josh Rosen,781.0,936.0,0.8344017094017094
89,ARI,2018,Larry Fitzgerald,872.0,936.0,0.9316239316239316
90,ARI,2018,Malachi Dupre,5.0,936.0,0.005341880341880342
91,ARI,2018,Mike Glennon,26.0,936.0,0.027777777777777776
92,ARI,2018,Pharoh Cooper,0.0,936.0,0.0
93,ARI,2018,Ricky Seals-Jones,536.0,936.0,0.5726495726495726
94,ARI,2018,Sam Bradford,135.0,936.0,0.14423076923076922
95,ARI,2018,T.J. Logan,21.0,936.0,0.022435897435897436
96,ARI,2018,Trent Sherfield,343.0,936.0,0.36645299145299143
97,ARI,2019,Alfred Morris,3.0,983.0,0.003051881993896236
98,ARI,2019,Andy Isabella,145.0,983.0,0.14750762970498474
99,ARI,2019,Brett Hundley,40.0,983.0,0.04069175991861648
100,ARI,2019,Charles Clay,373.0,983.0,0.37945066124109866
101,ARI,2019,Chase Edmonds,196.0,983.0,0.19938962360122076
102,ARI,2019,Christian Kirk,735.0,983.0,0.7477110885045778
103,ARI,2019,D.J. Foster,0.0,983.0,0.0
104,ARI,2019,Damiere Byrd,430.0,983.0,0.43743641912512715
105,ARI,2019,Dan Arnold,59.0,983.0,0.06002034587995931
106,ARI,2019,Darrell Daniels,45.0,983.0,0.04577822990844354
107,ARI,2019,David Johnson,416.0,983.0,0.4231943031536114
108,ARI,2019,KeeSean Johnson,371.0,983.0,0.37741607324516785
109,ARI,2019,Kenyan Drake,367.0,983.0,0.3733468972533062
110,ARI,2019,Kyler Murray,951.0,983.0,0.9674465920651069
111,ARI,2019,Larry Fitzgerald,834.0,983.0,0.8484231943031536
112,ARI,2019,Maxx Williams,457.0,983.0,0.4649033570701933
113,ARI,2019,Michael Crabtree,31.0,983.0,0.03153611393692777
114,ARI,2019,Pharoh Cooper,209.0,983.0,0.2126144455747711
115,ARI,2019,Trent Sherfield,257.0,983.0,0.2614445574771109
