,season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_short_name
0,2016,REG,0,Tyreek Hill,WR,KC,7.822638888888889,3.51871428008136,7.870602409638554,16.708057853881865,61,83,73.49397590361446,599.0,6,4.670655737704918,5.3315702868677315,-0.6609145491628139,00-0033040,Tyreek,Hill,T.Hill
1,2016,REG,0,Richard Rodgers,TE,GB,7.60578947368421,2.6938820804794577,8.38127659574468,6.884246030705778,30,47,63.829787234042556,271.0,2,3.347666666666666,3.2744280250080995,0.07323864165856664,00-0031384,Richard,Rodgers,
2,2016,REG,0,Travis Benjamin,WR,LAC,7.601111111111111,3.0174261849707245,13.329866666666668,19.536130722888036,47,75,62.66666666666667,677.0,4,5.679361702127658,4.96871083642785,0.7106508656998081,00-0029269,Travis,Benjamin,
3,2016,REG,0,Cordarrelle Patterson,WR,MIN,7.466268656716418,3.23044503445249,5.564,9.530008221430528,52,70,74.28571428571429,453.0,2,6.278461538461538,5.619059983353808,0.6594015551077295,00-0030578,Cordarrelle,Patterson,C.Patterson
4,2016,REG,0,DeSean Jackson,WR,WAS,7.295833333333334,2.8862852196325024,16.035399999999996,28.085914306381916,56,100,56.00000000000001,1005.0,4,4.867142857142858,5.051773002105554,-0.18463014496269547,00-0026189,DeSean,Jackson,D.Jackson
5,2016,REG,0,Albert Wilson,WR,KC,7.21409090909091,3.505559892066392,7.72607843137255,10.077880225584105,31,51,60.78431372549019,279.0,2,5.222580645161289,5.1966671712968076,0.025913473864481062,00-0030669,Albert,Wilson,A.Wilson
6,2016,REG,0,Brandin Cooks,WR,NO,7.149210526315788,2.8473033548769573,13.449059829059827,30.874066051359332,78,117,66.66666666666666,1173.0,8,4.596923076923077,4.10761506025108,0.4893080166719974,00-0031236,Brandin,Cooks,B.Cooks
7,2016,REG,0,Rishard Matthews,WR,TEN,7.1388461538461545,2.167099764435854,13.507592592592593,29.932126325465358,65,108,60.18518518518518,945.0,9,3.8590769230769237,3.9598145537373233,-0.10073763066039954,00-0029580,Rishard,Matthews,R.Matthews
8,2016,REG,0,Taylor Gabriel,WR,ATL,7.0809999999999995,3.158981834854208,11.190999999999999,11.637507903231173,35,50,70.0,579.0,6,7.892,6.3763773191361715,1.515622680863829,00-0031228,Taylor,Gabriel,T.Gabriel
9,2016,REG,0,Phillip Dorsett,WR,IND,7.072542372881356,2.902843283586208,13.835423728813561,15.613272687627438,33,59,55.932203389830505,528.0,2,4.325151515151516,4.658525747314787,-0.3333742321632709,00-0032208,Phillip,Dorsett,P.Dorsett
10,2016,REG,0,Chris Conley,WR,KC,7.053676470588236,2.905711445551097,10.583478260869564,18.677442868652246,44,69,63.76811594202898,530.0,0,3.0490909090909084,4.017353781923293,-0.9682628728323848,00-0032128,Christian,Conley,C.Conley
11,2016,REG,0,Tavon Austin,WR,LAR,6.977173913043478,3.1914531897961886,7.548396226415094,18.746749138961125,58,106,54.71698113207547,509.0,3,4.558620689655172,4.734016339324913,-0.1753956496697402,00-0030525,Tavon,Austin,T.Austin
12,2016,REG,0,Tyler Lockett,WR,SEA,6.808750000000001,3.353730466559719,10.760909090909092,13.854518002368197,41,66,62.121212121212125,597.0,1,5.339756097560975,5.551802066768878,-0.21204596920790308,00-0032211,Tyler,Lockett,
13,2016,REG,0,Ted Ginn,WR,CAR,6.765000000000001,2.9929793347602143,13.388736842105263,20.933328944553253,54,95,56.84210526315789,752.0,4,3.4033333333333333,4.053028916864917,-0.6496955835315834,00-0025396,Ted,Ginn,T.Ginn
14,2016,REG,0,Sammie Coates,WR,PIT,6.759795918367347,2.5239471768132433,22.00857142857143,19.283670695944497,21,49,42.857142857142854,435.0,2,5.73142857142857,6.2511791416574765,-0.519750570228906,00-0032166,Sammie,Coates,S.Coates
15,2016,REG,0,Jamison Crowder,WR,WAS,6.732235294117647,3.5934765911806594,8.656161616161617,15.00960694712764,67,99,67.67676767676768,847.0,7,5.612388059701491,5.668837136562553,-0.05644907686106215,00-0031941,Jamison,Crowder,J.Crowder
16,2016,REG,0,Cole Beasley,WR,DAL,6.70641304347826,3.4045226093913414,6.840102040816326,15.97115171557707,75,98,76.53061224489795,833.0,5,4.960799999999999,5.173482953247786,-0.2126829532477874,00-0029000,Cole,Beasley,C.Beasley
17,2016,REG,0,Doug Baldwin,WR,SEA,6.618867924528302,3.0698670212862265,9.402640000000002,22.927586724850627,94,125,75.2,1128.0,7,4.890212765957448,5.133962746947246,-0.24374998098979805,00-0028434,Doug,Baldwin,D.Baldwin
18,2016,REG,0,Brian Quick,WR,LAR,6.5464864864864865,2.1667962782834436,12.272597402597402,22.14076521168669,41,77,53.246753246753244,564.0,3,4.0407317073170725,2.8924003875388005,1.148331319778272,00-0029640,Brian,Quick,B.Quick
19,2016,REG,0,Allen Hurns,WR,JAX,6.539999999999999,2.5354071227099957,10.768552631578947,14.977015028072408,35,76,46.05263157894737,477.0,3,5.987714285714287,6.157138161146571,-0.1694238754322841,00-0030821,Allen,Hurns,
20,2016,REG,0,Marquise Goodwin,WR,BUF,6.535909090909091,2.8395524838599293,15.823235294117648,22.866335707849508,29,68,42.64705882352941,413.0,3,2.337241379310345,2.2694511989066894,0.06779018040365559,00-0030068,Marquise,Goodwin,M.Goodwin
21,2016,REG,0,Quincy Enunwa,WR,NYJ,6.523205128205127,2.4327383067130066,9.661142857142856,19.326371861479288,58,105,55.23809523809524,857.0,4,6.23448275862069,5.823938358795723,0.4105443998249667,00-0031023,Onachie,Enunwa,Q.Enunwa
22,2016,REG,0,Jeremy Kerley,WR,SF,6.517843137254903,3.1494108707836843,9.171478260869563,24.796345623517404,64,115,55.65217391304348,667.0,3,3.1635937500000004,4.814907075876471,-1.6513133258764707,00-0028091,Jeremy,Kerley,J.Kerley
23,2016,REG,0,Adam Humphries,WR,TB,6.508181818181818,3.4168422148766115,5.731686746987951,7.788076824852172,55,83,66.26506024096386,622.0,2,7.180363636363635,6.426137826286846,0.7542258100767896,00-0032009,Adam,Humphries,A.Humphries
24,2016,REG,0,Steve Smith,WR,BAL,6.503258426966291,2.659959570292205,9.094158415841585,17.493096158607425,70,101,69.3069306930693,799.0,5,3.815857142857143,3.1583797895749326,0.6574773532822102,00-0020337,Steve,Smith,S.Smith Sr.
25,2016,REG,0,Larry Fitzgerald,WR,ARI,6.482462686567165,2.361345376740551,7.994866666666669,18.06210727346118,107,150,71.33333333333334,1023.0,6,3.4297196261682235,3.6251963890891172,-0.19547676292089378,00-0022921,Larry,Fitzgerald,L.Fitzgerald
26,2016,REG,0,Kenny Stills,WR,MIA,6.459189189189189,2.4815387079464912,15.291234567901233,31.584033945588118,42,81,51.85185185185185,726.0,9,4.216904761904761,3.9911371753431104,0.22576758656165063,00-0030085,Kenny,Stills,K.Stills
27,2016,REG,0,Delanie Walker,TE,TEN,6.436708860759493,2.872385966301858,10.074803921568629,21.084952890581405,65,102,63.725490196078425,800.0,7,4.013538461538461,4.14262644665172,-0.1290879851132587,00-0024389,Delanie,Walker,D.Walker
28,2016,REG,0,Tajae Sharpe,WR,TEN,6.3984337349397595,2.1180075594954255,13.749999999999996,23.416212534059948,41,83,49.39759036144578,522.0,2,2.0763414634146344,2.5077315510770437,-0.43139008766240927,00-0032778,Tajae,Sharpe,T.Sharpe
29,2016,REG,0,Quinton Patton,WR,SF,6.387096774193547,3.2223971831420024,9.913809523809523,14.683568706462632,37,63,58.730158730158735,408.0,0,5.382702702702702,5.607346103801891,-0.2246434010991889,00-0030450,Quinton,Patton,
30,2016,REG,0,Julian Edelman,WR,NE,6.381911764705882,2.688326466364714,9.4888679245283,33.82833029892644,98,159,61.63522012578616,1106.0,3,4.936836734693878,4.691841914336041,0.24499482035783693,00-0027150,Julian,Edelman,J.Edelman
31,2016,REG,0,Kyle Rudolph,TE,MIN,6.34868686868687,2.8626669857194025,7.253636363636364,23.428140782210388,83,132,62.878787878787875,840.0,7,4.387710843373493,5.252803831760446,-0.8650929883869534,00-0027981,Kyle,Rudolph,K.Rudolph
32,2016,REG,0,Zach Ertz,TE,PHI,6.3401369863013715,3.2354824947331964,8.420849056603773,18.376216180606164,78,106,73.58490566037736,816.0,4,3.41025641025641,3.96175422677523,-0.55149781651882,00-0030061,Zach,Ertz,Z.Ertz
33,2016,REG,0,Torrey Smith,WR,SF,6.306530612244898,2.3446615726191293,13.832857142857142,15.935234969542943,20,49,40.816326530612244,267.0,3,2.8299999999999996,3.82771820449765,-0.9977182044976503,00-0027996,James,Smith,T.Smith
34,2016,REG,0,Vernon Davis,TE,WAS,6.29711111111111,3.1570746620527532,9.72406779661017,10.04867403111705,44,59,74.57627118644068,581.0,2,5.239318181818178,5.863518022682522,-0.6241998408643434,00-0024221,Vernon,Davis,V.Davis
35,2016,REG,0,Marqise Lee,WR,JAX,6.254466019417476,2.5639410991592992,11.866952380952378,22.802519562846324,63,105,60.0,851.0,3,5.495238095238096,5.377943992085825,0.11729410315227096,00-0031431,Marqise,Lee,M.Lee
36,2016,REG,0,Robert Woods,WR,BUF,6.24958904109589,3.5252452115320008,11.175394736842104,18.04965232322889,51,76,67.10526315789474,613.0,1,2.693921568627452,3.551595990561848,-0.8576744219343961,00-0030431,Robert,Woods,R.Woods
37,2016,REG,0,Nelson Agholor,WR,PHI,6.24939393939394,2.292221220614623,11.44768115942029,16.261513313652102,36,69,52.17391304347826,365.0,2,3.022777777777778,3.3085145548319144,-0.2857367770541366,00-0031549,Nelson,Agholor,N.Agholor
38,2016,REG,0,Corey Brown,WR,CAR,6.243829787234042,3.172532643566693,10.083396226415093,8.795444446273102,27,53,50.943396226415096,271.0,1,4.285555555555555,5.136149336896962,-0.8505937813414075,00-0031118,Corey,Brown,C.Brown
39,2016,REG,0,Terrance Williams,WR,DAL,6.2410000000000005,2.736280469136144,12.339180327868853,17.933444996938384,44,61,72.1311475409836,594.0,4,3.530227272727274,3.8783758620246136,-0.3481485892973395,00-0030542,Terrance,Williams,T.Williams
40,2016,REG,0,Devin Funchess,WR,CAR,6.2188888888888885,2.0438195354467976,14.91310344827586,14.235447079541153,23,58,39.6551724137931,371.0,4,4.440869565217391,3.7156218601263045,0.7252477050910868,00-0032055,Devin,Funchess,D.Funchess
41,2016,REG,0,Martellus Bennett,TE,NE,6.202258064516126,3.8483187480973937,5.981095890410959,9.789773899317483,55,73,75.34246575342466,701.0,7,7.634545454545455,6.570549241761674,1.0639962127837803,00-0026201,Martellus,Bennett,M.Bennett
42,2016,REG,0,Dontrelle Inman,WR,LAC,6.201666666666666,2.8140294668635586,11.41278350515464,21.63290271017061,58,97,59.79381443298969,810.0,4,3.697241379310345,4.522543615677569,-0.8253022363672242,00-0028411,Dontrelle,Inman,D.Inman
43,2016,REG,0,Willie Snead,WR,NO,6.160833333333334,3.1229062747689325,7.415192307692308,15.131145225089476,72,104,69.23076923076923,895.0,4,5.490555555555555,5.8987406910284435,-0.4081851354728885,00-0030663,Willie,Snead,W.Snead
44,2016,REG,0,Kendall Wright,WR,TEN,6.113947368421054,2.9236142763626627,10.670930232558138,9.41470240635567,29,43,67.44186046511628,416.0,3,4.282068965517243,4.2750160008886615,0.007052964628581293,00-0029708,Kendall,Wright,
45,2016,REG,0,Jeremy Maclin,WR,KC,6.089722222222221,2.359351389758836,11.47078947368421,22.297019067227644,44,76,57.89473684210527,536.0,2,3.0922727272727273,4.092893911358023,-1.0006211840852957,00-0026995,Jeremy,Maclin,J.Maclin
