Unnamed: 0_x,season,player_x,pfr_id_x,tm,age,pos,g,gs,tgt,rec,yds,td,x1d,ybc,ybc_r,yac,yac_r,adot,brk_tkl,rec_br,drop,drop_percent,int,rat,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,catch_percentage,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_short_name,player_id,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,dom,w8dom,yptmpa,ppr_sh,display_name,common_first_name,short_name,football_name,suffix,esb_id,nfl_id,pfr_id_y,pff_id,otc_id,espn_id,smart_id,birth_date,position_group,ngs_position_group,ngs_position,height,weight,headshot,college_name,college_conference,rookie_season,last_season,latest_team,status,ngs_status,ngs_status_short_description,years_of_experience,pff_status,draft_round,draft_pick,draft_team,rookie,Unnamed: 0_y,team,player_y,position_y,offense_snaps,team_snaps,offense_snap_percentage,merge_year,AVG,adp_percentile,adp_percentile_pos,POS_group,FantPos,Player_fixed,expected_ppr_pg_prev,expected_ppr_pg_curr_hist,Games_G
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,356.0,0.1616161616161616,0.3114754098360656,TE,WR,Darren Waller,,,6
244.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0024389,2.0,0.0,946.0,-1.1177384847304055,0.0,14.76099658738761,3.3026398757978197,3.223127504416271,113.0,176.0,15.0,0.2167689161554192,0.2091994692613887,0.2632258064516129,0.4925129496422399,0.256115107913669,0.2222222222222222,0.2348993288590604,0.2391686650679456,0.2493365307753797,1.820040899795501,0.1639802478337836,Delanie Walker,Delanie,De.Walker,Delanie,,WAL115671,30990.0,WalkHu00,3120.0,2013.0,9761.0,32005741-4c11-5671-e747-a27704ad47c0,1984-08-12,TE,,,74.0,248.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/diknegkpqy0qnri7877z",Central Missouri; Mt. San Antonio,,2006.0,2019.0,TEN,RES,UFA,,14.0,,6.0,175.0,SF,0.0,6492.0,TEN,Delanie Walker,TE,772.0,952.0,0.8109243697478992,2015.0,110.0,0.744949494949495,0.8524590163934427,TE,TE,Delanie Walker,,,15
1687.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0030422,0.0,0.0,296.0,10.20469695236534,0.0,13.576069607206689,1.0109137538605388,1.1209047262763532,40.400000000000006,64.4,14.0,0.0694980694980695,0.073650161731774,0.0686456400742115,0.1631672336325235,0.08,0.0869565217391304,0.0670103092783505,0.0834782608695652,0.081391304347826,0.5482625482625483,0.0506687647521636,Dion Sims,Dion,D.Sims,Dion,,SIM687398,40054.0,SimsDi00,7888.0,2418.0,15974.0,32005349-4d68-7398-27a7-235867d0df36,1991-02-18,TE,TE,TE,76.0,268.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gvok1agdl3xtz9nceqfr",Michigan State,,2013.0,2018.0,CHI,RES,RES,,6.0,,4.0,106.0,MIA,0.0,3884.0,MIA,Dion Sims,TE,507.0,1065.0,0.476056338028169,2015.0,417.0,0.0429292929292929,0.081967213114754,TE,TE,Dion Sims,,,13
1413.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0029689,1.0,0.0,444.0,25.46122046612436,0.0,9.978253851882885,1.1545967013326628,1.2139296065172869,87.5,116.5,12.0,0.0946969696969697,0.0987105380168964,0.0938729623383923,0.2210138849589716,0.1033760795603245,0.2580645161290322,0.1206030150753768,0.1807202978446783,0.134313766874066,0.7481060606060606,0.0904685728485563,Dwayne Allen,Dwayne,D.Allen,Dwayne,,ALL164177,38594.0,AlleDw00,7066.0,557.0,14901.0,3200414c-4c16-4177-13ce-60ea9f9f6043,1990-02-24,TE,,,75.0,265.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wduwt0ibzoutozuywe4b",Clemson,,2012.0,2018.0,NE,ACT,CUT,,7.0,,3.0,64.0,IND,0.0,2796.0,IND,Dwayne Allen,TE,620.0,1128.0,0.549645390070922,2015.0,144.3,0.6792929292929293,0.7377049180327868,TE,TE,Dwayne Allen,,,13
696.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0027718,0.0,0.0,177.0,4.97658499807585,0.0,12.227052217461424,0.8381980598035804,0.724360658007074,25.700000000000003,43.7,10.0,0.0909090909090909,0.069113627489262,0.0707070707070707,0.1916545383550459,0.0910351201478743,0.0833333333333333,0.091743119266055,0.0871842267406038,0.0894947627849661,0.6396103896103896,0.0570898544665952,Garrett Graham,Garrett,,Garrett,,GRA193306,35557.0,GrahGa00,5642.0,1664.0,13371.0,32004752-4119-3306-2805-e6ea89f65524,1986-08-04,TE,,,75.0,243.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/f1su4sbfwyp4xp2iy3jj",Wisconsin,Big Ten Conference,2010.0,2016.0,DEN,CUT,ACT,Active,7.0,,4.0,118.0,HOU,0.0,2572.0,HOU,Garrett Graham,TE,552.0,1101.0,0.5013623978201635,2015.0,382.5,0.1111111111111111,0.2131147540983606,TE,FB,Garrett Graham,,,8
419.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0026281,0.0,0.0,238.0,-4.092753427743446,0.0,6.8812743141997865,0.7214843636105566,0.6417954689935302,15.6,28.600000000000005,9.0,0.0766871165644171,0.075796178343949,0.0397286821705426,0.175667617521785,0.0672124084446359,0.0,0.0737704918032786,0.0336062042223179,0.0537699267557087,0.4785276073619632,0.0411664795463051,Gary Barnidge,Gary,,,,BAR521746,33222.0,BarnGa01,4455.0,1288.0,11364.0,32004241-5252-1746-fac5-fd380601e9a8,1985-09-22,TE,,,78.0,250.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qhfzxti66ga02dok4etx",Louisville,,2008.0,2016.0,CLE,ACT,,,9.0,,5.0,141.0,CAR,0.0,1502.0,CLE,Gary Barnidge,TE,358.0,1042.0,0.3435700575815739,2015.0,354.5,0.1666666666666666,0.3278688524590164,TE,TE,Gary Barnidge,,,16
1840.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0030544,0.0,0.0,98.0,12.736818369084498,0.0,7.996732026143791,0.4759931766283737,0.3630607258222589,34.5,43.5,10.0,0.0452961672473867,0.0374904361132364,0.0199095022624434,0.0979365997616692,0.0420336269015212,0.1666666666666666,0.0573770491803278,0.1043501467840939,0.0669602348545503,0.3658536585365853,0.0434426556944832,Gavin Escobar,Gavin,G.Escobar,Gavin,,ESC568293,39995.0,EscoGa00,7828.0,2257.0,15836.0,32004553-4356-8293-e63b-5acc8c108bb0,1991-02-03,TE,,,78.0,260.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zpne5eocfe1wlkabs4gq",San Diego State,,2013.0,2018.0,MIA,CUT,CUT,,5.0,,2.0,47.0,DAL,0.0,1733.0,DAL,Gavin Escobar,TE,261.0,1050.0,0.2485714285714285,2015.0,356.0,0.1616161616161616,0.3114754098360656,TE,TE,Gavin Escobar,,,14
283.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0025418,1.0,0.0,1079.0,43.090198633935074,0.0,15.466157760660874,3.5763239920957908,3.108449227646432,136.8,220.8,16.0,0.2256880733944954,0.2027814320616425,0.2368605466012613,0.5007572557410571,0.2633228840125391,0.2608695652173913,0.2864321608040201,0.2620962246149652,0.2628322202535096,1.8495412844036696,0.1667018995560656,Greg Olsen,Greg,G.Olsen,Greg,,OLS094822,32224.0,OlseGr00,3647.0,1164.0,10475.0,32004f4c-5309-4822-46ea-83c77b58b18c,1985-03-11,TE,TE,SLOT_WR,77.0,255.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jevf1bubmrv2vvmiwq3r",Miami; Notre Dame,Atlantic Coast Conference,2007.0,2020.0,SEA,ACT,ACT,Active,14.0,,1.0,31.0,CHI,0.0,871.0,CAR,Greg Olsen,TE,1067.0,1090.0,0.9788990825688072,2015.0,50.5,0.8863636363636364,0.9508196721311476,TE,TE,Greg Olsen,,,16
140.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0023465,1.0,1.0,666.0,36.60328682029406,1.0,24.322891206774404,2.4222964719998243,2.247505902463452,94.1,160.10000000000002,16.0,0.1486928104575163,0.1273422562141491,0.142418930762489,0.3249130206575938,0.1522913748248949,0.0909090909090909,0.1728395061728395,0.1216002328669929,0.1400149180417341,1.2434640522875815,0.0961919753902354,Heath Miller,Heath,,,,MIL243606,29857.0,MillHe00,2247.0,1598.0,8444.0,32004d49-4c24-3606-6e9e-e345e005ae54,1982-10-22,TE,,,77.0,256.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iqw8fry4hgfvegs9nfuf",Virginia,,2005.0,2015.0,PIT,ACT,,,11.0,,1.0,30.0,PIT,0.0,5529.0,PIT,Heath Miller,TE,1081.0,1105.0,0.9782805429864252,2015.0,199.7,0.5429292929292929,0.5901639344262295,TE,TE,Heath Miller,,,15
416.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0026267,1.0,1.0,267.0,-16.863933417514666,0.0,6.556436420722135,0.6378135496461859,0.6545714594565597,20.9,34.9,11.0,0.064516129032258,0.0709728867623604,0.0166799046862589,0.1535525029582754,0.033090467516697,0.0769230769230769,0.025,0.0550067722198869,0.041856989397973,0.2511520737327189,0.0301939681276279,Jacob Tamme,Jacob,,,,TAM511848,33208.0,TammJa00,4441.0,22.0,11373.0,32005441-4d51-1848-2775-b913bb227857,1985-03-15,TE,,,75.0,230.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kfyqh9qmtwufzixwuoo2",Kentucky,,2008.0,2016.0,ATL,RES,,,9.0,,4.0,127.0,IND,0.0,1932.0,DEN,Jacob Tamme,TE,276.0,1096.0,0.2518248175182482,2015.0,322.5,0.2373737373737373,0.4262295081967213,TE,TE,Jacob Tamme,,,15
