Unnamed: 0_x,season,player_x,pfr_id_x_x,tm_x,age_x,pos_x,g_x,gs_x,att,yds_x,td_x,x1d_x,ybc_x,ybc_att,yac_x,yac_att,brk_tkl_x,att_br,loaded,player_display_name,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,avg_rush_yards,player_gsis_id_x,player_first_name_x,player_last_name_x,player_short_name_x,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,player_id_x,rushing_fumbles,rushing_fumbles_lost,rushing_epa,rushing_2pt_conversions,fantasy_points_x,fantasy_points_ppr_x,games_x,display_name,football_name_x,suffix_x,esb_id_x,nfl_id_x,pfr_id_y_x,pff_id_x,otc_id_x,espn_id_x,smart_id_x,birth_date_x,position_group_x,ngs_position_group_x,ngs_position_x,height_x,weight_x,headshot_x,college_name_x,college_conference_x,rookie_season_x,last_season_x,latest_team_x,status_x,ngs_status_x,ngs_status_short_description_x,years_of_experience_x,pff_position_x,pff_status_x,draft_round_x,draft_pick_x,draft_team_x,rookie_x,player_y,pfr_id_x_y,tm_y,pos_y,tgt,yds_y,td_y,x1d_y,ybc_y,ybc_r,yac_y,yac_r,adot,brk_tkl_y,rec_br,drop,drop_percent,int,rat,player_position,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,dom,w8dom,yptmpa,ppr_sh,common_first_name,short_name,rookie_y,Unnamed: 0,team,player,position,offense_snaps,team_snaps,merge_year,AVG,adp_percentile,adp_percentile_pos,POS_group,FantPos,Player_fixed,expected_ppr_pg_prev,expected_ppr_pg_curr_hist,Games_G,Fantasy_PPR
1267.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0029429,1.0,0.0,-12.4535552682064,0.0,30.200000000000003,46.2,7.0,Bryce Brown,Bryce,,BRO279039,38759.0,BrowBr02,7213.0,728.0,15092.0,32004252-4f27-9039-f54b-8c9729af0593,1991-05-14,RB,,,72.0,220.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sf0mz0q1kzqu2v3lmmsa",Kansas State; Tennessee,Big Twelve Conference,2012.0,2015.0,SEA,ACT,ACT,Inactive,4.0,HB,,7.0,229.0,PHI,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,42.0,2.9503245926365267,0.0,25.616351128546253,0.712167469326912,0.197302655246345,1.2063630626628097,0.099601593625498,0.0240963855421686,0.2004530011325028,0.1686794988719819,0.1084411583487369,0.0,0.1025641025641025,0.0542205791743684,0.0867529266789895,0.701195219123506,0.0828967200172252,Bryce,,0.0,644.0,BUF,Bryce Brown,RB,118.0,1058.0,2015.0,253.0,0.4065656565656566,0.3508771929824561,RB,RB,Bryce Brown,,,3,13.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.8,0.5732323232323233,0.5350877192982456,RB,RB,Cameron Artis-Payne,,,7,35.1
618.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0027531,2.0,1.0,-16.68378505610183,0.0,134.4,152.4,16.0,Chris Ivory,Chris,,IVO253611,36052.0,IvorCh00,6007.0,1430.0,13587.0,32004956-4f25-3611-afa1-32a4ef3b7338,1988-03-22,RB,RB,RB,72.0,223.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wuhrkffigvt55hcqd4yw",Tiffin; Washington State,Great Lakes Intercollegiate Athletic Conference,2010.0,2018.0,BUF,ACT,ACT,Active,9.0,HB,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-12.0,0.5143609691876918,0.0,15.29281537176274,0.8104061328199259,-0.0454242030273093,1.1838122571107723,0.0542168674698795,-0.002906976744186,0.0796812749003984,0.0789997198094704,0.0383655645664379,0.0625,0.0259740259740259,0.0504327822832189,0.0431924516531503,0.2469879518072289,0.133433729665365,Chris,C.Ivory,0.0,4977.0,NYJ,Chris Ivory,RB,444.0,1057.0,2015.0,67.3,0.8434343434343434,0.7631578947368421,RB,RB,Chris Ivory,,,15,202.7
365.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0026164,1.0,1.0,-13.78327903270855,0.0,91.4,115.4,16.0,Chris Johnson,Chris,,JOH127799,33105.0,JohnCh04,4338.0,,11258.0,32004a4f-4812-7799-60ed-edd2ca00d32e,1985-09-23,RB,RB,RB,71.0,203.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ryf9nc84eovvdbf0cz79",East Carolina,,2008.0,2017.0,ARI,CUT,CUT,,10.0,,,1.0,24.0,TEN,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16.0,-12.63101651094621,0.0,9.546031746031746,1.096648689752138,0.0671500792248987,1.691978090085636,0.0682730923694779,0.003875968992248,0.096945551128818,0.1055104137480153,0.0470991890205864,0.0625,0.0584415584415584,0.0547995945102932,0.0501793512164691,0.3032128514056225,0.1010384015970021,Chris,C.Johnson,0.0,4978.0,NYJ,Chris Johnson,RB,399.0,1057.0,2015.0,225.0,0.4873737373737373,0.4385964912280702,RB,RB,Chris Johnson,,,11,107.2
1272.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0029438,0.0,0.0,-4.418875110394115,0.0,48.8,50.8,9.0,Chris Polk,Chris,,POL125846,39319.0,PolkCh00,7532.0,732.0,14889.0,3200504f-4c12-5846-ad6b-65b0468a91ae,1989-12-16,RB,,,71.0,222.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yuwqhwdnbrd2ie34zxz8",Washington,Pacific Twelve Conference,2012.0,2015.0,HOU,ACT,ACT,Active,4.0,HB,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.7049999986775219,0.0,-5.5,0.0685364541296744,0.0059240472913091,0.1069515142984281,0.0084507042253521,0.0006343165239454,0.0162790697674418,0.0131835095571845,0.0056980056980056,0.0,0.0078125,0.0028490028490028,0.0045584045584045,0.0450704225352112,0.0536986533054269,Chris,,0.0,5317.0,PHI,Chris Polk,RB,97.0,1159.0,2015.0,228.7,0.4747474747474747,0.4210526315789473,RB,RB,Chris Polk,,,15,72.3
1703.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0030432,1.0,0.0,2.164749767718604,0.0,18.700000000000003,19.700000000000003,10.0,Christine Michael,Christine,,MIC066214,40010.0,MichCh00,7843.0,2430.0,15855.0,32004d49-4306-6214-d90e-b7836060961d,1990-11-09,RB,RB,RB,70.0,220.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qlysbozgkexeoohnqrvz",Texas A&M,,2013.0,2018.0,IND,CUT,CUT,,6.0,HB,,2.0,62.0,SEA,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9.0,0.531915633007884,0.0,-2.0,0.0889328063241106,0.0026686999618757,0.135267299459479,0.0068493150684931,0.0036348949919224,0.0152542372881355,0.0131818885962776,0.0052493438320209,0.0,0.0,0.0026246719160104,0.0041994750656167,0.0410958904109589,0.0228554191707079,Christine,C.Michael,0.0,5783.0,SEA,Christine Michael,RB,73.0,1055.0,2015.0,209.3,0.5277777777777778,0.5,RB,RB,Christine Michael,,,8,28.9
1465.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0029854,0.0,0.0,6.1214363827606775,0.0,177.3,211.3,14.0,C.J. Anderson,C.J.,,AND163330,40311.0,AndeC.00,8101.0,2471.0,16040.0,3200414e-4416-3330-3837-6f82fc6855cf,1991-02-10,RB,RB,RB,68.0,225.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jqqdxuowpdgl06zy0g0a",California; Laney College,,2013.0,2019.0,DET,CUT,CUT,,7.0,HB,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,82.0,13.846031453867909,0.0,17.20669191919192,1.023982198285604,0.1963478986898716,1.6734168265113158,0.0834914611005692,0.0187685969329365,0.1737786023500309,0.1402520691972031,0.0797440315038149,0.0606060606060606,0.0663265306122449,0.0701750460549377,0.075916437324264,0.6148007590132827,0.1448927533051731,C.J.,C.Anderson,0.0,1926.0,DEN,C.J. Anderson,RB,496.0,1096.0,2015.0,11.5,0.9772727272727272,0.9649122807017544,RB,RB,C.J. Anderson,,,15,141.3
738.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0027861,3.0,1.0,-16.911454752786085,0.0,52.5,71.5,9.0,C.J. Spiller,C.J.,Jr.,SPI347627,35448.0,SpilC.00,5534.0,220.0,13203.0,32005350-4934-7627-693d-e256bdb15bf6,1987-08-05,RB,,,71.0,200.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jqbnrdpq9c2nbchzntxt",Clemson,,2010.0,2017.0,KC,ACT,UFA,,8.0,HB,,1.0,9.0,BUF,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-58.0,3.636755069368519,0.0,-10.29313725490196,0.6338341575991485,-0.2093484170984731,0.8042073444297916,0.0670731707317073,-0.0238683127572016,0.1557788944723618,0.0815151058917996,0.0559785042543663,0.0714285714285714,0.0555555555555555,0.0637035378414688,0.0590685176892073,0.3810975609756097,0.0956240303857058,C.J.,C.Spiller,0.0,645.0,BUF,C.J. Spiller,RB,186.0,1058.0,2015.0,56.3,0.8686868686868687,0.7982456140350878,RB,RB,C.J. Spiller,,,13,81.1
1876.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0030578,0.0,0.0,4.683483341825195,0.0,62.1,95.1,16.0,Cordarrelle Patterson,Cordarrelle,,PAT387075,39975.0,PattCo00,7810.0,2210.0,15807.0,32005041-5438-7075-4e25-a1072ce2f5ac,1991-03-17,RB,,,74.0,220.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jktdrwmujfuqp94csnav",Tennessee; Hutchinson CC,Southeastern Conference,2013.0,2024.0,PIT,ACT,CUT,Active,12.0,HB,A,1.0,29.0,MIN,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,651.0,-20.7189023663922,0.0,12.123625838264164,1.9927203218666636,2.4931509421054576,4.734286142273815,0.1295938104448742,0.1651027136697945,0.0866013071895424,0.3264728866031471,0.1076836791923724,0.0555555555555555,0.1169590643274853,0.0816196173739639,0.097258054465009,0.7427466150870407,0.0770889400473395,Cordarrelle,C.Patterson,0.0,,,,,,,2015.0,226.7,0.4797979797979798,0.4298245614035088,RB,WR,Cordarrelle Patterson,,,16,14.5
1315.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0029588,1.0,1.0,-6.814987533729605,0.0,54.400000000000006,75.4,11.0,Dan Herron,Dan,,HER657540,38721.0,HerrDa00,7179.0,172.0,15041.0,32004845-5265-7540-558e-cbb0a1cca7b2,1989-03-21,RB,QB,QB,70.0,212.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vdxm5ggdcokhzn1yfnza",Ohio State,Big Ten Conference,2012.0,2015.0,IND,ACT,CUT,Active,3.0,HB,,6.0,191.0,CIN,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-4.0,-0.5974584039358888,0.0,-17.936666666666667,0.6814669707219652,-0.005579282615384,1.018294958252179,0.0588235294117647,-0.0010162601626016,0.1121441022661243,0.0874222859875657,0.0489391796322489,0.0,0.0421686746987951,0.0244695898161244,0.0391513437057991,0.3914027149321267,0.0633134604080947,Dan,D.Herron,0.0,2794.0,IND,Dan Herron,RB,245.0,1128.0,2015.0,215.7,0.5126262626262627,0.4824561403508771,RB,RB,Dan Herron,,,10,21.6
