Unnamed: 0_x,season,player_x,pfr_id_x,tm,age,pos,g,gs,tgt,rec,yds,td,x1d,ybc,ybc_r,yac,yac_r,adot,brk_tkl,rec_br,drop,drop_percent,int,rat,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions_x,targets_x,catch_percentage,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_short_name,player_id,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,fantasy_points,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,dom,w8dom,yptmpa,ppr_sh,display_name,common_first_name,short_name,football_name,suffix,esb_id,nfl_id,pfr_id_y,pff_id,otc_id,espn_id,smart_id,birth_date,position_group,ngs_position_group,ngs_position,height,weight,headshot,college_name,college_conference,rookie_season,last_season,latest_team,status,ngs_status,ngs_status_short_description,years_of_experience,pff_position,pff_status,draft_round,draft_pick,draft_team,rookie,Unnamed: 0_y,team,player_y,position_y,offense_snaps,team_snaps,merge_year,AVG,adp_percentile,POS_group,FantPos,Player_fixed,expected_ppr_pg_prev,expected_ppr_pg_curr_hist,Games_G,Fantasy_PPR
1833.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0030540,0.0,0.0,54.0,1.5955033982172608,0.0,15.145833333333332,0.1802483155424331,0.2094685846416225,0.4170004825627855,3.8,4.0,0.0390625,0.0482573726541554,0.0457516339869281,0.0971996481233244,0.0362941738299904,0.0,0.0377358490566037,0.0181470869149952,0.0290353390639923,0.296875,0.01687428656509,Aaron Dobson,Aaron,A.Dobson,Aaron,,DOB744752,40007.0,DobsAa00,7840.0,2268.0,15834.0,3200444f-4274-4752-fb84-145491357fd6,1991-07-23,WR,WR,WR,75.0,205.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/es1l8zn20xgfxqh8ophi",Marshall,,2013.0,2016.0,DET,CUT,CUT,,4.0,WR,,2.0,59.0,NE,0.0,4299.0,NE,Aaron Dobson,WR,56.0,1098.0,2015.0,328.0,0.2272727272727273,WR,WR,Aaron Dobson,,,8.0,27.1
793.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0027942,2.0,2.0,1548.0,12.956483705365736,0.0,7.929744325549958,3.800946127933716,6.266206209144764,10.087763538301909,136.3,12.0,0.3135135135135135,0.5205110961667787,0.2474389282899921,0.8866791472036932,0.4108129439621152,0.3529411764705882,0.3801652892561983,0.3818770602163517,0.3992385904638099,2.8135135135135134,0.2143319483014219,A.J. Green,A.J.,A.Green,A.J.,,GRE034604,37077.0,GreeA.00,6156.0,156.0,13983.0,32004752-4503-4604-5592-82f254d9dbee,1988-07-31,WR,,,76.0,207.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/guj5a9vnnzqfiljupzuj",Georgia,Southeastern Conference,2011.0,2022.0,ARI,ACT,U01,R/UFA,12.0,WR,A,1.0,4.0,CIN,0.0,1298.0,CIN,A.J. Green,WR,649.0,1054.0,2015.0,18.0,0.9621212121212122,WR,WR,A.J. Green,,,16.0,273.7
1157.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0029137,0.0,0.0,1592.0,49.58111960267687,0.0,17.18702044141239,3.788064387501005,5.486075243939274,9.522349252009,176.6,16.0,0.238095238095238,0.3558337058560572,0.2156409069875058,0.6418098218277029,0.2807930607187113,0.3333333333333333,0.3092783505154639,0.3070631970260223,0.2913011152416357,1.8604269293924467,0.1843551797040169,Alshon Jeffery,Alshon,A.Jeffery,Alshon,,JEF498860,38575.0,JeffAl00,7048.0,101.0,14912.0,32004a45-4649-8860-b9ad-0608f64c795e,1990-02-14,WR,WR,WR,75.0,218.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qrbsgwhzlsmwgkdfjryh",South Carolina,Southeastern Conference,2012.0,2020.0,PHI,ACT,UFA,Active,9.0,WR,,2.0,45.0,CHI,0.0,1079.0,CHI,Alshon Jeffery,WR,957.0,1042.0,2015.0,24.3,0.946969696969697,WR,WR,Alshon Jeffery,,,9.0,158.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,45.0,0.9090909090909092,WR,WR,Amari Cooper,,,16.0,212.7
1036.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0028263,0.0,0.0,1380.0,11.902435663307484,0.0,7.93727476783569,2.546389165432493,4.340054724944874,6.857622055610152,93.3,15.0,0.1641541038525963,0.2890052356020942,0.1312925170068027,0.4774353442605699,0.2096822995461422,0.2,0.1927710843373494,0.2048411497730711,0.2077458396369138,1.1608040201005023,0.1264875586007933,Andre Holmes,Andre,A.Holmes,Andre,,HOL497389,37763.0,HolmAn00,6489.0,1199.0,14403.0,3200484f-4c49-7389-b137-2b06c67d27e3,1988-06-16,WR,WR,WR,76.0,210.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ujb4sism9jdte3o8ofve",Hillsdale,Great Lakes Intercollegiate Athletic Conference,2011.0,2018.0,DEN,RES,RES,Active,7.0,WR,,,,,0.0,5210.0,OAK,Andre Holmes,WR,718.0,1024.0,2015.0,340.5,0.202020202020202,WR,WR,Andre Holmes,,,16.0,58.1
49.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0022044,3.0,3.0,1358.0,-3.757123900815824,0.0,12.238325414885376,4.92302741655414,5.68531249444853,11.36425987094518,105.6,15.0,0.3195652173913043,0.3659390999730531,0.2595063375583722,0.772099106065399,0.2833787465940054,0.1363636363636363,0.298780487804878,0.2098711914788209,0.2539757245479316,2.034782608695652,0.1581979050812569,Andre Johnson,Andre,,Andre,,JOH056462,28039.0,JohnAn02,1319.0,1637.0,4461.0,32004a4f-4805-6462-c917-26ab3c7c4ad5,1981-07-11,WR,WR,WR,75.0,229.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iavrftkbpw4bekzl7zfv",Miami,Atlantic Coast Conference,2003.0,2016.0,TEN,NWT,ACT,Active,14.0,WR,,1.0,3.0,HOU,0.0,2564.0,HOU,Andre Johnson,WR,927.0,1101.0,2015.0,44.3,0.9116161616161615,WR,WR,Andre Johnson,,,16.0,115.3
672.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0027691,1.0,1.0,733.0,-16.05131235066051,0.0,11.315926370837254,2.180581189476168,2.8679300500921343,5.278422819278745,57.400000000000006,16.0,0.1334552102376599,0.1735732891309495,0.081399921352733,0.3390414466612496,0.101546738399462,0.1111111111111111,0.1505376344086021,0.1063289247552865,0.1034596129417918,0.8281535648994516,0.068193101836979,Andre Roberts,Andre,A.Roberts,Andre,,ROB102317,35527.0,RobeAn00,5612.0,378.0,13226.0,3200524f-4210-2317-b087-af0f9a8937e1,1988-01-09,WR,,,71.0,195.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hjoyjewh7knoafxt4k93",The Citadel,Southern Conference,2010.0,2022.0,CAR,ACT,U01,R/UFA,13.0,WR,A,3.0,88.0,ARI,0.0,6710.0,WAS,Andre Roberts,WR,696.0,1028.0,2015.0,420.0,0.0353535353535353,WR,WR,Andre Roberts,,,9.0,30.5
777.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0027918,0.0,0.0,940.0,16.37152534473235,0.0,15.551619143460044,3.5323843983169665,2.967596980312443,7.37589448369416,95.9,15.0,0.2338204592901878,0.1969823973176865,0.2684745762711864,0.508316606789431,0.2367816091954023,0.1666666666666666,0.2619047619047619,0.2017241379310345,0.2227586206896551,1.720250521920668,0.1493421052631579,Andrew Hawkins,Andrew,,,,HAW100447,34226.0,HawkAn00,6125.0,327.0,13958.0,32004841-5710-0447-339c-d725158e66c1,1986-03-10,WR,,,67.0,180.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u8pdn7pvsmizedc80gto",Toledo,,2011.0,2016.0,CLE,ACT,,,6.0,WR,,,,,0.0,1498.0,CLE,Andrew Hawkins,WR,649.0,1042.0,2015.0,280.0,0.3409090909090909,WR,WR,Andrew Hawkins,,,8.0,54.6
52.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0022084,0.0,0.0,1270.0,54.70826144962791,0.0,15.35812557453314,4.420200435536682,4.295915668770663,9.637441621444486,136.60000000000002,16.0,0.2689938398357289,0.2681021743719654,0.2871500358937545,0.6179724992511657,0.3117111828588201,0.25,0.3393939393939394,0.2808555914294101,0.299368946287056,2.1806981519507187,0.1823042056152352,Anquan Boldin,Anquan,,Anquan,,BOL283010,28091.0,BoldAn00,1369.0,1360.0,4512.0,3200424f-4c28-3010-ceb9-7a5e123e35c7,1980-10-03,WR,WR,SLOT_WR,73.0,220.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ajabgwxbliupgkwjbnut",Florida State,,2003.0,2016.0,DET,ACT,CUT,,14.0,WR,,2.0,54.0,ARI,0.0,6001.0,SF,Anquan Boldin,WR,953.0,1050.0,2015.0,102.5,0.7727272727272727,WR,WR,Anquan Boldin,,,14.0,169.9
715.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0027793,1.0,1.0,1823.0,87.85722974935535,1.0,17.047271507886926,4.915917156616418,5.724747588978284,11.381199047209424,259.9,16.0,0.2957516339869281,0.348565965583174,0.2629272567922874,0.7224802234469314,0.3398038823293976,0.3939393939393939,0.3497942386831276,0.3668716381343957,0.3506309846513969,2.7745098039215685,0.2336605823189415,Antonio Brown,Antonio,A.Brown,Antonio,,BRO000001,35634.0,BrowAn04,5718.0,1579.0,13934.0,32004252-4f00-0001-4ac0-67a98b776d89,1988-07-10,WR,WR,WR,70.0,185.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ecxsx9t7bfg42bgfwj3v",Central Michigan,Mid-American Conference,2010.0,2021.0,TB,CUT,CUT,Waivers/No Rec.,11.0,WR,,6.0,195.0,PIT,0.0,5524.0,PIT,Antonio Brown,WR,1061.0,1105.0,2015.0,3.8,0.9949494949494948,WR,WR,Antonio Brown,,,16.0,388.2
