,Unnamed: 0_x,season,player_x,pfr_id_x,tm,age,pos,g,gs,tgt,rec,yds,td,x1d,ybc,ybc_r,yac,yac_r,adot,brk_tkl,rec_br,drop,drop_percent,int,rat,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,catch_percentage,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_short_name,player_id,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,dom,w8dom,yptmpa,ppr_sh,display_name,common_first_name,short_name,football_name,suffix,esb_id,nfl_id,pfr_id_y,pff_id,otc_id,espn_id,smart_id,birth_date,position_group,ngs_position_group,ngs_position,height,weight,headshot,college_name,college_conference,rookie_season,last_season,latest_team,status,ngs_status,ngs_status_short_description,years_of_experience,pff_status,draft_round,draft_pick,draft_team,rookie,Unnamed: 0_y,team,player_y,position_y,offense_snaps,team_snaps,merge_year,AVG,adp_percentile,adp_percentile_pos,POS_group,FantPos,Player_fixed,expected_ppr_pg_prev,expected_ppr_pg_curr_hist,Games_G,Fantasy_PPR,ppg_ppr,per_game_perf_rel_expectations,perf_class
77,1091.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0028903,0.0,0.0,175.0,12.79579301297781,0.0,18.35807081807081,1.0060394468903149,0.7521438642111481,36.6,55.6,10.0,0.0924092409240924,0.0713703099510603,0.0924528301886792,0.1957101093469869,0.0901162790697674,0.3333333333333333,0.1111111111111111,0.2117248062015503,0.1387596899224806,0.6138613861386139,0.0827307085676874,Garrett Celek,Garrett,G.Celek,Garrett,,CEL270111,38847.0,CeleGa00,7274.0,70.0,15204.0,32004345-4c27-0111-e9b2-e1aaf3f43af4,1988-05-29,TE,,,77.0,252.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hin5nyuakhpbngjhepty",Michigan State,,2012.0,2019.0,SF,RES,UFA,,8.0,,,,,0.0,6029.0,SF,Garrett Celek,TE,399.0,1009.0,2016.0,418.0,0.2054507337526205,0.3513513513513513,TE,TE,Garrett Celek,,2.7431247353226818,16.0,80.0,3.475,0.7318752646773183,neutral
79,420.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0026281,0.0,0.0,1201.0,42.699113284987725,0.0,22.423249023297487,3.227887758988941,3.953634969846327,158.3,237.3,16.0,0.2052545155993431,0.2465612810511188,0.1855828220858895,0.5051307982399099,0.2509624639076034,0.45,0.2708333333333333,0.3504812319538017,0.2907699711260827,1.7126436781609196,0.1831385926188896,Gary Barnidge,Gary,,,,BAR521746,33222.0,BarnGa01,4455.0,1288.0,11364.0,32004241-5252-1746-fac5-fd380601e9a8,1985-09-22,TE,,,78.0,250.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qhfzxti66ga02dok4etx",Louisville,,2008.0,2016.0,CLE,ACT,,,9.0,,5.0,141.0,CAR,0.0,1526.0,CLE,Gary Barnidge,TE,939.0,1076.0,2016.0,84.8,0.8511530398322851,0.8918918918918919,TE,TE,Gary Barnidge,2.7110578716868283,11.100167677496714,16.0,130.2,14.83125,3.731082322503287,over
81,284.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0025418,1.0,1.0,1292.0,43.512685490852434,0.0,14.341908978549949,3.9631623602332233,4.0384223790799165,150.4,227.4,16.0,0.24750499001996,0.2494208494208494,0.2302543507362784,0.5707941645666197,0.2850503485670023,0.2,0.2639593908629442,0.2425251742835011,0.2680402788536019,2.203592814371257,0.1519626842731318,Greg Olsen,Greg,G.Olsen,Greg,,OLS094822,32224.0,OlseGr00,3647.0,1164.0,10475.0,32004f4c-5309-4822-46ea-83c77b58b18c,1985-03-11,TE,TE,SLOT_WR,77.0,255.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jevf1bubmrv2vvmiwq3r",Miami; Notre Dame,Atlantic Coast Conference,2007.0,2020.0,SEA,ACT,ACT,Active,14.0,,1.0,31.0,CHI,0.0,889.0,CAR,Greg Olsen,TE,1057.0,1077.0,2016.0,44.5,0.9224318658280922,0.972972972972973,TE,TE,Greg Olsen,12.43462867992527,12.774443045265818,16.0,207.3,14.2125,1.4380569547341828,neutral
85,417.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0026267,0.0,0.0,640.0,15.26914700039116,0.0,14.63170944268527,2.0254168796569294,2.038593908047515,71.7,130.7,15.0,0.1363636363636363,0.1374865735767991,0.1150910158543746,0.3145347134068939,0.1511734928670041,0.05,0.1409090909090909,0.100586746433502,0.1309387942936033,1.106060606060606,0.0969196316015839,Jacob Tamme,Jacob,,,,TAM511848,33208.0,TammJa00,4441.0,22.0,11373.0,32005441-4d51-1848-2775-b913bb227857,1985-03-15,TE,,,75.0,230.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kfyqh9qmtwufzixwuoo2",Kentucky,,2008.0,2016.0,ATL,RES,,,9.0,,4.0,127.0,IND,0.0,244.0,ATL,Jacob Tamme,TE,771.0,1116.0,2016.0,274.3,0.490566037735849,0.5405405405405406,TE,TE,Jacob Tamme,4.384524405808117,4.422597759879229,8.0,61.0,16.3375,11.91490224012077,over
86,560.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0027061,2.0,1.0,636.0,-18.751904530695096,1.0,12.656594245516755,2.682818212375838,2.835374786091565,48.1,87.1,16.0,0.1585623678646934,0.1671045717288491,0.1277955271565495,0.3715272091801195,0.1641078130330945,0.0,0.1507936507936507,0.0820539065165472,0.1312862504264756,1.0169133192389006,0.0825639372855328,Jared Cook,Jared,J.Cook,Jared,,COO152641,34540.0,CookJa02,5012.0,65.0,12537.0,3200434f-4f15-2641-bb32-32c02af1d6b5,1987-04-07,TE,WR,SLOT_WR,77.0,250.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cthoenebptadlu4g928v",South Carolina,Southeastern Conference,2009.0,2021.0,LAC,ACT,ACT,Active,13.0,,3.0,89.0,TEN,0.0,6255.0,STL,Jared Cook,TE,672.0,947.0,2016.0,141.0,0.7547169811320755,0.7702702702702703,TE,TE,Jared Cook,5.139599754096316,8.973101581686251,10.0,71.7,8.709999999999999,-0.26310158168625186,neutral
87,57.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0022127,1.0,1.0,727.0,-2.552544341866171,0.0,15.39585290869259,3.27505029764093,3.08732647866337,87.30000000000001,164.3,16.0,0.1969696969696969,0.1793733037256353,0.1300169587337478,0.4389531884350537,0.1939080772368779,0.1875,0.2057142857142857,0.1907040386184389,0.1926264617895023,1.3503787878787878,0.1373998561608322,Jason Witten,Jason,J.Witten,Jason,,WIT559021,28103.0,WittJa00,1384.0,633.0,4527.0,32005749-5455-9021-9f23-668d83c1b782,1982-05-06,TE,TE,TE,78.0,263.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r7uafhtwuexuaty0nhsc",Tennessee,Southeastern Conference,2003.0,2020.0,LV,ACT,ACT,Active,17.0,,3.0,69.0,DAL,0.0,1750.0,DAL,Jason Witten,TE,1020.0,1026.0,2016.0,136.0,0.7610062893081762,0.7972972972972973,TE,TE,Jason Witten,10.758751417238132,9.460817450941663,16.0,152.3,10.26875,0.8079325490583376,neutral
92,683.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0027696,0.0,0.0,676.0,25.523511100469445,0.0,10.5911118599875,2.6277905916467734,2.702579563485708,72.5,120.5,11.0,0.2276923076923077,0.2454611474219317,0.1777059773828756,0.537907379476007,0.2221814175541682,0.1111111111111111,0.2396694214876033,0.1666462643326396,0.1999673562655568,1.8615384615384616,0.1234605848240814,Jimmy Graham,Jimmy,J.Graham,Jimmy,,GRA207087,35534.0,GrahJi00,5619.0,1503.0,13232.0,32004752-4120-7087-8983-64184106d580,1986-11-24,TE,TE,TE,79.0,265.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h7xs06oj6g03mippwtse",Miami,Atlantic Coast Conference,2010.0,2023.0,NO,ACT,ACT,Active,13.0,A,3.0,95.0,NO,0.0,5813.0,SEA,Jimmy Graham,TE,569.0,1049.0,2016.0,129.5,0.7714884696016772,0.8108108108108107,TE,TE,Jimmy Graham,13.578670376571782,9.844617229027854,16.0,189.3,7.53125,-2.313367229027854,under
93,903.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0028040,1.0,0.0,730.0,-5.980797647831983,0.0,11.46845126202744,2.011802015623395,2.360760779257451,56.6,91.6,16.0,0.119047619047619,0.1416375630578191,0.0437100213219616,0.2918814790176839,0.0912313873788702,0.125,0.1082474226804123,0.1081156936894351,0.0979851099030962,0.6564625850340136,0.0659495730557115,Jordan Cameron,Jordan,,Jordan,,CAM107841,37177.0,CameJo00,6254.0,288.0,14189.0,32004341-4d10-7841-2e65-1f97e75f43f7,1988-08-07,TE,,,77.0,265.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oyhmlsxyzwbznmeqnf9i",USC; Ventura; BYU,Pacific Twelve Conference,2011.0,2016.0,MIA,RES,ACT,Active,6.0,,4.0,102.0,CLE,0.0,3905.0,MIA,Jordan Cameron,TE,743.0,1025.0,2016.0,203.0,0.6247379454926625,0.6621621621621622,TE,TE,Jordan Cameron,10.959654122010534,7.750042795851727,3.0,20.0,30.53333333333333,22.783290537481605,over
94,2227.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0031299,2.0,1.0,1063.0,30.926548245772004,0.0,16.110991633584074,3.425669210142755,4.094824907745907,145.7,230.7,16.0,0.2054574638844301,0.2504122497055359,0.1835920177383592,0.5085159955910741,0.2296705828150196,0.3478260869565217,0.2279792746113989,0.2887483348857707,0.25330168364332,1.6003210272873194,0.1576853674540682,Jordan Matthews,Jordan,J.Matthews,Jordan,,MAT569663,41271.0,MattJo00,8677.0,2981.0,16763.0,32004d41-5456-9663-2598-657f4f0af257,1992-07-16,TE,,,75.0,212.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b9rddikwsnwmfh9girgn",Vanderbilt,Southeastern Conference,2014.0,2024.0,CAR,DEV,CUT,Active,8.0,A,2.0,42.0,PHI,0.0,,,,,,,2016.0,60.8,0.8951781970649895,0.945945945945946,TE,WR,Jordan Matthews,16.1897433696008,13.774976078529118,14.0,171.4,16.478571428571428,2.7035953500423098,over
95,1750.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0030472,3.0,2.0,752.0,54.52404345573174,0.0,19.2570894079465,3.363022624421488,2.6596737578366723,157.2,244.2,14.0,0.2379958246346555,0.1945162959130884,0.2669709070165431,0.5126067736824541,0.2454240783707141,0.3928571428571428,0.2950819672131147,0.3191406106139284,0.2749106912679998,1.9874739039665967,0.1810015120519434,Jordan Reed,Jordan,J.Reed,Jordan,,REE302847,40033.0,ReedJo02,7866.0,2454.0,15860.0,32005245-4530-2847-ba4d-b3c01fedf34c,1990-07-03,TE,TE,SLOT_WR,74.0,242.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jur0qgejd3lzv8flmxcq",Florida,Southeastern Conference,2013.0,2020.0,SF,ACT,ACT,Active,8.0,,3.0,85.0,WAS,0.0,6735.0,WAS,Jordan Reed,TE,702.0,1051.0,2016.0,33.5,0.9433962264150944,0.9864864864864864,TE,TE,Jordan Reed,8.425136170070198,13.397436048390157,12.0,168.6,20.349999999999998,6.952563951609841,over
