,Unnamed: 0_x,season,player_x,pfr_id_x,tm,age,pos,g,gs,tgt,rec,yds,td,x1d,ybc,ybc_r,yac,yac_r,adot,brk_tkl,rec_br,drop,drop_percent,int,rat,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,catch_percentage,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_short_name,player_id,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,dom,w8dom,yptmpa,ppr_sh,display_name,common_first_name,short_name,football_name,suffix,esb_id,nfl_id,pfr_id_y,pff_id,otc_id,espn_id,smart_id,birth_date,position_group,ngs_position_group,ngs_position,height,weight,headshot,college_name,college_conference,rookie_season,last_season,latest_team,status,ngs_status,ngs_status_short_description,years_of_experience,pff_status,draft_round,draft_pick,draft_team,rookie,Unnamed: 0_y,team,player_y,position_y,offense_snaps,team_snaps,merge_year,AVG,adp_percentile,adp_percentile_pos,POS_group,FantPos,Player_fixed,expected_ppr_pg_prev,expected_ppr_pg_curr_hist,Games_G,Fantasy_PPR,ppg_ppr,per_game_perf_rel_expectations,perf_class
191,1093.0,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0028903,0.0,0.0,273.0,11.809362625548316,0.0,14.495403583242371,0.9457762501458568,0.996988058655937,57.6,78.6,13.0,0.0669371196754563,0.0698209718670076,0.1108961960025789,0.1562624570067907,0.0942232192933258,0.3076923076923077,0.0892857142857142,0.2009577634928168,0.1369170369731222,0.6815415821501014,0.0716669402046063,Garrett Celek,Garrett,G.Celek,Garrett,,CEL270111,38847.0,CeleGa00,7274.0,70.0,15204.0,32004345-4c27-0111-e9b2-e1aaf3f43af4,1988-05-29,TE,,,77.0,252.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hin5nyuakhpbngjhepty",Michigan State,,2012.0,2019.0,SF,RES,UFA,,8.0,,,,,0.0,6067.0,SF,Garrett Celek,TE,560.0,1090.0,2018.0,188.0,0.4957746478873239,0.6724137931034483,TE,TE,Garrett Celek,,7.290613745189719,15.0,26.0,5.239999999999999,-2.05061374518972,under
199,562.0,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0027061,1.0,1.0,769.0,28.480785765326853,0.0,15.61074440835962,2.6105208047883623,2.609054094816976,78.80000000000001,132.8,16.0,0.1541218637992831,0.1651987110633727,0.1429418742586002,0.3633417645496229,0.1829300717894177,0.0869565217391304,0.196629213483146,0.134943296764274,0.1637353617793602,1.232974910394265,0.1025530140392605,Jared Cook,Jared,J.Cook,Jared,,COO152641,34540.0,CookJa02,5012.0,65.0,12537.0,3200434f-4f15-2641-bb32-32c02af1d6b5,1987-04-07,TE,WR,SLOT_WR,77.0,250.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cthoenebptadlu4g928v",South Carolina,Southeastern Conference,2009.0,2021.0,LAC,ACT,ACT,Active,13.0,,3.0,89.0,TEN,0.0,5268.0,OAK,Jared Cook,TE,791.0,1007.0,2018.0,173.8,0.5464788732394366,0.7241379310344828,TE,TE,Jared Cook,6.341783560044576,7.63561747927716,16.0,193.6,8.3,0.6643825207228407,neutral
201,2830.0,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0032135,0.0,0.0,386.0,11.939577017391128,0.0,17.555089308161914,1.5769176611918547,1.2000072827268833,55.2,98.2,14.0,0.1164510166358595,0.0825315373102416,0.098816263510036,0.2407017548019825,0.0924912978617603,0.1153846153846153,0.101010101010101,0.1039379566231878,0.0970699613663313,0.6876155268022182,0.0723026402980459,Jesse James,Jesse,J.James,Jesse,,JAM239797,42503.0,JameJe00,9593.0,4008.0,2979590.0,32004a41-4d23-9797-c82d-bde8548b3188,1994-06-04,TE,,,79.0,261.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rgk9zqdx9lmbcblem3xn",Penn State,Big Ten Conference,2015.0,2023.0,LV,CUT,CUT,PS; Vet,9.0,P,5.0,160.0,PIT,0.0,5580.0,PIT,Jesse James,TE,906.0,1099.0,2018.0,267.0,0.2901408450704225,0.4310344827586206,TE,TE,Jesse James,6.434809912359774,4.847615822956962,16.0,84.3,6.1375,1.2898841770430378,neutral
202,685.0,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0027696,0.0,0.0,728.0,0.623209089237454,1.0,12.32872628738286,2.8654783823518053,2.254433408275,114.0,171.0,16.0,0.1729729729729729,0.1338481338481338,0.131957473420888,0.3665379665379665,0.1306861020356873,0.2941176470588235,0.174863387978142,0.2124018745472554,0.1633724110403146,0.9369369369369368,0.1217983418331006,Jimmy Graham,Jimmy,J.Graham,Jimmy,,GRA207087,35534.0,GrahJi00,5619.0,1503.0,13232.0,32004752-4120-7087-8983-64184106d580,1986-11-24,TE,TE,TE,79.0,265.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h7xs06oj6g03mippwtse",Miami,Atlantic Coast Conference,2010.0,2023.0,NO,ACT,ACT,Active,13.0,A,3.0,95.0,NO,0.0,5855.0,SEA,Jimmy Graham,TE,729.0,1062.0,2018.0,50.2,0.8704225352112676,0.9482758620689656,TE,TE,Jimmy Graham,11.137349790079078,12.171448490685531,16.0,130.6,10.6875,-1.4839484906855311,neutral
204,2229.0,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0031299,1.0,1.0,253.0,13.796687329030789,0.0,10.768706987456987,1.2310745956207416,1.1965161496354004,32.2,57.2,10.0,0.1241379310344827,0.0991379310344827,0.1583652618135377,0.2655172413793103,0.1488126649076517,0.0909090909090909,0.1521739130434782,0.1198608779083713,0.1372319501079395,0.9724137931034482,0.0814582739960125,Jordan Matthews,Jordan,J.Matthews,Jordan,,MAT569663,41271.0,MattJo00,8677.0,2981.0,16763.0,32004d41-5456-9663-2598-657f4f0af257,1992-07-16,TE,,,75.0,212.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b9rddikwsnwmfh9girgn",Vanderbilt,Southeastern Conference,2014.0,2024.0,CAR,DEV,CUT,Active,8.0,A,2.0,42.0,PHI,0.0,,,,,,,2018.0,214.0,0.4253521126760563,0.5344827586206897,TE,WR,Jordan Matthews,8.79597726530221,6.570488876076148,14.0,62.0,4.085714285714286,-2.4847745903618614,under
206,848.0,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0027981,0.0,0.0,600.0,17.34705497229303,0.0,14.17755296665333,2.4432149734642983,2.496814274269245,101.2,158.2,16.0,0.1537001897533206,0.1497753369945082,0.113188479029813,0.3503705542255876,0.1354034105370323,0.32,0.1632653061224489,0.2277017052685161,0.1723227284296258,1.0094876660341556,0.1113488555421042,Kyle Rudolph,Kyle,K.Rudolph,Kyle,,RUD559717,37118.0,RudoKy00,6195.0,1789.0,14054.0,32005255-4455-9717-7e48-fda7c76802aa,1989-11-09,TE,,,78.0,258.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mtvrkfel5750mlevcvtp",Notre Dame,Independent,2011.0,2022.0,TB,ACT,U01,R/UFA,12.0,A,2.0,43.0,MIN,0.0,4161.0,MIN,Kyle Rudolph,TE,922.0,1105.0,2018.0,77.4,0.8084507042253521,0.896551724137931,TE,TE,Kyle Rudolph,9.58191456164824,10.76365903184131,16.0,151.4,9.8875,-0.8761590318413113,neutral
207,1547.0,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0030089,0.0,0.0,155.0,-4.3654288704271,0.0,3.6982284382284383,0.6598876730499943,0.4384622601747238,39.3,54.3,13.0,0.0480349344978165,0.0334195774040534,0.07081038552321,0.0987880636699676,0.0465611685940353,0.1481481481481481,0.054054054054054,0.0973546583710917,0.0668785645048578,0.334061135371179,0.0474509324151912,Luke Willson,Luke,L.Willson,Luke,,WIL747168,40106.0,WillLu00,7940.0,2598.0,16121.0,32005749-4c74-7168-304b-a91f17a28d8a,1990-01-15,TE,,,77.0,255.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a6zcpjyfusebcm8i3w2w",Rice,Conference USA,2013.0,2020.0,SEA,ACT,CUT,Active,8.0,,5.0,158.0,SEA,0.0,5856.0,SEA,Luke Willson,TE,378.0,1062.0,2018.0,266.5,0.2929577464788733,0.4482758620689655,TE,TE,Luke Willson,,4.857353765908667,14.0,21.7,3.8785714285714286,-0.9787823373372384,neutral
208,207.0,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0024243,0.0,0.0,384.0,9.67954983947913,1.0,19.4157995810937,1.5398815997751087,1.5754059956588409,63.8,87.8,16.0,0.0910815939278937,0.0936813857038302,0.0843685300207039,0.2115674994549047,0.0855758880516684,0.238095238095238,0.0932642487046632,0.1618355630734532,0.1160797580603823,0.603415559772296,0.0646329613380053,Marcedes Lewis,Marcedes,M.Lewis,Marcedes,,LEW492053,30842.0,LewiMa00,2973.0,946.0,9614.0,32004c45-5749-2053-af92-a96945af706a,1984-05-19,TE,,,78.0,267.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",UCLA,Pacific Ten Conference,2006.0,2024.0,CHI,ACT,CUT,R/UFA,19.0,A,1.0,28.0,JAX,0.0,3082.0,JAX,Marcedes Lewis,TE,894.0,1103.0,2018.0,315.0,0.152112676056338,0.2758620689655172,TE,TE,Marcedes Lewis,,3.951861244055258,16.0,6.9,5.4875,1.535638755944742,neutral
211,3019.0,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0032394,0.0,0.0,108.0,5.895993468700908,0.0,12.733333333333334,0.4786178027557338,0.3914631080716322,18.4,30.4,8.0,0.0549450549450549,0.0383658969804618,0.0568181818181818,0.1131103000019518,0.0588793922127255,0.0555555555555555,0.0638297872340425,0.0572174738841405,0.0582146248812915,0.4542124542124542,0.0432777176698365,Nick Vannett,Nick,N.Vannett,Nick,,VAN643509,43383.0,VannNi00,10728.0,4807.0,2576399.0,32005641-4e64-3509-b1ce-15322f2faec9,1993-03-06,TE,TE,TE,78.0,257.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/srrlkx2mydsb8gfco6fp",Ohio State,Big Ten Conference,2016.0,2025.0,MIN,ACT,ACT,Active,10.0,A,3.0,94.0,SEA,0.0,5858.0,SEA,Nick Vannett,TE,278.0,1062.0,2018.0,283.3,0.2394366197183098,0.3448275862068966,TE,TE,Nick Vannett,,4.561035796724196,15.0,73.9,2.0266666666666664,-2.53436913005753,under
213,637.0,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0027656,1.0,0.0,1213.0,73.52999508664628,1.0,12.41079328698062,3.034367655124885,3.914356909460936,158.4,227.4,13.0,0.2262931034482758,0.2794930875576037,0.217391304347826,0.5630341252184968,0.2788065843621399,0.2857142857142857,0.2908163265306122,0.2822604350382128,0.2801881246325691,2.336206896551724,0.164458458690118,Rob Gronkowski,Rob,R.Gronkowski,Rob,,GRO135948,35481.0,GronRo00,5567.0,1239.0,13229.0,32004752-4f13-5948-af95-481204a115ed,1989-05-14,TE,TE,TE,78.0,265.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/svpo7chliiymc0r7hegp",Arizona,Pacific Ten Conference,2010.0,2021.0,TB,ACT,ACT,Active,11.0,,2.0,42.0,NE,0.0,4377.0,NE,Rob Gronkowski,TE,903.0,1123.0,2018.0,21.6,0.9464788732394366,1.0,TE,TE,Rob Gronkowski,15.529092838978832,13.859960608720838,13.0,131.2,17.492307692307694,3.632347083586856,over
214,1565.0,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0030108,0.0,0.0,255.0,4.442268536721048,1.0,2.905415427730177,0.8371145532403139,0.7845175870593183,23.8,36.8,6.0,0.1347150259067357,0.1181102362204724,0.1163141993957704,0.2965607278364816,0.0965770171149144,0.0526315789473684,0.0963855421686747,0.0746042980311414,0.0877879294814052,0.8186528497409327,0.0596395695578892,Ryan Griffin,Ryan,R.Griffin,Ryan,,GRI293499,40149.0,GrifRy00,7982.0,2400.0,15887.0,32004752-4929-3499-4553-f2c6b22bb2af,1990-01-11,TE,,,78.0,255.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/izjfxtmk2dhzhrlwpt9g",Connecticut,Big East,2013.0,2022.0,CHI,ACT,U01,R/UFA,10.0,A,,,,0.0,2632.0,HOU,Ryan Griffin,TE,349.0,1091.0,2018.0,270.5,0.2788732394366197,0.4137931034482759,TE,TE,Ryan Griffin,3.161198936393177,4.779450222295035,14.0,54.5,2.6285714285714286,-2.150878793723606,under
215,3391.0,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0033080,1.0,1.0,501.0,-3.677635795428456,0.0,14.462668792781168,1.6268367099018766,1.516319698236282,43.5,76.5,16.0,0.1010452961672473,0.0965690053970701,0.0981067125645439,0.2288231485685272,0.1116765620582414,0.0666666666666666,0.1146496815286624,0.089171614362454,0.1026745829799265,0.6881533101045296,0.0683902805342487,Seth DeValve,Seth,S.DeValve,Seth,,DEV078904,43427.0,DevaSe00,10772.0,4851.0,2566659.0,32004445-5607-8904-cbdc-9c032095baca,1993-01-29,TE,TE,TE,75.0,245.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nrihd72oevgvvbhb8l6g",Princeton,Ivy League,2016.0,2020.0,ARI,ACT,UFA,Active,5.0,,4.0,138.0,CLE,0.0,,,,,,,2018.0,379.0,0.0,0.0,TE,TE,Seth DeValve,4.228538401980497,3.3368787748709243,13.0,18.4,5.884615384615385,2.5477366097444607,over
218,1769.0,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0030506,0.0,0.0,1186.0,52.57365261409284,0.0,15.022746660037477,3.6690087975204606,4.1491611457334505,150.5,233.5,15.0,0.2406311637080868,0.3016276703967446,0.2067209775967413,0.602248881879526,0.2568035625927758,0.3076923076923077,0.2989130434782608,0.2822479351425417,0.2669813116126822,2.0473372781065087,0.1674819607224318,Travis Kelce,Travis,T.Kelce,Travis,,KEL012458,40011.0,KelcTr00,7844.0,2216.0,15847.0,32004b45-4c01-2458-b7b6-3a14cdb414dd,1989-10-05,TE,WR,SLOT_WR,77.0,250.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ebc5j60djpinc9elvlc5",Cincinnati,Big East,2013.0,2025.0,KC,ACT,ACT,Active,13.0,A,3.0,63.0,KC,0.0,3298.0,KC,Travis Kelce,TE,872.0,1027.0,2018.0,28.2,0.9295774647887324,0.9827586206896552,TE,TE,Travis Kelce,13.62596083408734,13.456342906477497,16.0,294.6,14.59375,1.1374070935225031,neutral
221,3427.0,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0033110,0.0,0.0,482.0,1.240443882562091,0.0,10.223059646446742,1.355467133090532,1.7411354579966254,35.5,60.5,14.0,0.0982532751091703,0.1331491712707182,0.0400832899531494,0.25389924968033,0.0807113543091655,0.0384615384615384,0.0705882352941176,0.0595864463853519,0.0722613911396401,0.6441048034934498,0.0465026902382782,Tyler Higbee,Tyler,T.Higbee,Tyler,,HIG033222,43399.0,HigbTy00,10744.0,4823.0,2573401.0,32004849-4703-3222-e4e8-bd596550bfdb,1993-01-01,TE,TE,TE,78.0,255.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/x1d4osiefibd04df6gow",Western Kentucky,Conference USA,2016.0,2025.0,LA,ACT,ACT,Active,10.0,A,4.0,110.0,LA,0.0,3476.0,LA,Tyler Higbee,TE,730.0,997.0,2018.0,329.0,0.1070422535211267,0.2068965517241379,TE,TE,Tyler Higbee,6.238463876080933,3.6866161967389375,16.0,65.2,3.78125,0.09463380326106252,neutral
223,1745.0,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0030470,0.0,0.0,199.0,3.338574210592263,0.0,7.994341158983103,0.7026388888888888,0.7289633745307049,24.8,38.8,9.0,0.0738461538461538,0.0743925233644859,0.072072072072072,0.1702832494608195,0.0746624305003971,0.0769230769230769,0.087719298245614,0.075792753711737,0.0751145597849331,0.5784615384615385,0.0460031775390671,Vance McDonald,Vance,V.McDonald,Vance,,MCD589658,40003.0,McDoVa00,7836.0,2452.0,15853.0,32004d43-4458-9658-1fa3-62884c020db7,1990-06-13,TE,TE,TE,76.0,267.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/apafzol1dcqu56cqotv9",Rice,Conference USA,2013.0,2020.0,PIT,ACT,ACT,Active,8.0,,2.0,55.0,SF,0.0,5588.0,PIT,Vance McDonald,TE,271.0,1099.0,2018.0,219.3,0.4169014084507042,0.5172413793103448,TE,TE,Vance McDonald,5.570858999098676,6.2587911116092085,15.0,133.0,2.5866666666666664,-3.672124444942542,under
224,193.0,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0024221,2.0,2.0,746.0,10.620744476965948,0.0,14.939461181002684,2.1144413644413644,2.7452970798538026,78.8,121.8,16.0,0.1277777777777777,0.1796291837226101,0.1429906542056074,0.3353700136447548,0.1583190813584168,0.1111111111111111,0.1204188481675392,0.1347150962347639,0.1488774873089556,1.2,0.090167453842851,Vernon Davis,Vernon,V.Davis,Vernon,,DAV785142,30820.0,DaviVe00,2951.0,99.0,9592.0,32004441-5678-5142-320c-d7ad3d7c83da,1984-01-31,TE,TE,TE,75.0,248.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/so5ywayfeeu4zeijln5m",Maryland,,2006.0,2019.0,WAS,RES,RES,,14.0,,1.0,6.0,SF,0.0,6779.0,WAS,Vernon Davis,TE,799.0,1012.0,2018.0,262.7,0.3098591549295775,0.4655172413793104,TE,TE,Vernon Davis,5.841673469195676,4.930463808126288,14.0,75.7,8.7,3.769536191873711,over
225,1011.0,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0028142,0.0,0.0,175.0,3.2718951488495804,0.0,12.936943889443889,0.6277739815747764,0.6582329498589878,25.1,39.1,11.0,0.055,0.0507540603248259,0.08,0.1231032482598608,0.0716160479940007,0.0666666666666666,0.0538461538461538,0.0691413573303337,0.0706261717285339,0.4775,0.0443975110142162,Virgil Green,Virgil,V.Green,Virgil,,GRE378950,37279.0,GreeVi00,6356.0,46.0,14085.0,32004752-4537-8950-715b-b122df41fad0,1988-08-03,TE,TE,TE,77.0,255.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ic5ifab8fb39m4e9el3n",Nevada,Western Athletic Conference,2011.0,2020.0,LAC,RES,UFA,R/Injured,10.0,,7.0,204.0,DEN,0.0,1996.0,DEN,Virgil Green,TE,534.0,1093.0,2018.0,288.0,0.2225352112676056,0.3275862068965517,TE,TE,Virgil Green,,4.475324212856886,16.0,46.0,2.44375,-2.0315742128568863,under
226,1519.0,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0030061,1.0,1.0,862.0,27.569929602899208,0.0,13.022393753150656,3.2577895981334013,2.7549288728160746,128.4,202.4,14.0,0.2268041237113402,0.1902030008826125,0.1846504559270516,0.4923685862731003,0.2423529411764705,0.2666666666666666,0.2839506172839506,0.2545098039215686,0.2472156862745098,1.6989690721649484,0.1586331217180029,Zach Ertz,Zach,Z.Ertz,Zach,,ERT800920,39983.0,ErtzZa00,7816.0,112.0,15835.0,32004552-5480-0920-32a6-165b5a77814e,1990-11-10,TE,WR,SLOT_WR,77.0,250.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",Stanford,Pacific Twelve Conference,2013.0,2025.0,WAS,ACT,ACT,Active,13.0,A,2.0,35.0,PHI,0.0,5381.0,PHI,Zach Ertz,TE,776.0,1080.0,2018.0,39.8,0.8985915492957747,0.9655172413793104,TE,TE,Zach Ertz,9.35189985858849,12.767546770886367,16.0,280.3,12.65,-0.11754677088636711,neutral
227,3006.0,2018.0,Austin Hooper,HoopAu00,ATL,24.0,TE,16.0,7.0,88.0,71.0,660.0,4.0,30.0,423.0,6.0,237.0,3.3,6.9,4.0,17.8,4.0,0.045,1.0,108.3,TE,ATL,5.577121212121212,3.239225478765151,6.6877272727272725,11.26358378405276,80.68181818181817,3.2918024981494085,0.2224228539632684,00-0032392,Austin,Hooper,A.Hooper,00-0032392,0.0,0.0,598.0,30.32475431990668,1.0,19.96299921799212,2.283816904134058,1.8112583942585303,92.0,163.0,16.0,0.1426256077795786,0.1134724857685009,0.1104895104895104,0.3047164002841687,0.1333602748029905,0.1111111111111111,0.1260504201680672,0.1222356929570508,0.1289104420646146,1.0696920583468394,0.0971301902083233,Austin Hooper,Austin,A.Hooper,Austin,,HOO570770,43370.0,HoopAu00,10715.0,4794.0,3043275.0,3200484f-4f57-0770-bd7c-1cf59d6025ab,1994-10-29,TE,TE,TE,76.0,254.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gfvav2gybtr174ckovpk",Stanford,Pacific Twelve Conference,2016.0,2025.0,NE,ACT,ACT,Active,10.0,A,3.0,81.0,ATL,0.0,291.0,ATL,Austin Hooper,TE,809.0,1048.0,2019.0,132.3,0.6647727272727273,0.7843137254901961,TE,TE,Austin Hooper,6.004566481226471,9.434147635684209,13.0,191.7,12.538461538461538,3.1043139027773297,over
229,3783.0,2018.0,Blake Jarwin,JarwBl00,DAL,24.0,TE,16.0,4.0,36.0,27.0,307.0,3.0,16.0,197.0,7.3,110.0,4.1,8.3,2.0,13.5,2.0,0.0559999999999999,2.0,104.7,,,,,,,,,,,,,,00-0033658,0.0,0.0,297.0,17.314502067340072,0.0,15.40484081392168,0.989435115208722,1.0764422886125165,48.7,75.7,12.0,0.0884520884520884,0.0967426710097719,0.0763358778625954,0.2100722694859502,0.1026069518716577,0.1666666666666666,0.1126760563380281,0.1346368092691622,0.1154188948306595,0.7542997542997543,0.0736538948023896,Blake Jarwin,Blake,B.Jarwin,Blake,,JAR747520,45532.0,JarwBl00,12320.0,6230.0,2991767.0,32004a41-5274-7520-b0ea-e16acd6b89f4,1994-07-16,TE,TE,TE,77.0,250.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fsn8rvgup22r5e53mu7i",Oklahoma State,Big Twelve Conference,2017.0,2021.0,DAL,ACT,ACT,Active,5.0,,,,,0.0,1795.0,DAL,Blake Jarwin,TE,386.0,1070.0,2019.0,320.0,0.1818181818181817,0.2941176470588235,TE,TE,Blake Jarwin,4.460221470145577,3.735018236839656,16.0,85.5,4.73125,0.9962317631603441,neutral
230,2191.0,2018.0,Cameron Brate,BratCa00,TB,27.0,TE,16.0,2.0,49.0,30.0,289.0,6.0,18.0,238.0,7.9,51.0,1.7,8.3,1.0,30.0,3.0,0.061,2.0,100.3,TE,TB,5.647837837837838,2.868555935120268,8.701428571428572,6.459926396504363,61.224489795918366,2.6567181391248105,-0.5503848057914769,00-0031273,Cameron,Brate,C.Brate,00-0031273,1.0,1.0,405.0,4.931795442803097,0.0,10.879079701660348,1.3091608689971976,1.0795211868725805,62.9,92.9,15.0,0.0827702702702702,0.0640417457305502,0.0316770186335403,0.1753888019898456,0.0583131557707828,0.1875,0.0725806451612903,0.1229065778853914,0.0841505246166263,0.4881756756756756,0.0600579245429391,Cameron Brate,Cameron,C.Brate,Cameron,,BRA663798,42033.0,BratCa00,9207.0,3770.0,17453.0,32004252-4166-3798-c2b3-ef206ba23ba8,1991-07-03,TE,TE,TE,77.0,245.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jhioqec65qy4z7s6w9a6",Harvard,Ivy League,2014.0,2022.0,TB,ACT,ACT,Active,8.0,A,,,,0.0,6348.0,TB,Cameron Brate,TE,534.0,1085.0,2019.0,259.3,0.3210227272727273,0.4313725490196078,TE,TE,Cameron Brate,6.936335190254147,4.855414912481107,16.0,91.1,5.80625,0.9508350875188931,neutral
232,2822.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0032134,0.0,0.0,472.0,16.91587063735652,0.0,17.844826328493653,1.959200034816628,1.7060381562676354,61.900000000000006,104.9,16.0,0.1180811808118081,0.1082817159899059,0.1183252427184466,0.2637471440096369,0.1230036424768842,0.1111111111111111,0.1153846153846153,0.1170573767939976,0.1206251362037296,0.8099630996309963,0.0794179549687325,C.J. Uzomah,C.J.,C.Uzomah,C.J.,,UZO415291,42500.0,UzomC.00,9590.0,4005.0,2574576.0,3200555a-4f41-5291-7c48-f42f95ee20d2,1993-01-14,TE,,,78.0,271.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hnkflpl5pzbfbdvtcv1c",Auburn,Southeastern Conference,2015.0,2024.0,PHI,RSR,CUT,R/UFA,10.0,A,5.0,157.0,CIN,0.0,1369.0,CIN,C.J. Uzomah,TE,839.0,995.0,2019.0,332.0,0.1534090909090909,0.2745098039215686,TE,TE,C.J. Uzomah,,3.542619214632012,16.0,63.2,6.55625,3.0136307853679885,over
233,2554.0,2018.0,Darren Waller,WallDa01,LV,26.0,WR,4.0,0.0,6.0,6.0,75.0,0.0,4.0,19.0,3.2,56.0,9.3,3.2,1.0,6.0,0.0,0.0,0.0,118.7,,,,,,,,,,,,,,00-0031610,0.0,0.0,19.0,5.873984560515964,0.0,19.102564102564106,0.2009761072261072,0.092001095093791,9.6,15.6,3.0,0.0618556701030927,0.0276162790697674,0.2362869198312236,0.1148765284104531,0.1219512195121951,0.0,0.1290322580645161,0.0609756097560975,0.0975609756097561,0.7731958762886598,0.0791878172588832,Darren Waller,Darren,D.Waller,Darren,,WAL509040,42547.0,WallDa01,9637.0,4052.0,2576925.0,32005741-4c50-9040-67d6-042691fb535a,1992-09-13,TE,,,78.0,238.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/loyehiyzcu2lexjk7plq",Georgia Tech,Atlantic Coast Conference,2015.0,2025.0,MIA,ACT,ACT,Inactive,8.0,A,6.0,204.0,BAL,0.0,5278.0,OAK,Darren Waller,TE,42.0,1036.0,2019.0,202.7,0.4914772727272727,0.5882352941176471,TE,TE,Darren Waller,,6.432000414192428,16.0,221.0,0.975,-5.457000414192429,under
234,3916.0,2018.0,David Njoku,NjokDa00,CLE,22.0,TE,16.0,14.0,88.0,56.0,639.0,4.0,27.0,333.0,5.9,306.0,5.5,8.7,6.0,9.3,6.0,0.068,3.0,86.3,TE,CLE,5.555806451612903,3.0614063144804686,8.52875,14.196998414842223,63.63636363636363,4.247654392403208,1.7914527504539342,00-0033885,David,Njoku,D.Njoku,00-0033885,0.0,0.0,762.0,3.529473988000994,0.0,15.577834312156051,2.469497960121539,2.2345897667862524,87.9,143.9,15.0,0.1635687732342007,0.1474743564931294,0.17,0.3633326450458047,0.1565792697868169,0.1481481481481481,0.15,0.1523637089674825,0.1548930454590832,1.187732342007435,0.1018948620631054,David Njoku,David,D.Njoku,David,,NJO355964,44841.0,NjokDa00,11784.0,5613.0,3123076.0,32004e4a-4f35-5964-1f03-4dc0b4e0b757,1996-07-10,TE,TE,TE,76.0,246.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gdwtgcfz3mxj6codxdpn",Miami,Atlantic Coast Conference,2017.0,2025.0,CLE,ACT,ACT,Active,9.0,A,1.0,29.0,CLE,0.0,1587.0,CLE,David Njoku,TE,871.0,1081.0,2019.0,102.0,0.7357954545454546,0.8235294117647058,TE,TE,David Njoku,10.266968430436537,9.945125472342369,4.0,15.1,35.975,26.029874527657633,over
