Rk,Player,Tm,FantPos,Age,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Scoring_TD,Scoring_2PM,Scoring_2PP,Fantasy_FantPt,Fantasy_PPR,Fantasy_DKPt,Fantasy_FDPt,Fantasy_VBD,Fantasy_PosRank,Fantasy_OvRank,Player_fixed,player_clean,POS,POS_group,team,year,PPR_rank_year,ppr_percentile_overall,ppr_percentile_pos
11,James Cook*,BUF,RB,25,16,16,0,0,0,0,0,207,1009,4.87,16,38,32,258,8.06,2,1,0,18,,,235,266.7,272.7,250.7,81.0,7,11.0,James Cook,james cook,RB,RB,BUF,2024,28.0,0.9457831325301205,0.9859437751004017
12,Justin Jefferson*+,MIN,WR,25,17,17,1,1,22,0,0,1,3,3.0,0,154,103,1533,14.88,10,1,0,10,,,214,317.5,320.5,266.0,80.0,2,12.0,Justin Jefferson,justin jefferson,WR,WR,MIN,2024,12.0,0.9779116465863453,0.997979797979798
13,Baker Mayfield*,TAM,QB,29,17,17,407,570,4500,41,16,60,378,6.3,3,0,0,0,,0,13,2,3,,1.0,366,365.8,389.8,381.8,79.0,4,13.0,Baker Mayfield,baker mayfield,QB,QB,TAM,2024,5.0,0.9919678714859438,0.993963782696177
14,Jonathan Taylor*,IND,RB,25,14,13,0,0,0,0,0,303,1431,4.72,11,31,18,136,7.56,1,4,1,12,,,227,244.7,251.7,235.7,74.0,8,14.0,Jonathan Taylor,jonathan taylor,RB,RB,IND,2024,40.0,0.9216867469879518,0.9779116465863453
15,George Kittle*,SFO,TE,31,15,15,0,0,0,0,0,0,0,,0,94,78,1106,14.18,8,0,0,8,,,159,236.6,239.6,197.6,70.0,1,15.0,George Kittle,george kittle,TE,TE,SFO,2024,52.0,0.8975903614457832,0.9959595959595959
16,Jayden Daniels*,WAS,QB,24,17,17,331,480,3568,25,9,148,891,6.02,6,0,0,0,,0,5,0,6,1.0,2.0,356,355.8,370.8,364.8,69.0,5,16.0,Jayden Daniels,jayden daniels,QB,QB,WAS,2024,7.0,0.9879518072289156,0.9919517102615694
17,De'Von Achane,MIA,RB,23,17,16,0,0,0,0,0,203,907,4.47,6,87,78,592,7.59,6,1,0,12,,,222,299.9,305.9,260.9,69.0,9,17.0,De'Von Achane,devon achane,RB,RB,MIA,2024,17.0,0.9678714859437751,0.9919678714859438
18,Amon-Ra St. Brown*+,DET,WR,25,17,17,1,1,7,1,0,2,6,3.0,0,141,115,1263,10.98,12,1,1,12,,,201,316.2,320.2,258.7,67.0,3,18.0,Amon-Ra St. Brown,amon-ra st brown,WR,WR,DET,2024,14.0,0.9738955823293173,0.9959595959595959
19,Brian Thomas*,JAX,WR,22,17,16,0,0,0,0,0,6,48,8.0,0,133,87,1282,14.74,10,0,0,10,2.0,,197,284.0,287.0,240.5,63.0,4,19.0,Brian Thomas,brian thomas,WR,WR,JAX,2024,21.0,0.9598393574297188,0.9939393939393939
20,Brock Bowers*+,LVR,TE,22,17,16,0,0,0,0,0,5,13,2.6,0,153,112,1194,10.66,5,0,0,5,,,151,262.7,265.7,206.7,63.0,2,20.0,Brock Bowers,brock bowers,TE,TE,LVR,2024,32.0,0.9377510040160643,1.0
21,James Conner,ARI,RB,29,16,16,0,0,0,0,0,236,1094,4.64,8,55,47,414,8.81,1,4,1,9,2.0,,207,253.8,260.8,230.3,55.0,10,21.0,James Conner,james conner,RB,RB,ARI,2024,36.0,0.929718875502008,0.9799196787148594
22,Joe Mixon*,HOU,RB,28,14,14,0,1,0,0,0,245,1016,4.15,11,52,36,309,8.58,1,0,0,12,,,205,240.5,246.5,222.5,53.0,11,22.0,Joe Mixon,joe mixon,RB,RB,HOU,2024,48.0,0.9056224899598394,0.9678714859437751
23,Terry McLaurin*,WAS,WR,29,17,17,0,0,0,0,0,2,2,1.0,0,117,82,1096,13.37,13,1,1,13,,,186,267.8,271.8,226.8,53.0,5,23.0,Terry McLaurin,terry mclaurin,WR,WR,WAS,2024,26.0,0.9497991967871486,0.9878787878787879
24,Trey McBride*,ARI,TE,25,16,16,0,0,0,0,0,1,2,2.0,1,147,111,1146,10.32,2,0,0,4,,,139,249.8,252.8,194.3,51.0,3,24.0,Trey McBride,trey mcbride,TE,TE,ARI,2024,39.0,0.9236947791164658,0.997979797979798
25,Chase Brown,CIN,RB,24,16,10,0,0,0,0,0,229,990,4.32,7,65,54,360,6.67,4,2,1,11,1.0,,201,255.0,262.0,228.0,49.0,12,25.0,Chase Brown,chase brown,RB,RB,CIN,2024,34.0,0.9337349397590361,0.9819277108433735
26,Drake London,ATL,WR,23,17,17,0,0,0,0,0,1,-3,-3.0,0,158,100,1271,12.71,9,0,0,9,,,181,280.8,283.8,230.8,48.0,6,26.0,Drake London,drake london,WR,WR,ATL,2024,23.0,0.9558232931726908,0.9919191919191919
27,Chuba Hubbard,CAR,RB,25,15,15,0,0,0,0,0,250,1195,4.78,10,54,43,171,3.98,1,4,3,11,1.0,,199,241.6,250.6,220.1,47.0,13,27.0,Chuba Hubbard,chuba hubbard,RB,RB,CAR,2024,42.0,0.9176706827309237,0.9738955823293173
28,Jonnu Smith*,MIA,TE,29,17,6,0,0,0,0,0,2,-1,-0.5,0,111,88,884,10.05,8,2,1,8,,,134,222.3,226.3,178.3,47.0,4,28.0,Jonnu Smith,jonnu smith,TE,TE,MIA,2024,54.0,0.893574297188755,0.9939393939393939
29,Mark Andrews,BAL,TE,29,17,13,0,0,0,0,0,4,5,1.25,0,69,55,673,12.24,11,0,0,11,,,134,188.8,191.8,161.3,47.0,5,29.0,Mark Andrews,mark andrews,TE,TE,BAL,2024,82.0,0.8373493975903614,0.98989898989899
30,Bucky Irving,TAM,RB,22,17,3,0,0,0,0,0,207,1122,5.42,8,52,47,392,8.34,0,2,1,8,,,197,244.4,251.4,220.9,46.0,14,30.0,Bucky Irving,bucky irving,RB,RB,TAM,2024,41.0,0.9196787148594378,0.9759036144578314
31,Alvin Kamara,NOR,RB,29,14,14,0,0,0,0,0,228,950,4.17,6,89,68,543,7.99,2,1,0,8,,,197,265.3,271.3,231.3,46.0,15,31.0,Alvin Kamara,alvin kamara,RB,RB,NOR,2024,30.0,0.9417670682730923,0.9839357429718876
32,Aaron Jones,MIN,RB,30,17,17,0,0,0,0,0,255,1138,4.46,5,62,51,408,8.0,2,5,3,7,,,191,241.6,250.6,216.1,40.0,16,32.0,Aaron Jones,aaron jones,RB,RB,MIN,2024,42.0,0.9176706827309237,0.9738955823293173
33,Jared Goff*,DET,QB,30,17,17,390,539,4629,37,12,35,56,1.6,0,1,1,7,7.0,1,6,0,1,,1.0,323,324.5,339.5,336.0,39.0,6,33.0,Jared Goff,jared goff,QB,QB,DET,2024,11.0,0.9799196787148594,0.9899396378269618
34,David Montgomery,DET,RB,27,14,14,1,1,3,1,0,185,775,4.19,12,38,36,341,9.47,0,2,1,12,,,186,221.7,228.7,203.7,35.0,17,34.0,David Montgomery,david montgomery,RB,RB,DET,2024,56.0,0.8895582329317269,0.9658634538152611
35,Mike Evans*,TAM,WR,31,14,14,0,0,0,0,0,0,0,,0,110,74,1004,13.57,11,0,0,11,,,166,240.4,243.4,203.4,35.0,7,35.0,Mike Evans,mike evans,WR,WR,TAM,2024,49.0,0.9036144578313253,0.9737373737373738
36,Breece Hall,NYJ,RB,23,16,16,0,0,0,0,0,209,876,4.19,5,76,57,483,8.47,3,6,2,8,2.0,,184,240.9,248.9,212.4,33.0,18,36.0,Breece Hall,breece hall,RB,RB,NYJ,2024,45.0,0.9116465863453815,0.9698795180722891
37,Malik Nabers*,NYG,WR,21,15,13,0,1,0,0,0,5,2,0.4,0,170,109,1204,11.05,7,1,0,7,1.0,,165,273.6,276.6,219.1,33.0,8,37.0,Malik Nabers,malik nabers,WR,WR,NYG,2024,24.0,0.9538152610441767,0.98989898989899
38,Bo Nix,DEN,QB,24,17,17,376,567,3775,29,12,92,430,4.67,4,1,1,2,2.0,1,3,0,5,,,316,317.2,335.2,328.7,32.0,7,38.0,Bo Nix,bo nix,QB,QB,DEN,2024,13.0,0.9759036144578314,0.9879275653923542
39,Jalen Hurts,PHI,QB,26,15,15,248,361,2903,18,5,150,630,4.2,14,0,0,0,,0,9,5,14,,,315,315.1,331.1,320.1,31.0,8,39.0,Jalen Hurts,jalen hurts,QB,QB,PHI,2024,15.0,0.9718875502008032,0.9859154929577465
40,CeeDee Lamb*,DAL,WR,25,15,15,0,0,0,0,0,14,70,5.0,0,152,101,1194,11.82,6,1,1,6,1.0,,162,263.4,267.4,212.9,31.0,9,40.0,CeeDee Lamb,ceedee lamb,WR,WR,DAL,2024,31.0,0.9397590361445783,0.9858585858585859
41,Sam LaPorta,DET,TE,23,16,16,0,0,0,0,0,0,0,,0,83,60,726,12.1,7,0,0,7,,,115,174.6,177.6,144.6,29.0,6,41.0,Sam LaPorta,sam laporta,TE,TE,DET,2024,98.0,0.8052208835341366,0.9858585858585859
42,Courtland Sutton,DEN,WR,29,17,13,2,2,30,1,0,0,0,,0,135,81,1081,13.35,8,1,1,8,,,159,240.3,244.3,199.8,28.0,10,42.0,Courtland Sutton,courtland sutton,WR,WR,DEN,2024,50.0,0.9016064257028112,0.9717171717171718
43,Ladd McConkey,LAC,WR,23,16,14,0,0,0,0,0,0,0,,0,112,82,1149,14.01,7,2,0,7,1.0,,159,240.9,243.9,199.9,28.0,11,43.0,Ladd McConkey,ladd mcconkey,WR,WR,LAC,2024,45.0,0.9116465863453815,0.9777777777777777
44,Tucker Kraft,GNB,TE,24,17,17,0,0,0,0,0,3,6,2.0,0,70,50,707,14.14,7,1,1,7,1.0,,113,163.3,167.3,138.3,27.0,7,44.0,Tucker Kraft,tucker kraft,TE,TE,GNB,2024,105.0,0.7911646586345382,0.9818181818181818
45,Zach Ertz,WAS,TE,34,17,17,0,0,0,0,0,0,0,,0,91,66,654,9.91,7,1,0,7,2.0,,111,177.4,180.4,144.4,26.0,8,45.0,Zach Ertz,zach ertz,TE,TE,WAS,2024,92.0,0.8172690763052208,0.9878787878787879
46,Davante Adams,2TM,WR,32,14,14,0,0,0,0,0,0,0,,0,141,85,1063,12.51,8,0,0,8,1.0,,156,241.3,244.3,198.8,25.0,12,46.0,Davante Adams,davante adams,WR,WR,2TM,2024,44.0,0.9136546184738956,0.9797979797979798
47,Sam Darnold*,MIN,QB,27,17,17,361,545,4319,35,12,67,212,3.16,1,0,0,0,,0,8,4,1,,,308,308.0,330.0,320.0,24.0,9,47.0,Sam Darnold,sam darnold,QB,QB,MIN,2024,16.0,0.9698795180722891,0.9839034205231388
48,Jameson Williams,DET,WR,23,15,11,0,0,0,0,0,11,61,5.55,1,91,58,1001,17.26,7,0,0,8,,,154,212.2,215.2,183.2,23.0,13,48.0,Jameson Williams,jameson williams,WR,WR,DET,2024,64.0,0.8734939759036144,0.9575757575757575
49,D'Andre Swift,CHI,RB,25,17,17,0,0,0,0,0,253,959,3.79,6,52,42,386,9.19,0,2,0,6,1.0,,173,214.5,220.5,193.5,22.0,19,49.0,D'Andre Swift,dandre swift,RB,RB,CHI,2024,62.0,0.8775100401606426,0.963855421686747
50,Jaxon Smith-Njigba*,SEA,WR,22,17,16,1,1,35,0,0,5,26,5.2,0,137,100,1130,11.3,6,1,0,6,,,153,253.0,256.0,203.0,22.0,14,50.0,Jaxon Smith-Njigba,jaxon smith-njigba,WR,WR,SEA,2024,37.0,0.927710843373494,0.9838383838383838
51,Jerry Jeudy*,CLE,WR,25,17,16,0,0,0,0,0,0,0,,0,145,90,1229,13.66,4,0,0,4,2.0,,151,240.9,243.9,195.9,20.0,15,51.0,Jerry Jeudy,jerry jeudy,WR,WR,CLE,2024,45.0,0.9116465863453815,0.9777777777777777
52,Garrett Wilson,NYJ,WR,24,17,17,0,0,0,0,0,2,5,2.5,0,154,101,1104,10.93,7,2,2,7,1.0,,151,251.9,256.9,201.4,20.0,16,52.0,Garrett Wilson,garrett wilson,WR,WR,NYJ,2024,38.0,0.9257028112449799,0.9818181818181818
53,Najee Harris,PIT,RB,26,17,17,0,0,0,0,0,263,1043,3.97,6,48,36,283,7.86,0,0,0,6,,,169,204.6,210.6,186.6,19.0,20,53.0,Najee Harris,najee harris,RB,RB,PIT,2024,69.0,0.8634538152610441,0.9618473895582329
54,Jordan Addison,MIN,WR,22,15,15,0,0,0,0,0,3,20,6.67,1,99,63,875,13.89,9,0,0,10,,,150,212.5,215.5,181.0,19.0,18,54.0,Jordan Addison,jordan addison,WR,WR,MIN,2024,63.0,0.8755020080321285,0.9595959595959596
55,A.J. Brown,PHI,WR,27,13,13,0,0,0,0,0,0,0,,0,97,67,1079,16.1,7,0,0,7,,,150,216.9,219.9,183.4,19.0,17,55.0,A.J. Brown,aj brown,WR,WR,PHI,2024,60.0,0.8815261044176707,0.9616161616161616
56,Tee Higgins,CIN,WR,25,12,9,0,0,0,0,0,0,0,,0,109,73,911,12.48,10,1,1,10,,,149,222.1,226.1,185.6,18.0,19,56.0,Tee Higgins,tee higgins,WR,WR,CIN,2024,55.0,0.891566265060241,0.9676767676767677
57,Pat Freiermuth,PIT,TE,26,17,11,0,0,0,0,0,0,0,,0,78,65,653,10.05,7,3,2,7,,,103,168.3,173.3,135.8,18.0,9,57.0,Pat Freiermuth,pat freiermuth,TE,TE,PIT,2024,101.0,0.7991967871485943,0.9838383838383838
58,Kyler Murray,ARI,QB,27,17,17,372,541,3851,21,11,78,572,7.33,5,0,0,0,,0,8,4,5,1.0,,297,297.2,318.2,308.2,14.0,10,58.0,Kyler Murray,kyler murray,QB,QB,ARI,2024,18.0,0.9658634538152611,0.9818913480885312
59,Travis Kelce*,KAN,TE,35,16,16,0,0,0,0,0,1,1,1.0,0,133,97,823,8.48,3,2,1,3,,,98,195.4,199.4,146.9,13.0,10,59.0,Travis Kelce,travis kelce,TE,TE,KAN,2024,77.0,0.8473895582329317,0.9919191919191919
60,Nico Collins*,HOU,WR,25,12,12,0,0,0,0,0,0,0,,0,99,68,1006,14.79,7,0,0,7,,,143,210.6,213.6,176.6,12.0,20,60.0,Nico Collins,nico collins,WR,WR,HOU,2024,65.0,0.8714859437751004,0.9555555555555556
61,Jayden Reed,GNB,WR,24,17,10,0,0,0,0,0,20,163,8.15,1,75,55,857,15.58,6,3,1,7,,,142,197.0,204.0,169.5,12.0,21,61.0,Jayden Reed,jayden reed,WR,WR,GNB,2024,75.0,0.8514056224899599,0.9434343434343434
62,J.K. Dobbins,LAC,RB,26,13,11,0,0,0,0,0,195,905,4.64,9,38,32,153,4.78,0,0,0,9,,,160,191.8,197.8,175.8,11.0,21,62.0,J.K. Dobbins,jk dobbins,RB,RB,LAC,2024,80.0,0.8413654618473896,0.9538152610441767
63,Tony Pollard,TEN,RB,27,16,16,0,0,0,0,0,260,1079,4.15,5,57,41,238,5.8,0,2,2,5,1.0,,160,200.7,208.7,180.2,10.0,22,63.0,Tony Pollard,tony pollard,RB,RB,TEN,2024,70.0,0.8614457831325302,0.9598393574297188
64,Rico Dowdle,DAL,RB,26,16,15,0,0,0,0,0,235,1079,4.59,2,49,39,249,6.38,3,3,2,5,,,159,197.8,205.8,178.3,10.0,23,64.0,Rico Dowdle,rico dowdle,RB,RB,DAL,2024,74.0,0.8534136546184738,0.9558232931726908
65,D.J. Moore,CHI,WR,27,17,17,0,1,0,0,0,14,75,5.36,0,140,98,966,9.86,6,1,1,6,1.0,,140,238.1,242.1,189.1,10.0,22,65.0,D.J. Moore,dj moore,WR,WR,CHI,2024,51.0,0.8995983935742972,0.9696969696969697
66,Tyreek Hill,MIA,WR,30,17,17,0,0,0,0,0,8,53,6.63,0,123,81,959,11.84,6,0,0,6,,,137,218.2,221.2,177.7,7.0,23,66.0,Tyreek Hill,tyreek hill,WR,WR,MIA,2024,58.0,0.8855421686746988,0.9656565656565657
67,Zay Flowers*,BAL,WR,24,17,15,0,0,0,0,0,9,56,6.22,0,116,74,1059,14.31,4,0,0,4,,,136,209.5,212.5,172.5,6.0,24,67.0,Zay Flowers,zay flowers,WR,WR,BAL,2024,67.0,0.8674698795180723,0.9515151515151515
68,Marvin Harrison Jr.,ARI,WR,22,17,16,0,0,0,0,0,0,0,,0,116,62,885,14.27,8,1,1,8,,,135,196.5,200.5,165.5,5.0,26,68.0,Marvin Harrison Jr.,marvin harrison jr,WR,WR,ARI,2024,76.0,0.8493975903614458,0.9414141414141414
69,Calvin Ridley,TEN,WR,30,17,14,0,0,0,0,0,8,55,6.88,1,120,64,1017,15.89,4,1,1,5,,,135,199.2,203.2,167.2,5.0,25,69.0,Calvin Ridley,calvin ridley,WR,WR,TEN,2024,73.0,0.8554216867469879,0.9454545454545454
70,Jauan Jennings,SFO,WR,27,15,10,0,0,0,0,0,0,0,,0,113,77,975,12.66,6,1,0,6,,,134,210.5,213.5,172.0,4.0,27,70.0,Jauan Jennings,jauan jennings,WR,WR,SFO,2024,66.0,0.8694779116465863,0.9535353535353536
71,Justin Herbert,LAC,QB,26,17,17,332,504,3870,23,3,69,306,4.43,2,0,0,0,,0,6,2,2,,3.0,285,285.4,296.4,288.4,3.0,11,71.0,Justin Herbert,justin herbert,QB,QB,LAC,2024,20.0,0.9618473895582329,0.9798792756539235
72,DeVonta Smith,PHI,WR,26,13,13,0,0,0,0,0,1,1,1.0,0,89,68,833,12.25,8,0,0,8,,,131,199.4,202.4,165.4,2.0,28,72.0,DeVonta Smith,devonta smith,WR,WR,PHI,2024,72.0,0.857429718875502,0.9474747474747475
73,Jakobi Meyers,LVR,WR,28,15,15,0,0,0,0,0,2,23,11.5,0,129,87,1027,11.8,4,0,0,4,1.0,,131,218.0,221.0,174.5,1.0,29,73.0,Jakobi Meyers,jakobi meyers,WR,WR,LVR,2024,59.0,0.8835341365461847,0.9636363636363636
74,Patrick Mahomes,KAN,QB,29,16,16,392,581,3928,26,11,58,307,5.29,2,1,1,2,2.0,0,2,0,2,,,282,283.0,300.0,293.5,,12,74.0,Patrick Mahomes,patrick mahomes,QB,QB,KAN,2024,22.0,0.9578313253012049,0.9778672032193159
75,Brock Purdy,SFO,QB,25,15,15,300,455,3864,20,12,66,323,4.89,5,0,0,0,,0,7,3,5,,,267,266.9,287.9,278.9,,13,75.0,Brock Purdy,brock purdy,QB,QB,SFO,2024,27.0,0.9477911646586346,0.9758551307847082
76,Geno Smith,SEA,QB,34,17,17,407,578,4320,21,15,53,272,5.13,2,0,0,0,,0,9,0,2,,,266,266.0,287.0,281.0,,14,76.0,Geno Smith,geno smith,QB,QB,SEA,2024,29.0,0.9437751004016064,0.9738430583501007
77,Aaron Rodgers,NYJ,QB,41,17,17,368,584,3897,28,11,22,107,4.86,0,0,0,0,,0,5,2,0,,2.0,257,256.6,275.6,267.6,,15,77.0,Aaron Rodgers,aaron rodgers,QB,QB,NYJ,2024,33.0,0.9357429718875502,0.971830985915493
78,Caleb Williams,CHI,QB,23,17,17,351,562,3541,20,6,81,489,6.04,0,0,0,0,,0,10,5,0,,3.0,255,254.5,271.5,260.5,,16,78.0,Caleb Williams,caleb williams,QB,QB,CHI,2024,35.0,0.9317269076305221,0.9698189134808853
79,Jordan Love,GNB,QB,26,15,15,268,425,3389,25,11,25,83,3.32,1,0,0,0,,0,4,0,1,,3.0,234,233.9,247.9,244.9,,17,,Jordan Love,jordan love,QB,QB,GNB,2024,53.0,0.8955823293172691,0.9678068410462777
80,C.J. Stroud,HOU,QB,23,17,17,336,532,3727,20,12,52,233,4.48,0,1,0,0,,0,6,4,0,,,220,220.4,242.4,232.4,,18,,C.J. Stroud,cj stroud,QB,QB,HOU,2024,57.0,0.8875502008032129,0.96579476861167
81,Matthew Stafford,LAR,QB,36,16,16,340,517,3762,20,8,30,41,1.37,0,0,0,0,,0,6,2,0,,,215,214.6,227.6,222.6,,19,,Matthew Stafford,matthew stafford,QB,QB,LAR,2024,61.0,0.8795180722891567,0.9637826961770624
82,Bryce Young,CAR,QB,23,14,12,234,384,2403,15,9,43,249,5.79,6,0,0,0,,0,5,2,6,,,195,195.0,212.0,204.0,,20,,Bryce Young,bryce young,QB,QB,CAR,2024,78.0,0.8453815261044176,0.9617706237424547
83,Tua Tagovailoa,MIA,QB,26,11,11,291,399,2867,19,7,17,49,2.88,0,0,0,0,,0,7,2,0,,2.0,182,181.6,193.6,188.6,,21,,Tua Tagovailoa,tua tagovailoa,QB,QB,MIA,2024,90.0,0.821285140562249,0.959758551307847
84,Drake Maye*,NWE,QB,22,13,12,225,338,2276,15,10,54,421,7.8,2,0,0,0,,0,9,6,2,,2.0,177,177.1,199.1,187.1,,22,,Drake Maye,drake maye,QB,QB,NWE,2024,93.0,0.8152610441767069,0.9577464788732395
85,Kirk Cousins,ATL,QB,36,14,14,303,453,3508,18,16,23,0,0.0,0,0,0,0,,0,13,2,0,,,176,176.3,197.3,192.3,,23,,Kirk Cousins,kirk cousins,QB,QB,ATL,2024,94.0,0.8132530120481928,0.9557344064386318
86,Russell Wilson*,PIT,QB,36,11,11,214,336,2482,16,5,43,155,3.6,2,0,0,0,,0,5,4,2,,,173,172.8,187.8,177.8,,24,,Russell Wilson,russell wilson,QB,QB,PIT,2024,100.0,0.8012048192771084,0.9537223340040242
87,Anthony Richardson,IND,QB,22,11,11,126,264,1814,8,12,86,499,5.8,6,1,1,-1,-1.0,0,9,3,6,1.0,,162,163.4,184.4,174.9,,25,,Anthony Richardson,anthony richardson,QB,QB,IND,2024,104.0,0.7931726907630522,0.9517102615694165
88,Derek Carr,NOR,QB,33,10,10,189,279,2145,15,5,17,71,4.18,1,0,0,0,,0,3,0,1,,1.0,151,150.9,158.9,155.9,,26,,Derek Carr,derek carr,QB,QB,NOR,2024,112.0,0.7771084337349398,0.9496981891348089
89,Rachaad White,TAM,RB,25,16,15,0,0,0,0,0,144,613,4.26,3,57,51,393,7.71,6,3,3,9,,,149,199.6,208.6,174.1,,24,,Rachaad White,rachaad white,RB,RB,TAM,2024,71.0,0.8594377510040161,0.9578313253012049
90,Zach Charbonnet,SEA,RB,23,17,6,0,0,0,0,0,135,569,4.21,8,52,42,340,8.1,1,0,0,9,,,145,186.9,192.9,165.9,,25,,Zach Charbonnet,zach charbonnet,RB,RB,SEA,2024,84.0,0.8333333333333334,0.9518072289156626
91,Trevor Lawrence,JAX,QB,25,10,10,172,284,2045,11,7,26,119,4.58,3,0,0,-5,,0,3,1,3,,3.0,145,145.2,159.2,152.2,,27,,Trevor Lawrence,trevor lawrence,QB,QB,JAX,2024,118.0,0.7650602409638554,0.9476861167002012
92,Tyrone Tracy Jr.,NYG,RB,25,17,12,0,0,0,0,0,192,839,4.37,5,53,38,284,7.47,1,5,2,6,,,144,182.3,190.3,163.3,,26,,Tyrone Tracy Jr.,tyrone tracy jr,RB,RB,NYG,2024,89.0,0.8232931726907631,0.9497991967871486
93,Rhamondre Stevenson,NWE,RB,26,15,14,0,0,0,0,0,207,801,3.87,7,41,33,168,5.09,1,7,3,8,2.0,,143,175.9,184.9,159.4,,27,,Rhamondre Stevenson,rhamondre stevenson,RB,RB,NWE,2024,95.0,0.8112449799196787,0.9457831325301205
94,Brian Robinson Jr.,WAS,RB,25,14,13,0,0,0,0,0,187,799,4.27,8,25,20,159,7.95,0,2,2,8,,,140,159.8,167.8,149.8,,28,,Brian Robinson Jr.,brian robinson jr,RB,RB,WAS,2024,107.0,0.7871485943775101,0.9437751004016064
95,Daniel Jones,NYG,QB,27,10,10,216,341,2070,8,7,67,265,3.96,2,0,0,0,,0,4,2,2,,,135,135.3,150.3,142.3,,28,,Daniel Jones,daniel jones,QB,QB,NYG,2024,129.0,0.7429718875502008,0.9456740442655935
96,Kenneth Walker III,SEA,RB,24,11,11,0,0,0,0,0,153,573,3.75,7,53,46,299,6.5,1,1,0,8,,,135,181.2,187.2,158.2,,29,,Kenneth Walker III,kenneth walker iii,RB,RB,SEA,2024,91.0,0.8192771084337349,0.9477911646586346
97,Kareem Hunt,KAN,RB,29,13,8,0,0,0,0,0,200,728,3.64,7,32,23,176,7.65,0,0,0,7,,,132,155.4,161.4,143.9,,30,,Kareem Hunt,kareem hunt,RB,RB,KAN,2024,109.0,0.7831325301204819,0.9397590361445783
