Rk,Player,Tm,FantPos,Age,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Scoring_TD,Scoring_2PM,Scoring_2PP,Fantasy_FantPt,Fantasy_PPR,Fantasy_DKPt,Fantasy_FDPt,Fantasy_VBD,Fantasy_PosRank,Fantasy_OvRank,Player_fixed,player_clean,POS,POS_group,team,year,PPR_rank_year,ppr_percentile_overall,ppr_percentile_pos
1,Saquon Barkley*+,PHI,RB,27,16,16,0,0,0,0,0,345,2005,5.81,13,43,33,278,8.42,2,2,1,15,3.0,,322,355.3,362.3,338.8,163.0,1,1.0,Saquon Barkley,saquon barkley,RB,RB,PHI,2024,8.0,0.9859437751004017,0.9979919678714859
2,Derrick Henry*,BAL,RB,30,17,17,0,0,0,0,0,325,1921,5.91,16,22,19,193,10.16,2,3,1,18,,,317,336.4,343.4,326.9,159.0,2,2.0,Derrick Henry,derrick henry,RB,RB,BAL,2024,10.0,0.9819277108433735,0.9939759036144579
3,Jahmyr Gibbs*,DET,RB,22,17,4,0,0,0,0,0,250,1412,5.65,16,63,52,517,9.94,4,1,1,20,,,311,362.9,369.9,336.9,153.0,3,3.0,Jahmyr Gibbs,jahmyr gibbs,RB,RB,DET,2024,6.0,0.9899598393574297,1.0
4,Lamar Jackson*+,BAL,QB,27,17,17,316,474,4172,41,4,139,915,6.58,4,0,0,0,,0,10,5,4,1.0,,430,430.4,445.4,434.4,140.0,1,4.0,Lamar Jackson,lamar jackson,QB,QB,BAL,2024,1.0,1.0,1.0
5,Ja'Marr Chase*+,CIN,WR,24,17,16,0,0,0,0,0,3,32,10.67,0,175,127,1708,13.45,17,0,0,17,,,276,403.0,406.0,339.5,138.0,1,5.0,Ja'Marr Chase,jamarr chase,WR,WR,CIN,2024,2.0,0.9979919678714859,1.0
6,Bijan Robinson*,ATL,RB,22,17,17,0,0,0,0,0,304,1456,4.79,14,72,61,431,7.07,1,1,0,15,1.0,,281,341.7,347.7,311.2,124.0,4,6.0,Bijan Robinson,bijan robinson,RB,RB,ATL,2024,9.0,0.9839357429718876,0.9959839357429718
7,Josh Jacobs*,GNB,RB,26,17,17,0,0,0,0,0,301,1329,4.42,15,43,36,342,9.5,1,4,3,16,,,257,293.1,302.1,275.1,102.0,5,7.0,Josh Jacobs,josh jacobs,RB,RB,GNB,2024,19.0,0.963855421686747,0.9899598393574297
8,Josh Allen*,BUF,QB,28,17,17,307,483,3731,28,6,102,531,5.21,12,0,0,7,,1,5,2,13,,1.0,379,379.0,393.0,385.0,91.0,2,8.0,Josh Allen,josh allen,QB,QB,BUF,2024,3.0,0.9959839357429718,0.9979879275653923
9,Joe Burrow*,CIN,QB,28,17,17,460,652,4918,43,9,42,201,4.79,2,0,0,0,,0,11,5,2,,,373,372.8,392.8,381.8,85.0,3,9.0,Joe Burrow,joe burrow,QB,QB,CIN,2024,4.0,0.9939759036144579,0.9959758551307847
10,Kyren Williams,LAR,RB,24,16,16,0,0,0,0,0,316,1299,4.11,14,40,34,182,5.35,2,5,3,16,,,238,272.1,281.1,255.1,84.0,6,10.0,Kyren Williams,kyren williams,RB,RB,LAR,2024,25.0,0.9518072289156626,0.9879518072289156
