Rk,Player,Tm,FantPos,Age,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Scoring_TD,Scoring_2PM,Scoring_2PP,Fantasy_FantPt,Fantasy_PPR,Fantasy_DKPt,Fantasy_FDPt,Fantasy_VBD,Fantasy_PosRank,Fantasy_OvRank,Player_fixed,player_clean,POS,POS_group,team,year,PPR_rank_year
345,Brandon Tate,BUF,WR,29,15,1,0,0,0,0,0,3,48,16.0,0,12,8,117,14.63,0,0,0,0,,,17,24.5,27.5,20.5,,140,,Brandon Tate,brandon tate,WR,WR,BUF,2016,349.0
346,Matt Cassel,TEN,QB,34,4,1,30,51,284,2,2,4,3,0.75,0,0,0,0,,0,1,0,0,,,16,15.7,17.7,17.7,,49,,Matt Cassel,matt cassel,QB,QB,TEN,2016,387.0
347,Brent Celek,PHI,TE,31,16,8,0,0,0,0,0,0,0,,0,19,14,155,11.07,0,1,0,0,,,16,29.5,32.5,22.5,,59,,Brent Celek,brent celek,TE,TE,PHI,2016,326.0
348,Josh Ferguson,IND,RB,23,16,0,0,0,0,0,0,15,20,1.33,0,26,20,136,6.8,0,1,0,0,,,16,35.6,38.6,25.6,,101,,Josh Ferguson,josh ferguson,RB,RB,IND,2016,305.0
349,Chris Johnson,ARI,RB,31,4,0,0,0,0,0,0,25,95,3.8,1,1,0,0,,0,0,0,1,,,16,15.5,15.5,15.5,,102,,Chris Johnson,chris johnson,RB,RB,ARI,2016,390.0
350,Braxton Miller,HOU,WR,24,10,6,0,0,0,0,0,3,0,0.0,0,28,15,99,6.6,1,0,0,1,,,16,30.9,30.9,23.4,,141,,Braxton Miller,braxton miller,WR,WR,HOU,2016,322.0
351,Terron Ward,ATL,RB,24,5,0,0,0,0,0,0,31,151,4.87,0,2,1,11,11.0,0,0,0,0,,,16,17.2,20.2,16.7,,100,,Terron Ward,terron ward,RB,RB,ATL,2016,376.0
352,Stephen Anderson,HOU,TE,23,13,0,0,0,0,0,0,0,0,,0,16,11,93,8.45,1,0,0,1,,,15,26.3,26.3,20.8,,60,,Stephen Anderson,stephen anderson,TE,TE,HOU,2016,344.0
353,Tyler Higbee,LAR,TE,23,16,7,0,0,0,0,0,0,0,,0,29,11,85,7.73,1,0,0,1,,,15,25.5,25.5,20.0,,61,,Tyler Higbee,tyler higbee,TE,TE,LAR,2016,348.0
354,Greg Salas,BUF,WR,28,2,1,0,0,0,0,0,0,0,,0,6,4,89,22.25,1,0,0,1,,,15,18.9,18.9,16.9,,143,,Greg Salas,greg salas,WR,WR,BUF,2016,371.0
355,Cecil Shorts,TAM,WR,29,9,5,0,0,0,0,0,0,0,,0,27,11,152,13.82,0,0,0,0,,,15,26.2,29.2,20.7,,142,,Cecil Shorts,cecil shorts,WR,WR,TAM,2016,347.0
