Rk,Player,Tm,FantPos,Age,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Scoring_TD,Scoring_2PM,Scoring_2PP,Fantasy_FantPt,Fantasy_PPR,Fantasy_DKPt,Fantasy_FDPt,Fantasy_VBD,Fantasy_PosRank,Fantasy_OvRank,Player_fixed,player_clean,POS,POS_group,team,year,PPR_rank_year,ppr_percentile_overall,ppr_percentile_pos
26,Mike Evans,TAM,WR,21,15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,122.0,68.0,1051.0,15.46,12.0,0.0,0.0,12,,,177,245.1,248.1,211.1,56.0,10,26.0,Mike Evans,mike evans,WR,WR,TAM,2014,39.0,0.9232323232323232,0.9754601226993865
27,Alshon Jeffery,CHI,WR,24,16,16.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,5.5,0.0,145.0,85.0,1133.0,13.33,10.0,1.0,0.0,10,,,177,261.6,264.6,219.1,55.0,11,27.0,Alshon Jeffery,alshon jeffery,WR,WR,CHI,2014,30.0,0.9414141414141414,0.9815950920245399
28,T.Y. Hilton*,IND,WR,25,15,15.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,10.0,0.0,131.0,82.0,1345.0,16.4,7.0,3.0,1.0,7,,,177,258.5,262.5,217.5,55.0,12,28.0,T.Y. Hilton,ty hilton,WR,WR,IND,2014,32.0,0.9373737373737374,0.9775051124744376
29,Jimmy Graham*,NOR,TE,28,16,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,125.0,85.0,889.0,10.46,10.0,2.0,2.0,10,,,145,229.9,234.9,187.4,55.0,3,29.0,Jimmy Graham,jimmy graham,TE,TE,NOR,2014,41.0,0.9191919191919192,0.9979757085020243
30,Alfred Morris*,WAS,RB,26,16,16.0,0.0,0.0,0.0,0.0,0.0,265.0,1074.0,4.05,8.0,26.0,17.0,155.0,9.12,0.0,2.0,0.0,8,,,171,187.9,193.9,179.4,50.0,13,30.0,Alfred Morris,alfred morris,RB,RB,WAS,2014,71.0,0.8585858585858586,0.9676767676767677
31,LeSean McCoy*,PHI,RB,26,16,16.0,0.0,0.0,0.0,0.0,0.0,312.0,1319.0,4.23,5.0,37.0,28.0,155.0,5.54,0.0,4.0,3.0,5,,,171,199.4,208.4,185.4,50.0,12,31.0,LeSean McCoy,lesean mccoy,RB,RB,PHI,2014,62.0,0.8767676767676768,0.9777777777777777
32,Peyton Manning*,DEN,QB,38,16,16.0,395.0,597.0,4727.0,39.0,15.0,24.0,-24.0,-1.0,0.0,0.0,0.0,0.0,,0.0,5.0,2.0,0,,2.0,313,312.7,332.7,327.7,47.0,4,32.0,Peyton Manning,peyton manning,QB,QB,DEN,2014,11.0,0.9797979797979798,0.9939148073022313
33,Greg Olsen*,CAR,TE,29,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,123.0,84.0,1008.0,12.0,6.0,1.0,0.0,6,,,137,220.8,223.8,178.8,47.0,4,33.0,Greg Olsen,greg olsen,TE,TE,CAR,2014,49.0,0.9030303030303031,0.9919028340080972
34,Joique Bell,DET,RB,28,15,6.0,0.0,0.0,0.0,0.0,0.0,223.0,860.0,3.86,7.0,53.0,34.0,322.0,9.47,1.0,5.0,1.0,8,,,164,198.2,205.2,181.2,43.0,14,34.0,Joique Bell,joique bell,RB,RB,DET,2014,63.0,0.8747474747474747,0.9757575757575757
35,Mark Ingram*,NOR,RB,25,13,9.0,0.0,0.0,0.0,0.0,0.0,226.0,964.0,4.27,9.0,36.0,29.0,145.0,5.0,0.0,3.0,1.0,9,,,163,191.9,198.9,177.4,42.0,15,35.0,Mark Ingram,mark ingram,RB,RB,NOR,2014,67.0,0.8666666666666667,0.9717171717171718
36,Ben Roethlisberger*,PIT,QB,32,16,16.0,408.0,608.0,4952.0,32.0,9.0,33.0,27.0,0.82,0.0,0.0,0.0,-6.0,,0.0,9.0,5.0,0,,3.0,306,306.2,323.2,315.2,41.0,5,36.0,Ben Roethlisberger,ben roethlisberger,QB,QB,PIT,2014,12.0,0.9777777777777777,0.9918864097363083
37,Martellus Bennett*,CHI,TE,27,16,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,128.0,90.0,916.0,10.18,6.0,0.0,0.0,6,2.0,,132,221.6,224.6,176.6,41.0,5,37.0,Martellus Bennett,martellus bennett,TE,TE,CHI,2014,48.0,0.9050505050505051,0.9939271255060729
38,Golden Tate*,DET,WR,26,16,16.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,6.0,0.0,144.0,99.0,1331.0,13.44,4.0,1.0,0.0,4,,,160,259.1,262.1,209.6,39.0,13,38.0,Golden Tate,golden tate,WR,WR,DET,2014,31.0,0.9393939393939394,0.9795501022494888
39,Drew Brees*,NOR,QB,35,16,16.0,456.0,659.0,4952.0,33.0,17.0,27.0,68.0,2.52,1.0,1.0,1.0,1.0,1.0,0.0,7.0,3.0,1,,,303,304.0,327.0,320.5,37.0,6,39.0,Drew Brees,drew brees,QB,QB,NOR,2014,13.0,0.9757575757575757,0.9898580121703854
40,Coby Fleener,IND,TE,26,16,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,92.0,51.0,774.0,15.18,8.0,0.0,0.0,8,,,125,176.4,179.4,150.9,35.0,6,40.0,Coby Fleener,coby fleener,TE,TE,IND,2014,84.0,0.8323232323232324,0.9878542510121457
41,Calvin Johnson*,DET,WR,29,13,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,128.0,71.0,1077.0,15.17,8.0,0.0,0.0,8,,,156,226.7,229.7,191.2,34.0,14,41.0,Calvin Johnson,calvin johnson,WR,WR,DET,2014,43.0,0.9151515151515152,0.9693251533742331
42,DeAndre Hopkins,HOU,WR,22,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,127.0,76.0,1210.0,15.92,6.0,2.0,1.0,6,,,155,231.0,235.0,193.0,33.0,15,42.0,DeAndre Hopkins,deandre hopkins,WR,WR,HOU,2014,40.0,0.9212121212121213,0.9734151329243353
43,DeSean Jackson,WAS,WR,28,15,13.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.75,0.0,95.0,56.0,1169.0,20.88,6.0,0.0,0.0,6,,,154,209.6,212.6,181.6,32.0,16,43.0,DeSean Jackson,desean jackson,WR,WR,WAS,2014,58.0,0.8848484848484849,0.9550102249488752
44,Kelvin Benjamin,CAR,WR,23,16,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,145.0,73.0,1008.0,13.81,9.0,1.0,1.0,9,,,153,225.8,229.8,189.3,31.0,17,44.0,Kelvin Benjamin,kelvin benjamin,WR,WR,CAR,2014,44.0,0.9131313131313131,0.967280163599182
45,Julius Thomas*,DEN,TE,26,13,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,62.0,43.0,489.0,11.37,12.0,1.0,0.0,12,,,121,163.9,166.9,142.4,31.0,7,45.0,Julius Thomas,julius thomas,TE,TE,DEN,2014,99.0,0.8020202020202021,0.9817813765182186
46,Matt Asiata,MIN,RB,27,15,9.0,0.0,0.0,0.0,0.0,0.0,164.0,570.0,3.48,9.0,63.0,44.0,312.0,7.09,1.0,1.0,1.0,10,2.0,,150,194.2,201.2,172.2,29.0,16,46.0,Matt Asiata,matt asiata,RB,RB,MIN,2014,65.0,0.8707070707070708,0.9737373737373738
47,Frank Gore,SFO,RB,31,16,16.0,0.0,0.0,0.0,0.0,0.0,255.0,1106.0,4.34,4.0,19.0,11.0,111.0,10.09,1.0,2.0,2.0,5,,,148,158.7,166.7,153.2,27.0,17,47.0,Frank Gore,frank gore,RB,RB,SFO,2014,104.0,0.7919191919191919,0.9595959595959596
48,Travis Kelce,KAN,TE,25,16,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,87.0,67.0,862.0,12.87,5.0,4.0,3.0,6,,,116,183.2,189.2,149.7,26.0,8,48.0,Travis Kelce,travis kelce,TE,TE,KAN,2014,73.0,0.8545454545454545,0.9898785425101214
49,Mike Wallace,MIA,WR,28,16,16.0,0.0,1.0,0.0,0.0,0.0,4.0,16.0,4.0,0.0,115.0,67.0,862.0,12.87,10.0,2.0,1.0,10,,,146,212.8,216.8,179.3,24.0,18,49.0,Mike Wallace,mike wallace,WR,WR,MIA,2014,53.0,0.8949494949494949,0.9611451942740287
50,Giovani Bernard,CIN,RB,23,13,9.0,0.0,0.0,0.0,0.0,0.0,168.0,680.0,4.05,5.0,59.0,43.0,349.0,8.12,2.0,0.0,0.0,7,,,145,187.9,193.9,166.4,24.0,18,50.0,Giovani Bernard,giovani bernard,RB,RB,CIN,2014,71.0,0.8585858585858586,0.9676767676767677
51,Delanie Walker,TEN,TE,30,15,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,106.0,63.0,890.0,14.13,4.0,2.0,0.0,4,,,113,176.0,179.0,144.5,23.0,9,51.0,Delanie Walker,delanie walker,TE,TE,TEN,2014,86.0,0.8282828282828283,0.9858299595141701
52,Torrey Smith,BAL,WR,25,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,92.0,49.0,767.0,15.65,11.0,0.0,0.0,11,,,143,191.7,194.7,167.2,21.0,19,52.0,Torrey Smith,torrey smith,WR,WR,BAL,2014,68.0,0.8646464646464647,0.9447852760736196
53,Matt Ryan*,ATL,QB,29,16,16.0,415.0,628.0,4694.0,28.0,14.0,29.0,145.0,5.0,0.0,0.0,0.0,0.0,,0.0,5.0,2.0,0,,1.0,284,284.3,306.3,298.3,19.0,7,53.0,Matt Ryan,matt ryan,QB,QB,ATL,2014,19.0,0.9636363636363636,0.9878296146044625
54,Steve Smith Sr.,BAL,WR,35,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,134.0,79.0,1065.0,13.48,6.0,2.0,1.0,6,,,141,219.5,223.5,180.0,19.0,20,54.0,Steve Smith Sr.,steve smith sr,WR,WR,BAL,2014,52.0,0.896969696969697,0.9631901840490797
55,Julian Edelman,NWE,WR,28,14,13.0,0.0,0.0,0.0,0.0,0.0,10.0,94.0,9.4,0.0,134.0,92.0,972.0,10.57,4.0,3.0,0.0,5,,,137,228.6,231.6,182.6,15.0,22,55.0,Julian Edelman,julian edelman,WR,WR,NWE,2014,42.0,0.9171717171717172,0.9713701431492843
56,Anquan Boldin,SFO,WR,34,16,16.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,130.0,83.0,1062.0,12.8,5.0,0.0,0.0,5,,,137,219.6,222.6,178.1,15.0,21,56.0,Anquan Boldin,anquan boldin,WR,WR,SFO,2014,51.0,0.898989898989899,0.9652351738241309
57,Brandon LaFell,NWE,WR,28,16,13.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,6.5,0.0,119.0,74.0,953.0,12.88,7.0,1.0,1.0,7,,,137,210.6,214.6,173.6,15.0,23,57.0,Brandon LaFell,brandon lafell,WR,WR,NWE,2014,57.0,0.8868686868686868,0.9570552147239264
58,A.J. Green*,CIN,WR,26,13,13.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,117.0,69.0,1041.0,15.09,6.0,3.0,2.0,6,,,136,205.3,210.3,170.8,15.0,24,58.0,A.J. Green,aj green,WR,WR,CIN,2014,59.0,0.8828282828282829,0.9529652351738241
59,Jordan Matthews,PHI,WR,22,16,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,103.0,67.0,872.0,13.01,8.0,0.0,0.0,8,,,135,202.2,205.2,168.7,14.0,25,59.0,Jordan Matthews,jordan matthews,WR,WR,PHI,2014,60.0,0.8808080808080808,0.950920245398773
60,Ryan Tannehill,MIA,QB,26,16,16.0,392.0,590.0,4045.0,27.0,12.0,56.0,311.0,5.55,1.0,1.0,1.0,-4.0,-4.0,0.0,9.0,2.0,1,,,279,279.5,299.5,291.0,13.0,8,60.0,Ryan Tannehill,ryan tannehill,QB,QB,MIA,2014,20.0,0.9616161616161616,0.9858012170385395
61,Chris Ivory,NYJ,RB,26,16,10.0,0.0,0.0,0.0,0.0,0.0,198.0,821.0,4.15,6.0,27.0,18.0,123.0,6.83,1.0,2.0,1.0,7,,,134,152.4,159.4,143.4,13.0,19,61.0,Chris Ivory,chris ivory,RB,RB,NYJ,2014,110.0,0.7797979797979798,0.9535353535353536
62,Tom Brady*,NWE,QB,37,16,16.0,373.0,582.0,4109.0,33.0,9.0,36.0,57.0,1.58,0.0,0.0,0.0,0.0,,0.0,6.0,3.0,0,,,278,278.1,293.1,287.1,12.0,9,62.0,Tom Brady,tom brady,QB,QB,NWE,2014,21.0,0.9595959595959596,0.9837728194726166
63,Sammy Watkins,BUF,WR,21,16,16.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,0.0,128.0,65.0,982.0,15.11,6.0,1.0,1.0,6,,,133,198.0,202.0,165.5,11.0,26,63.0,Sammy Watkins,sammy watkins,WR,WR,BUF,2014,64.0,0.8727272727272728,0.9468302658486708
64,Andre Ellington,ARI,RB,25,12,12.0,0.0,0.0,0.0,0.0,0.0,201.0,660.0,3.28,3.0,64.0,46.0,395.0,8.59,2.0,2.0,2.0,5,,,132,177.5,185.5,154.5,11.0,20,64.0,Andre Ellington,andre ellington,RB,RB,ARI,2014,82.0,0.8363636363636364,0.9636363636363636
65,Roddy White,ATL,WR,33,14,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,125.0,80.0,921.0,11.51,7.0,3.0,1.0,7,,,132,212.1,216.1,172.1,11.0,27,65.0,Roddy White,roddy white,WR,WR,ATL,2014,54.0,0.8929292929292929,0.9591002044989775
66,Jason Witten*,DAL,TE,32,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,90.0,64.0,703.0,10.98,5.0,0.0,0.0,5,,,100,164.3,167.3,132.3,10.0,10,66.0,Jason Witten,jason witten,TE,TE,DAL,2014,98.0,0.804040404040404,0.9838056680161943
67,Andre Williams,NYG,RB,22,16,7.0,0.0,0.0,0.0,0.0,0.0,217.0,721.0,3.32,7.0,37.0,18.0,130.0,7.22,0.0,1.0,0.0,7,,,127,145.1,151.1,136.1,6.0,21,67.0,Andre Williams,andre williams,RB,RB,NYG,2014,118.0,0.7636363636363637,0.9474747474747475
68,Eric Decker,NYJ,WR,27,15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,115.0,74.0,962.0,13.0,5.0,0.0,0.0,5,,,126,200.2,203.2,163.2,5.0,28,68.0,Eric Decker,eric decker,WR,WR,NYJ,2014,61.0,0.8787878787878788,0.9488752556237219
69,Eli Manning,NYG,QB,33,16,16.0,379.0,601.0,4410.0,30.0,14.0,12.0,31.0,2.58,1.0,0.0,0.0,0.0,,0.0,7.0,4.0,1,,,270,269.5,290.5,283.5,4.0,10,69.0,Eli Manning,eli manning,QB,QB,NYG,2014,25.0,0.9515151515151515,0.9817444219066938
70,Heath Miller,PIT,TE,32,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,91.0,66.0,761.0,11.53,3.0,1.0,1.0,3,1.0,,94,160.1,164.1,127.1,4.0,11,70.0,Heath Miller,heath miller,TE,TE,PIT,2014,102.0,0.795959595959596,0.979757085020243
71,Mohamed Sanu,CIN,WR,25,16,13.0,3.0,3.0,79.0,1.0,0.0,7.0,51.0,7.29,0.0,98.0,56.0,790.0,14.11,5.0,0.0,0.0,5,1.0,,123,179.3,182.3,151.3,2.0,29,71.0,Mohamed Sanu,mohamed sanu,WR,WR,CIN,2014,80.0,0.8404040404040404,0.9325153374233128
72,Fred Jackson,BUF,RB,33,14,9.0,0.0,1.0,0.0,0.0,0.0,141.0,525.0,3.72,2.0,90.0,66.0,501.0,7.59,1.0,5.0,0.0,3,1.0,,123,188.6,194.6,155.6,2.0,22,72.0,Fred Jackson,fred jackson,RB,RB,BUF,2014,70.0,0.8606060606060606,0.9696969696969697
73,Tony Romo*,DAL,QB,34,15,15.0,304.0,435.0,3705.0,34.0,9.0,26.0,61.0,2.35,0.0,0.0,0.0,0.0,,0.0,7.0,3.0,0,,,266,266.3,281.3,275.3,1.0,11,73.0,Tony Romo,tony romo,QB,QB,DAL,2014,27.0,0.9474747474747475,0.9797160243407708
74,Steven Jackson,ATL,RB,31,15,15.0,0.0,0.0,0.0,0.0,0.0,190.0,707.0,3.72,6.0,27.0,20.0,148.0,7.4,0.0,0.0,0.0,6,,,122,141.5,147.5,131.5,1.0,23,74.0,Steven Jackson,steven jackson,RB,RB,ATL,2014,121.0,0.7575757575757576,0.9454545454545454
75,Philip Rivers,SDG,QB,33,16,16.0,379.0,570.0,4286.0,31.0,18.0,37.0,102.0,2.76,0.0,0.0,0.0,0.0,,0.0,8.0,2.0,0,,,266,265.6,291.6,283.6,,12,75.0,Philip Rivers,philip rivers,QB,QB,SDG,2014,28.0,0.9454545454545454,0.9776876267748479
76,Joe Flacco,BAL,QB,29,16,16.0,344.0,554.0,3986.0,27.0,12.0,39.0,70.0,1.79,2.0,0.0,0.0,0.0,,0.0,5.0,0.0,2,,,262,262.4,277.4,274.4,,13,76.0,Joe Flacco,joe flacco,QB,QB,BAL,2014,29.0,0.9434343434343434,0.975659229208925
77,Jay Cutler,CHI,QB,31,15,15.0,370.0,561.0,3812.0,28.0,18.0,39.0,191.0,4.9,2.0,0.0,0.0,0.0,,0.0,12.0,6.0,2,,4.0,256,255.6,285.6,273.6,,14,77.0,Jay Cutler,jay cutler,QB,QB,CHI,2014,33.0,0.9353535353535354,0.973630831643002
78,Matthew Stafford*,DET,QB,26,16,16.0,363.0,602.0,4257.0,22.0,12.0,43.0,93.0,2.16,2.0,0.0,0.0,0.0,,0.0,8.0,3.0,2,,1.0,252,251.6,269.6,263.6,,15,78.0,Matthew Stafford,matthew stafford,QB,QB,DET,2014,34.0,0.9333333333333333,0.9716024340770791
79,Colin Kaepernick,SFO,QB,27,16,16.0,289.0,478.0,3369.0,19.0,10.0,104.0,639.0,6.14,1.0,0.0,0.0,0.0,,0.0,8.0,5.0,1,,,251,250.7,271.7,260.7,,16,,Colin Kaepernick,colin kaepernick,QB,QB,SFO,2014,35.0,0.9313131313131313,0.9695740365111561
