Rk,Player,Tm,FantPos,Age,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Scoring_TD,Scoring_2PM,Scoring_2PP,Fantasy_FantPt,Fantasy_PPR,Fantasy_DKPt,Fantasy_FDPt,Fantasy_VBD,Fantasy_PosRank,Fantasy_OvRank,Player_fixed,player_clean,POS,POS_group,team,year,PPR_rank_year,ppr_percentile_overall,ppr_percentile_pos
1,DeMarco Murray*+,DAL,RB,26,16,16.0,0.0,0.0,0.0,0.0,0.0,392.0,1845.0,4.71,13.0,64.0,57.0,416.0,7.3,0.0,5.0,5.0,13,,,294,351.1,362.1,322.6,173.0,1,1.0,DeMarco Murray,demarco murray,RB,RB,DAL,2014,5.0,0.9919191919191919,0.997979797979798
2,Le'Veon Bell*+,PIT,RB,22,16,16.0,0.0,0.0,0.0,0.0,0.0,290.0,1361.0,4.69,8.0,105.0,83.0,854.0,10.29,3.0,0.0,0.0,11,,,288,370.5,376.5,329.0,167.0,2,2.0,Le'Veon Bell,leveon bell,RB,RB,PIT,2014,2.0,0.997979797979798,1.0
3,Marshawn Lynch*,SEA,RB,28,16,14.0,0.0,0.0,0.0,0.0,0.0,280.0,1306.0,4.66,13.0,48.0,37.0,367.0,9.92,4.0,3.0,2.0,17,,,265,302.3,310.3,283.8,144.0,3,3.0,Marshawn Lynch,marshawn lynch,RB,RB,SEA,2014,14.0,0.9737373737373738,0.9939393939393939
4,Antonio Brown*+,PIT,WR,26,16,16.0,2.0,2.0,20.0,1.0,0.0,4.0,13.0,3.25,0.0,181.0,129.0,1698.0,13.16,13.0,2.0,2.0,14,1.0,,258,386.9,391.9,322.4,136.0,1,4.0,Antonio Brown,antonio brown,WR,WR,PIT,2014,1.0,1.0,1.0
5,Matt Forte,CHI,RB,29,16,16.0,0.0,0.0,0.0,0.0,0.0,266.0,1038.0,3.9,6.0,130.0,102.0,808.0,7.92,4.0,2.0,2.0,10,2.0,,245,346.6,354.6,295.6,124.0,4,5.0,Matt Forte,matt forte,RB,RB,CHI,2014,6.0,0.98989898989899,0.9959595959595959
6,Arian Foster*,HOU,RB,28,13,13.0,1.0,1.0,5.0,1.0,0.0,260.0,1246.0,4.79,8.0,59.0,38.0,327.0,8.61,5.0,2.0,2.0,13,,,236,273.5,281.5,254.5,115.0,5,6.0,Arian Foster,arian foster,RB,RB,HOU,2014,23.0,0.9555555555555556,0.9919191919191919
7,Eddie Lacy,GNB,RB,24,16,16.0,0.0,0.0,0.0,0.0,0.0,246.0,1139.0,4.63,9.0,55.0,42.0,427.0,10.17,4.0,3.0,2.0,13,,,231,272.6,280.6,251.6,110.0,6,7.0,Eddie Lacy,eddie lacy,RB,RB,GNB,2014,24.0,0.9535353535353536,0.98989898989899
8,Demaryius Thomas*,DEN,WR,27,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,184.0,111.0,1619.0,14.59,11.0,0.0,0.0,11,1.0,,230,340.9,343.9,285.4,108.0,3,8.0,Demaryius Thomas,demaryius thomas,WR,WR,DEN,2014,7.0,0.9878787878787879,0.9979550102249489
9,Jordy Nelson*,GNB,WR,29,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,151.0,98.0,1519.0,15.5,13.0,0.0,0.0,13,,,230,327.9,330.9,278.9,108.0,2,9.0,Jordy Nelson,jordy nelson,WR,WR,GNB,2014,9.0,0.9838383838383838,0.9959100204498977
10,Dez Bryant*+,DAL,WR,26,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,136.0,88.0,1320.0,15.0,16.0,0.0,0.0,16,,,228,316.0,319.0,272.0,106.0,4,10.0,Dez Bryant,dez bryant,WR,WR,DAL,2014,10.0,0.9818181818181818,0.9938650306748467
11,Rob Gronkowski*+,NWE,TE,25,15,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,131.0,82.0,1124.0,13.71,12.0,0.0,0.0,12,,,184,266.4,269.4,225.4,94.0,1,11.0,Rob Gronkowski,rob gronkowski,TE,TE,NWE,2014,26.0,0.9494949494949495,1.0
12,Aaron Rodgers*+,GNB,QB,31,16,16.0,341.0,520.0,4381.0,38.0,5.0,43.0,269.0,6.26,2.0,0.0,0.0,0.0,,0.0,10.0,2.0,2,,1.0,354,354.1,367.1,359.1,89.0,1,12.0,Aaron Rodgers,aaron rodgers,QB,QB,GNB,2014,3.0,0.9959595959595959,1.0
13,Jamaal Charles*,KAN,RB,28,15,15.0,0.0,0.0,0.0,0.0,0.0,206.0,1033.0,5.01,9.0,59.0,40.0,291.0,7.28,5.0,5.0,3.0,14,,,210,250.4,259.4,230.4,89.0,7,13.0,Jamaal Charles,jamaal charles,RB,RB,KAN,2014,36.0,0.9292929292929293,0.9878787878787879
14,Andrew Luck*,IND,QB,25,16,16.0,380.0,616.0,4761.0,40.0,16.0,64.0,273.0,4.27,3.0,0.0,0.0,0.0,,0.0,13.0,6.0,3,,,352,351.7,379.7,367.7,86.0,2,14.0,Andrew Luck,andrew luck,QB,QB,IND,2014,4.0,0.9939393939393939,0.9979716024340771
15,Odell Beckham Jr.*,NYG,WR,22,12,11.0,0.0,1.0,0.0,0.0,0.0,7.0,35.0,5.0,0.0,130.0,91.0,1305.0,14.34,12.0,1.0,1.0,12,,,204,295.0,299.0,249.5,82.0,5,15.0,Odell Beckham Jr.,odell beckham jr,WR,WR,NYG,2014,17.0,0.9676767676767677,0.9877300613496932
16,Justin Forsett*,BAL,RB,29,16,14.0,0.0,0.0,0.0,0.0,0.0,235.0,1266.0,5.39,8.0,59.0,44.0,263.0,5.98,0.0,1.0,0.0,8,1.0,,203,246.9,252.9,224.9,82.0,8,16.0,Justin Forsett,justin forsett,RB,RB,BAL,2014,38.0,0.9252525252525252,0.9858585858585859
17,Randall Cobb*,GNB,WR,24,16,16.0,0.0,0.0,0.0,0.0,0.0,11.0,37.0,3.36,0.0,127.0,91.0,1287.0,14.14,12.0,3.0,2.0,12,1.0,,202,293.4,298.4,247.9,81.0,6,17.0,Randall Cobb,randall cobb,WR,WR,GNB,2014,18.0,0.9656565656565657,0.9856850715746421
18,Emmanuel Sanders*,DEN,WR,27,16,16.0,0.0,0.0,0.0,0.0,0.0,8.0,44.0,5.5,0.0,141.0,101.0,1404.0,13.9,9.0,1.0,0.0,9,1.0,,201,301.8,304.8,251.3,79.0,7,18.0,Emmanuel Sanders,emmanuel sanders,WR,WR,DEN,2014,15.0,0.9717171717171718,0.9918200408997955
19,Julio Jones*,ATL,WR,25,15,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,163.0,104.0,1593.0,15.32,6.0,2.0,1.0,6,,,193,297.4,301.4,245.4,72.0,8,19.0,Julio Jones,julio jones,WR,WR,ATL,2014,16.0,0.9696969696969697,0.9897750511247444
20,Jeremy Maclin,PHI,WR,26,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,143.0,85.0,1318.0,15.51,10.0,0.0,0.0,10,,,192,276.8,279.8,234.3,70.0,9,20.0,Jeremy Maclin,jeremy maclin,WR,WR,PHI,2014,22.0,0.9575757575757575,0.983640081799591
21,Russell Wilson*,SEA,QB,26,16,16.0,285.0,452.0,3475.0,20.0,7.0,118.0,849.0,7.19,6.0,1.0,1.0,17.0,17.0,0.0,11.0,0.0,6,,1.0,330,330.6,343.6,337.1,64.0,3,21.0,Russell Wilson,russell wilson,QB,QB,SEA,2014,8.0,0.9858585858585859,0.9959432048681541
22,Lamar Miller,MIA,RB,23,16,16.0,0.0,0.0,0.0,0.0,0.0,216.0,1099.0,5.09,8.0,52.0,38.0,275.0,7.24,1.0,3.0,3.0,9,,,185,223.4,232.4,204.4,64.0,9,22.0,Lamar Miller,lamar miller,RB,RB,MIA,2014,46.0,0.9090909090909091,0.9838383838383838
23,Antonio Gates,SDG,TE,34,16,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,98.0,69.0,821.0,11.9,12.0,1.0,0.0,12,,,154,223.1,226.1,188.6,64.0,2,23.0,Antonio Gates,antonio gates,TE,TE,SDG,2014,47.0,0.907070707070707,0.9959514170040485
24,Jeremy Hill,CIN,RB,22,16,8.0,0.0,0.0,0.0,0.0,0.0,222.0,1124.0,5.06,9.0,32.0,27.0,215.0,7.96,0.0,5.0,2.0,9,,,184,210.9,218.9,197.4,63.0,10,24.0,Jeremy Hill,jeremy hill,RB,RB,CIN,2014,56.0,0.8888888888888888,0.9797979797979798
25,C.J. Anderson*,DEN,RB,23,15,7.0,0.0,0.0,0.0,0.0,0.0,179.0,849.0,4.74,8.0,44.0,34.0,324.0,9.53,2.0,1.0,0.0,10,,,177,211.3,217.3,194.3,56.0,11,25.0,C.J. Anderson,cj anderson,RB,RB,DEN,2014,55.0,0.8909090909090909,0.9818181818181818
