season,playerId,player,position,team,conference,category,statType,stat
2020,4430126,Knowledge McDaniel,RB,Marshall,Conference USA,rushing,YDS,212
2020,4245186,Frank Harris,QB,UTSA,Conference USA,receiving,YDS,8
2020,4240146,Nate Stewart,WR,Akron,Mid-American,receiving,TD,1
2020,4056045,Daniel Godfrey,TE,UNLV,Mountain West,defensive,TD,0
2020,4361749,Jared Rus,TE,Iowa State,Big 12,defensive,QB HUR,0
2020,4427630,Oscar Adaway III,RB,North Texas,Conference USA,kickReturns,TD,0
2020,4259499,Shi Smith,WR,South Carolina,SEC,receiving,REC,55
2020,4240781,Bryant Koback,RB,Toledo,Mid-American,rushing,YDS,522
2020,4240796,Tristan Gebbia,QB,Oregon State,Pac-12,punting,NO,1
2020,4685184,Donald Chaney Jr.,RB,Miami,ACC,receiving,YDS,143
2020,4243261,Bryan Thompson,WR,Utah,Pac-12,receiving,REC,9
2020,4587415,Doug Bates,TE,Toledo,Mid-American,kickReturns,TD,0
2020,4044536,Peytton Pickett,RB,Liberty,FBS Independents,rushing,CAR,91
2020,4570276,De'Montre Tuggle,RB,Ohio,Mid-American,receiving,TD,0
2020,4241416,Chuba Hubbard,RB,Oklahoma State,Big 12,defensive,SOLO,1
2020,4035654,Riley Lees,WR,Northwestern,Big Ten,rushing,CAR,7
2020,4050286,Jonathan Hodoh,WR,UL Monroe,Sun Belt,defensive,SOLO,1
2020,4688723,CJ Evans Jr.,RB,Austin Peay,OVC,rushing,YDS,92
2020,4257370,Jeremiah Knight,WR,Akron,Mid-American,fumbles,LOST,1
2020,4035065,Justin Rigg,TE,Kentucky,SEC,receiving,REC,12
2020,4373744,A.J. Howard,RB,Army,FBS Independents,kickReturns,TD,0
2020,4427928,Brian Maurer,QB,Tennessee,SEC,passing,YDS,9
2020,4430027,Sam LaPorta,TE,Iowa,Big Ten,receiving,YDS,271
2020,4240075,Justin Marshall,WR,Louisville,ACC,defensive,SACKS,0
2020,4430257,Corren Norman,RB,LSU,SEC,defensive,QB HUR,0
2020,4242167,Tyson Morris,WR,Arkansas,SEC,receiving,YDS,67
2020,4608679,Will Sheppard,WR,Vanderbilt,SEC,defensive,SOLO,1
2020,4428491,Edward Bautista,TE,North Texas,Conference USA,defensive,QB HUR,0
2020,4036788,Jaxson Kincaide,RB,Western Michigan,Mid-American,rushing,YDS,197
2020,4257370,Jeremiah Knight,WR,Akron,Mid-American,receiving,YDS,25
2020,4429212,Rashad Amos,RB,South Carolina,SEC,rushing,YDS,99
2020,4426484,Marcus Major,RB,Oklahoma,Big 12,defensive,PD,0
2020,4426410,Mycah Pittman,WR,Oregon,Pac-12,receiving,REC,8
2020,4250252,Jack Short,TE,Central Arkansas,Southland,receiving,REC,2
2020,4036650,Shai Werts,WR,Georgia Southern,Sun Belt,punting,TB,1
2020,4361409,Jahan Dotson,WR,Penn State,Big Ten,puntReturns,NO,8
2020,4575226,Andre Crump,WR,San José State,Mountain West,receiving,REC,3
2020,4362723,Gunnar Watson,QB,Troy,Sun Belt,rushing,YDS,-66
2020,4431342,Brennan Presley,WR,Oklahoma State,Big 12,kickReturns,YDS,149
2020,4361655,Ricky Person Jr.,RB,NC State,ACC,receiving,YDS,125
2020,4429145,Harrison Bailey,QB,Tennessee,SEC,fumbles,REC,0
2020,4430089,Michael Mathison,WR,Akron,Mid-American,receiving,REC,11
2020,4361409,Jahan Dotson,WR,Penn State,Big Ten,defensive,PD,0
2020,4610703,Jalen White,RB,Georgia Southern,Sun Belt,defensive,SACKS,0
2020,4240573,Ihmir Smith-Marsette,WR,Iowa,Big Ten,kickReturns,NO,6
2020,4568024,Josh Williams,RB,LSU,SEC,kickReturns,TD,0
2020,4035559,Dylan Soehner,TE,Iowa State,Big 12,receiving,YDS,205
2020,4569162,Finn Corwin,WR,Oklahoma,Big 12,receiving,REC,2
2020,4567469,Zech Byrd,TE,East Carolina,American Athletic,receiving,YDS,2
2020,4035695,Vavae Malepeai,RB,USC,Pac-12,receiving,TD,0
2020,4361573,Cade Fortin,QB,South Florida,American Athletic,rushing,CAR,4
2020,4569559,Devaughn Vele,WR,Utah,Pac-12,receiving,REC,2
2020,4360174,Michael Woods,WR,Arkansas,SEC,defensive,PD,0
2020,4427928,Brian Maurer,QB,Tennessee,SEC,passing,TD,0
2020,4259499,Shi Smith,WR,South Carolina,SEC,rushing,CAR,6
2020,4693844,Dallas Dixon,WR,Central Michigan,Mid-American,defensive,TD,0
2020,4361227,Marcel Murray,RB,Arkansas State,Sun Belt,rushing,CAR,47
2020,4241416,Chuba Hubbard,RB,Oklahoma State,Big 12,defensive,TOT,1
2020,4362184,KeSean Carter,WR,Texas Tech,Big 12,rushing,YDS,10
2020,4259908,Braylon Sanders,WR,Ole Miss,SEC,defensive,TOT,5
2020,4689918,Zach Rasmussen,TE,UL Monroe,Sun Belt,defensive,TFL,0
2020,4035767,Garrett Groshek,RB,Wisconsin,Big Ten,receiving,REC,22
2020,4690013,Rasheen Ali,RB,Marshall,Conference USA,defensive,TD,0
2020,4046599,D.J. Render,WR,Kansas State,Big 12,receiving,YDS,56
2020,4567048,Kenneth Walker III,RB,Wake Forest,ACC,receiving,TD,0
2020,4429795,Jahmyr Gibbs,RB,Georgia Tech,ACC,fumbles,FUM,2
2020,4243162,Tyler Lytle,QB,Colorado,Pac-12,rushing,CAR,1
2020,4034303,Chris Ferguson,QB,Liberty,FBS Independents,passing,INT,0
2020,4428680,Marquel Tinsley,WR,Middle Tennessee,Conference USA,receiving,REC,6
2020,4259749,Jeremiah Miller,WR,Stephen F. Austin,Southland,receiving,YDS,127
2020,4426476,Josh Delgado,WR,Oregon,Pac-12,defensive,TOT,1
2020,4689899,Jeremy Hunt,QB,UL Monroe,Sun Belt,passing,YDS,742
2020,4431948,TJ Finley,QB,LSU,SEC,defensive,SACKS,0
2020,4362430,Taye Barber,WR,TCU,Big 12,defensive,SACKS,0
2020,4570130,Jermaine Brown Jr.,RB,UAB,Conference USA,receiving,TD,0
2020,4035821,Matt Lynch,TE,Colorado,Pac-12,defensive,TFL,0
2020,4569391,Travis Koontz,TE,Texas Tech,Big 12,receiving,TD,1
2020,4426910,Kenan Christon,RB,USC,Pac-12,rushing,CAR,10
2020,4570088,Connor Genal,QB,New Mexico,Mountain West,passing,TD,0
2020,4242377,Neil Pau'u,WR,BYU,FBS Independents,rushing,TD,1
2020,4360527,Chris Wiggins,WR,Charlotte,Conference USA,defensive,SACKS,0
2020,4036429,Zac Thomas,QB,App State,Sun Belt,fumbles,LOST,0
2020,4243389,Calvin Austin III,WR,Memphis,American Athletic,receiving,TD,11
2020,4426764,Bryan Bradford,RB,Kent State,Mid-American,fumbles,REC,0
2020,4430807,Bijan Robinson,RB,Texas,Big 12,rushing,YDS,703
2020,4429066,Jeff Sims,QB,Georgia Tech,ACC,defensive,TD,0
2020,4685041,Cornelius Dyson,WR,Tulane,American Athletic,defensive,SACKS,0
2020,4433821,John Gentry,RB,Utah State,Mountain West,receiving,TD,0
2020,4360974,Kadas Reams,WR,Temple,American Athletic,receiving,REC,1
2020,4241004,Thomas Hennigan,WR,App State,Sun Belt,puntReturns,YDS,45
2020,4362569,Kobe Lewis,RB,Central Michigan,Mid-American,fumbles,LOST,0
2020,4433829,Mitch Griffis,QB,Wake Forest,ACC,rushing,TD,0
2020,4035537,Kene Nwangwu,RB,Iowa State,Big 12,rushing,TD,4
